Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GK1,None,None,None,({T}: Add {G}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,GK1,None,None,None,({T}: Add {W}.)
Selesnya Sanctuary,0.0,None,"['G', 'W']",None,['Land'],None,Common,GK1,None,None,None,"Selesnya Sanctuary enters the battlefield tapped.\nWhen Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{W}."
Grove of the Guardian,0.0,None,"['G', 'W']",None,['Land'],None,Rare,GK1,None,None,None,"{T}: Add {C}.\n{3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice Grove of the Guardian: Create an 8/8 green and white Elemental creature token with vigilance."
Selesnya Signet,2.0,None,"['G', 'W']",None,['Artifact'],None,Common,GK1,None,None,None,"{1}, {T}: Add {G}{W}."
Watchwolf,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Wolf'],Uncommon,GK1,3,3,None,None
Tolsimir Wolfblood,6.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Elf', 'Warrior']",Rare,GK1,3,4,None,"Other green creatures you control get +1/+1.\nOther white creatures you control get +1/+1.\n{T}: Create Voja, a legendary 2/2 green and white Wolf creature token."
Sundering Growth,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Common,GK1,None,None,None,"Destroy target artifact or enchantment, then populate. (Create a token that's a copy of a creature token you control.)"
Selesnya Guildmage,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Wizard']",Uncommon,GK1,2,2,None,{3}{G}: Create a 1/1 green Saproling creature token.\n{3}{W}: Creatures you control get +1/+1 until end of turn.
Selesnya Evangel,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Shaman']",Common,GK1,1,2,None,"{1}, {T}, Tap an untapped creature you control: Create a 1/1 green Saproling creature token."
Selesnya Charm,2.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Uncommon,GK1,None,None,None,Choose one —\n• Target creature gets +2/+2 and gains trample until end of turn.\n• Exile target creature with power 5 or greater.\n• Create a 2/2 white Knight creature token with vigilance.
Privileged Position,5.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,GK1,None,None,None,({G/W} can be paid with either {G} or {W}.)\nOther permanents you control have hexproof. (They can't be the targets of spells or abilities your opponents control.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,GK1,None,None,None,({T}: Add {R}.)
Glare of Subdual,4.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,GK1,None,None,None,Tap an untapped creature you control: Tap target artifact or creature.
Loxodon Hierarch,4.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elephant', 'Cleric']",Rare,GK1,4,4,None,"When Loxodon Hierarch enters the battlefield, you gain 4 life.\n{G}{W}, Sacrifice Loxodon Hierarch: Regenerate each creature you control."
Pollenbright Wings,6.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],['Aura'],Uncommon,GK1,None,None,None,"Enchant creature\nEnchanted creature has flying.\nWhenever enchanted creature deals combat damage to a player, create that many 1/1 green Saproling creature tokens."
Growing Ranks,4.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,GK1,None,None,None,"At the beginning of your upkeep, populate. (Create a token that's a copy of a creature token you control.)"
Dryad Militant,1.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Dryad', 'Soldier']",Uncommon,GK1,2,1,None,"If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead."
Centaur Healer,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Centaur', 'Cleric']",Common,GK1,3,3,None,"When Centaur Healer enters the battlefield, you gain 3 life."
Call of the Conclave,2.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Uncommon,GK1,None,None,None,Create a 3/3 green Centaur creature token.
Armada Wurm,6.0,"['G', 'W']","['G', 'W']",None,['Creature'],['Wurm'],Mythic,GK1,5,5,None,"Trample\nWhen Armada Wurm enters the battlefield, create a 5/5 green Wurm creature token with trample."
Advent of the Wurm,4.0,"['G', 'W']","['G', 'W']",None,['Instant'],None,Rare,GK1,None,None,None,Create a 5/5 green Wurm creature token with trample.
"Trostani, Selesnya's Voice",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Dryad'],Mythic,GK1,2,5,None,"Whenever another creature enters the battlefield under your control, you gain life equal to that creature's toughness.\n{1}{G}{W}, {T}: Populate. (Create a token that's a copy of a creature token you control.)"
Scatter the Seeds,5.0,['G'],['G'],None,['Instant'],None,Common,GK1,None,None,None,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nCreate three 1/1 green Saproling creature tokens.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,GK1,None,None,None,({T}: Add {W}.)
Gather Courage,1.0,['G'],['G'],None,['Instant'],None,Common,GK1,None,None,None,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nTarget creature gets +2/+2 until end of turn.
