Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Render Silent,3.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Rare,GK2,None,None,None,Counter target spell. Its controller can't cast spells this turn.
Lavinia of the Tenth,5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,GK2,4,4,None,"Protection from red\nWhen Lavinia of the Tenth enters the battlefield, detain each nonland permanent your opponents control with mana value 4 or less. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)"
Pride of the Clouds,2.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Elemental', 'Cat']",Rare,GK2,1,1,None,"Flying\nPride of the Clouds gets +1/+1 for each other creature with flying on the battlefield.\nForecast — {2}{W}{U}, Reveal Pride of the Clouds from your hand: Create a 1/1 white and blue Bird creature token with flying. (Activate only during your upkeep and only once each turn.)"
Judge's Familiar,1.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Bird'],Uncommon,GK2,1,1,None,Flying\nSacrifice Judge's Familiar: Counter target instant or sorcery spell unless its controller pays {1}.
Azorius Herald,3.0,['W'],"['U', 'W']",None,['Creature'],['Spirit'],Uncommon,GK2,2,1,None,"Azorius Herald can't be blocked.\nWhen Azorius Herald enters the battlefield, you gain 4 life.\nWhen Azorius Herald enters the battlefield, sacrifice it unless {U} was spent to cast it."
Isperia the Inscrutable,5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],['Sphinx'],Rare,GK2,3,6,None,"Flying\nWhenever Isperia the Inscrutable deals combat damage to a player, choose a card name. That player reveals their hand. If a card with the chosen name is revealed this way, search your library for a creature card with flying, reveal it, put it into your hand, then shuffle."
Dramatic Rescue,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Common,GK2,None,None,None,Return target creature to its owner's hand. You gain 2 life.
Azorius Charm,2.0,"['U', 'W']","['U', 'W']",None,['Instant'],None,Uncommon,GK2,None,None,None,Choose one —\n• Creatures you control gain lifelink until end of turn.\n• Draw a card.\n• Put target attacking or blocking creature on top of its owner's library.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GK2,None,None,None,({T}: Add {G}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,GK2,None,None,None,({T}: Add {U}.)
Simic Growth Chamber,0.0,None,"['G', 'U']",None,['Land'],None,Uncommon,GK2,None,None,None,"Simic Growth Chamber enters the battlefield tapped.\nWhen Simic Growth Chamber enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{U}."
Simic Signet,2.0,None,"['G', 'U']",None,['Artifact'],None,Uncommon,GK2,None,None,None,"{1}, {T}: Add {G}{U}."
Zameck Guildmage,2.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Elf', 'Wizard']",Uncommon,GK2,2,2,None,"{G}{U}: This turn, each creature you control enters the battlefield with an additional +1/+1 counter on it.\n{G}{U}, Remove a +1/+1 counter from a creature you control: Draw a card."
Vorel of the Hull Clade,3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Human', 'Merfolk']",Rare,GK2,1,4,None,"{G}{U}, {T}: Double the number of each kind of counter on target artifact, creature, or land."
Voidslime,3.0,"['G', 'U']","['G', 'U']",None,['Instant'],None,Rare,GK2,None,None,None,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)"
Urban Evolution,5.0,"['G', 'U']","['G', 'U']",None,['Sorcery'],None,Uncommon,GK2,None,None,None,Draw three cards. You may play an additional land this turn.
Trygon Predator,3.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Beast'],Uncommon,GK2,2,3,None,"Flying\nWhenever Trygon Predator deals combat damage to a player, you may destroy target artifact or enchantment that player controls."
Simic Sky Swallower,7.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Leviathan'],Rare,GK2,6,6,None,"Flying, trample\nShroud (This creature can't be the target of spells or abilities.)"
Progenitor Mimic,6.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Shapeshifter'],Mythic,GK2,0,0,None,"You may have Progenitor Mimic enter the battlefield as a copy of any creature on the battlefield, except it has ""At the beginning of your upkeep, if this creature isn't a token, create a token that's a copy of this creature."""
