Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Brute Strength,2.0,['R'],['R'],None,['Instant'],None,Common,GN2,None,None,None,Target creature gets +3/+1 and gains trample until end of turn.
Akoum Hellkite,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,GN2,4,4,None,"Flying\nLandfall — Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to any target. If that land is a Mountain, Akoum Hellkite deals 2 damage instead."
Highcliff Felidar,7.0,['W'],['W'],None,['Creature'],"['Cat', 'Beast']",Mythic,GN2,5,5,None,"Vigilance\nWhen Highcliff Felidar enters the battlefield, for each opponent, choose a creature with the greatest power among creatures that player controls. Destroy those creatures."
"Torgaar, Famine Incarnate",8.0,['B'],['B'],['Legendary'],['Creature'],['Avatar'],Rare,GN2,7,6,None,"As an additional cost to cast this spell, you may sacrifice any number of creatures. This spell costs {2} less to cast for each creature sacrificed this way.\nWhen Torgaar, Famine Incarnate enters the battlefield, up to one target player's life total becomes half their starting life total, rounded down."
Tattered Mummy,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Jackal']",Common,GN2,1,2,None,"When Tattered Mummy dies, each opponent loses 2 life."
Rise from the Grave,5.0,['B'],['B'],None,['Sorcery'],None,Uncommon,GN2,None,None,None,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.
Consul's Lieutenant,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,GN2,2,1,None,"First strike\nRenown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)\nWhenever Consul's Lieutenant attacks, if it's renowned, other attacking creatures you control get +1/+1 until end of turn."
Lord of the Accursed,3.0,['B'],['B'],None,['Creature'],['Zombie'],Uncommon,GN2,2,3,None,"Other Zombies you control get +1/+1.\n{1}{B}, {T}: All Zombies gain menace until end of turn."
Liliana's Mastery,5.0,['B'],['B'],None,['Enchantment'],None,Rare,GN2,None,None,None,"Zombies you control get +1/+1.\nWhen Liliana's Mastery enters the battlefield, create two 2/2 black Zombie creature tokens."
Grasp of Darkness,2.0,['B'],['B'],None,['Instant'],None,Uncommon,GN2,None,None,None,Target creature gets -4/-4 until end of turn.
Gavony Unhallowed,4.0,['B'],['B'],None,['Creature'],['Zombie'],Common,GN2,2,4,None,"Whenever another creature you control dies, put a +1/+1 counter on Gavony Unhallowed."
Crow of Dark Tidings,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Bird']",Common,GN2,2,1,None,"Flying\nWhen Crow of Dark Tidings enters the battlefield or dies, mill two cards. (Put the top two cards of your library into your graveyard.)"
Carrion Screecher,4.0,['B'],['B'],None,['Creature'],"['Zombie', 'Bird']",Common,GN2,3,1,None,Flying
Accursed Horde,4.0,['B'],['B'],None,['Creature'],['Zombie'],Uncommon,GN2,3,3,None,"{1}{B}: Target attacking Zombie gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)"
Salvager of Secrets,5.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Common,GN2,2,2,None,"When Salvager of Secrets enters the battlefield, return target instant or sorcery card from your graveyard to your hand."
River's Rebuke,6.0,['U'],['U'],None,['Sorcery'],None,Rare,GN2,None,None,None,Return all nonland permanents target player controls to their owner's hand.
Rise from the Tides,6.0,['U'],['U'],None,['Sorcery'],None,Uncommon,GN2,None,None,None,Create a tapped 2/2 black Zombie creature token for each instant and sorcery card in your graveyard.
Galestrike,3.0,['U'],['U'],None,['Instant'],None,Uncommon,GN2,None,None,None,Return target tapped creature to its owner's hand.\nDraw a card.
Engulf the Shore,4.0,['U'],['U'],None,['Instant'],None,Rare,GN2,None,None,None,Return to their owners' hands all creatures with toughness less than or equal to the number of Islands you control.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GN2,None,None,None,({T}: Add {G}.)
Dramatic Reversal,2.0,['U'],['U'],None,['Instant'],None,Common,GN2,None,None,None,Untap all nonland permanents you control.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GN2,None,None,None,({T}: Add {G}.)
Decision Paralysis,4.0,['U'],['U'],None,['Instant'],None,Common,GN2,None,None,None,Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,GN2,None,None,None,({T}: Add {R}.)
