Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Schismotivate,3.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Uncommon,GPT,None,None,None,Target creature gets +4/+0 until end of turn. Another target creature gets -4/-0 until end of turn.
Scab-Clan Mauler,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Human', 'Berserker']",Common,GPT,1,1,None,"Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.)\nTrample"
Savage Twister,2.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Uncommon,GPT,None,None,None,Savage Twister deals X damage to each creature.
Rumbling Slum,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Elemental'],Rare,GPT,5,5,None,"At the beginning of your upkeep, Rumbling Slum deals 1 damage to each player."
Pillory of the Sleepless,3.0,"['B', 'W']","['B', 'W']",None,['Enchantment'],['Aura'],Common,GPT,None,None,None,"Enchant creature\nEnchanted creature can't attack or block.\nEnchanted creature has ""At the beginning of your upkeep, you lose 1 life."""
Orzhov Pontiff,3.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Human', 'Cleric']",Rare,GPT,1,1,None,"Haunt (When this creature dies, exile it haunting target creature.)\nWhen Orzhov Pontiff enters the battlefield or the creature it haunts dies, choose one —\n• Creatures you control get +1/+1 until end of turn.\n• Creatures you don't control get -1/-1 until end of turn."
"Niv-Mizzet, the Firemind",6.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Dragon', 'Wizard']",Rare,GPT,4,4,None,"Flying\nWhenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to any target.\n{T}: Draw a card."
Stomping Ground,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,GPT,None,None,None,"({T}: Add {R} or {G}.)\nAs Stomping Ground enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Steam Vents,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Rare,GPT,None,None,None,"({T}: Add {U} or {R}.)\nAs Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
"Skarrg, the Rage Pits",0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,GPT,None,None,None,"{T}: Add {C}.\n{R}{G}, {T}: Target creature gets +1/+1 and gains trample until end of turn."
"Orzhova, the Church of Deals",0.0,None,"['B', 'W']",None,['Land'],None,Uncommon,GPT,None,None,None,"{T}: Add {C}.\n{3}{W}{B}, {T}: Target player loses 1 life and you gain 1 life."
Orzhov Basilica,0.0,None,"['B', 'W']",None,['Land'],None,Common,GPT,None,None,None,"Orzhov Basilica enters the battlefield tapped.\nWhen Orzhov Basilica enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {W}{B}."
"Nivix, Aerie of the Firemind",0.0,None,"['R', 'U']",None,['Land'],None,Uncommon,GPT,None,None,None,"{T}: Add {C}.\n{2}{U}{R}, {T}: Exile the top card of your library. Until your next turn, you may cast it if it's an instant or sorcery spell."
Izzet Boilerworks,0.0,None,"['R', 'U']",None,['Land'],None,Common,GPT,None,None,None,"Izzet Boilerworks enters the battlefield tapped.\nWhen Izzet Boilerworks enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {U}{R}."
