Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Conclave Guildmage,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Cleric']",Uncommon,GRN,2,2,None,"{G}, {T}: Creatures you control gain trample until end of turn.\n{5}{W}, {T}: Create a 2/2 green and white Elf Knight creature token with vigilance."
Conclave Cavalier,4.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Centaur', 'Knight']",Uncommon,GRN,4,4,None,"Vigilance\nWhen Conclave Cavalier dies, create two 2/2 green and white Elf Knight creature tokens with vigilance."
Charnel Troll,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Troll'],Rare,GRN,4,4,None,"Trample\nAt the beginning of your upkeep, exile a creature card from your graveyard. If you do, put a +1/+1 counter on Charnel Troll. Otherwise, sacrifice it.\n{B}{G}, Discard a creature card: Put a +1/+1 counter on Charnel Troll."
Chance for Glory,3.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Mythic,GRN,None,None,None,"Creatures you control gain indestructible. Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
Centaur Peacemaker,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Centaur', 'Cleric']",Common,GRN,3,3,None,"When Centaur Peacemaker enters the battlefield, each player gains 4 life."
Camaraderie,6.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Rare,GRN,None,None,None,"You gain X life and draw X cards, where X is the number of creatures you control. Creatures you control get +1/+1 until end of turn."
Boros Challenger,2.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Human', 'Soldier']",Uncommon,GRN,2,3,None,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)\n{2}{R}{W}: Boros Challenger gets +1/+1 until end of turn."
Beamsplitter Mage,2.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Vedalken', 'Wizard']",Uncommon,GRN,2,2,None,"Whenever you cast an instant or sorcery spell that targets only Beamsplitter Mage, if you control one or more other creatures that spell could target, choose one of those creatures. Copy that spell. The copy targets the chosen creature."
Arclight Phoenix,4.0,['R'],['R'],None,['Creature'],['Phoenix'],Mythic,GRN,3,2,None,"Flying, haste\nAt the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield."
Beacon Bolt,3.0,"['R', 'U']","['R', 'U']",None,['Sorcery'],None,Uncommon,GRN,None,None,None,Beacon Bolt deals damage to target creature equal to the total number of instant and sorcery cards you own in exile and in your graveyard.\nJump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Whispering Snitch,2.0,['B'],['B'],None,['Creature'],"['Vampire', 'Rogue']",Uncommon,GRN,1,3,None,"Whenever you surveil for the first time each turn, Whispering Snitch deals 1 damage to each opponent and you gain 1 life."
"Aurelia, Exemplar of Justice",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,GRN,2,5,None,"Flying\nMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)\nAt the beginning of combat on your turn, choose up to one target creature you control. Until end of turn, that creature gets +2/+0, gains trample if it's red, and gains vigilance if it's white."
Vicious Rumors,1.0,['B'],['B'],None,['Sorcery'],None,Common,GRN,None,None,None,"Vicious Rumors deals 1 damage to each opponent. Each opponent discards a card, then mills a card. You gain 1 life."
Assassin's Trophy,2.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Rare,GRN,None,None,None,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
Artful Takedown,4.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Common,GRN,None,None,None,Choose one or both —\n• Tap target creature.\n• Target creature gets -2/-4 until end of turn.
Veiled Shade,3.0,['B'],['B'],None,['Creature'],['Shade'],Common,GRN,2,2,None,{1}{B}: Veiled Shade gets +1/+1 until end of turn.
Wild Ceratok,4.0,['G'],['G'],None,['Creature'],['Rhino'],Common,GRN,4,3,None,None
