Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Fathom Mage,4.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Human', 'Wizard']",Rare,GTC,1,1,None,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)\nWhenever a +1/+1 counter is put on Fathom Mage, you may draw a card."
Executioner's Swing,2.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Common,GTC,None,None,None,Target creature that dealt damage this turn gets -5/-5 until end of turn.
Elusive Krasis,3.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Fish', 'Mutant']",Uncommon,GTC,0,4,None,"Elusive Krasis can't be blocked.\nEvolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Duskmantle Seer,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Vampire', 'Wizard']",Mythic,GTC,4,4,None,"Flying\nAt the beginning of your upkeep, each player reveals the top card of their library, loses life equal to that card's mana value, then puts it into their hand."
Duskmantle Guildmage,2.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,GTC,2,2,None,"{1}{U}{B}: Whenever a card is put into an opponent's graveyard from anywhere this turn, that player loses 1 life.\n{2}{U}{B}: Target player mills two cards."
Drakewing Krasis,3.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Lizard', 'Drake']",Common,GTC,3,1,None,"Flying, trample"
Domri Rade,3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Planeswalker'],['Domri'],Mythic,GTC,None,None,3,"[+1]: Look at the top card of your library. If it's a creature card, you may reveal it and put it into your hand.\n[−2]: Target creature you control fights another target creature.\n[−7]: You get an emblem with ""Creatures you control have double strike, trample, hexproof, and haste."""
Dinrova Horror,6.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Horror'],Uncommon,GTC,4,4,None,"When Dinrova Horror enters the battlefield, return target permanent to its owner's hand, then that player discards a card."
Dimir Charm,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Uncommon,GTC,None,None,None,Choose one —\n• Counter target sorcery spell.\n• Destroy target creature with power 2 or less.\n• Look at the top three cards of target player's library. Put one back and the rest into that player's graveyard.
Deathpact Angel,6.0,"['B', 'W']","['B', 'W']",None,['Creature'],['Angel'],Mythic,GTC,5,5,None,"Flying\nWhen Deathpact Angel dies, create a 1/1 white and black Cleric creature token. It has ""{3}{W}{B}{B}, {T}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield."""
Consuming Aberration,5.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Horror'],Rare,GTC,*,*,None,"Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.\nWhenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard."
Clan Defiance,2.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,GTC,None,None,None,Choose one or more —\n• Clan Defiance deals X damage to target creature with flying.\n• Clan Defiance deals X damage to target creature without flying.\n• Clan Defiance deals X damage to target player or planeswalker.
