Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vicious Hunger,2.0,['B'],['B'],None,['Sorcery'],None,Common,GVL,None,None,None,Vicious Hunger deals 2 damage to target creature and you gain 2 life.
Sign in Blood,2.0,['B'],['B'],None,['Sorcery'],None,Common,GVL,None,None,None,Target player draws two cards and loses 2 life.
Bad Moon,2.0,['B'],['B'],None,['Enchantment'],None,Rare,GVL,None,None,None,Black creatures get +1/+1.
Keening Banshee,4.0,['B'],['B'],None,['Creature'],['Spirit'],Uncommon,GVL,2,2,None,"Flying\nWhen Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn."
Genju of the Fens,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,GVL,None,None,None,"Enchant Swamp\n{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with ""{B}: This creature gets +1/+1 until end of turn."" It's still a land.\nWhen enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand."
Faerie Macabre,3.0,['B'],['B'],None,['Creature'],"['Faerie', 'Rogue']",Common,GVL,2,2,None,Flying\nDiscard Faerie Macabre: Exile up to two target cards from graveyards.
Skeletal Vampire,6.0,['B'],['B'],None,['Creature'],"['Vampire', 'Skeleton']",Rare,GVL,3,3,None,"Flying\nWhen Skeletal Vampire enters the battlefield, create two 1/1 black Bat creature tokens with flying.\n{3}{B}{B}, Sacrifice a Bat: Create two 1/1 black Bat creature tokens with flying.\nSacrifice a Bat: Regenerate Skeletal Vampire."
Twisted Abomination,6.0,['B'],['B'],None,['Creature'],"['Zombie', 'Mutant']",Common,GVL,5,3,None,"{B}: Regenerate Twisted Abomination.\nSwampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)"
Wall of Bone,3.0,['B'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,GVL,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Fleshbag Marauder,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Warrior']",Uncommon,GVL,3,1,None,"When Fleshbag Marauder enters the battlefield, each player sacrifices a creature."
Ravenous Rats,2.0,['B'],['B'],None,['Creature'],['Rat'],Common,GVL,1,1,None,"When Ravenous Rats enters the battlefield, target opponent discards a card."
Drudge Skeletons,2.0,['B'],['B'],None,['Creature'],['Skeleton'],Common,GVL,1,1,None,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Vampire Bats,1.0,['B'],['B'],None,['Creature'],['Bat'],Common,GVL,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Ghost-Lit Stalker,1.0,['B'],['B'],None,['Creature'],['Spirit'],Uncommon,GVL,1,1,None,"{4}{B}, {T}: Target player discards two cards. Activate only as a sorcery.\nChannel — {5}{B}{B}, Discard Ghost-Lit Stalker: Target player discards four cards. Activate only as a sorcery."
Deathgreeter,1.0,['B'],['B'],None,['Creature'],"['Human', 'Shaman']",Common,GVL,1,1,None,"Whenever another creature dies, you may gain 1 life."
Liliana Vess,5.0,['B'],['B'],['Legendary'],['Planeswalker'],['Liliana'],Mythic,GVL,None,None,5,"[+1]: Target player discards a card.\n[−2]: Search your library for a card, then shuffle and put that card on top.\n[−8]: Put all creature cards from all graveyards onto the battlefield under your control."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GVL,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GVL,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GVL,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,GVL,None,None,None,({T}: Add {G}.)
Treetop Village,0.0,None,['G'],None,['Land'],None,Uncommon,GVL,None,None,None,Treetop Village enters the battlefield tapped.\n{T}: Add {G}.\n{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Slippery Karst,0.0,None,['G'],None,['Land'],None,Common,GVL,None,None,None,"Slippery Karst enters the battlefield tapped.\n{T}: Add {G}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Windstorm,1.0,['G'],['G'],None,['Instant'],None,Uncommon,GVL,None,None,None,Windstorm deals X damage to each creature with flying.
