Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Prismatic Vista,0.0,None,None,None,['Land'],None,Rare,H1R,None,None,None,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle."
Hall of Heliod's Generosity,0.0,None,['W'],['Legendary'],['Land'],None,Rare,H1R,None,None,None,"{T}: Add {C}.\n{1}{W}, {T}: Put target enchantment card from your graveyard on top of your library."
Universal Automaton,1.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Uncommon,H1R,1,1,None,Changeling (This card is every creature type.)
Talisman of Resilience,2.0,None,"['B', 'G']",None,['Artifact'],None,Uncommon,H1R,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Talisman of Resilience deals 1 damage to you.
Talisman of Hierarchy,2.0,None,"['B', 'W']",None,['Artifact'],None,Uncommon,H1R,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Talisman of Hierarchy deals 1 damage to you.
Talisman of Curiosity,2.0,None,"['G', 'U']",None,['Artifact'],None,Uncommon,H1R,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {U}. Talisman of Curiosity deals 1 damage to you.
Talisman of Creativity,2.0,None,"['R', 'U']",None,['Artifact'],None,Uncommon,H1R,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {R}. Talisman of Creativity deals 1 damage to you.
Talisman of Conviction,2.0,None,"['R', 'W']",None,['Artifact'],None,Uncommon,H1R,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {W}. Talisman of Conviction deals 1 damage to you.
Sword of Truth and Justice,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,H1R,None,None,None,"Equipped creature gets +2/+2 and has protection from white and from blue.\nWhenever equipped creature deals combat damage to a player, put a +1/+1 counter on a creature you control, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)\nEquip {2}"
Sword of Sinew and Steel,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,H1R,None,None,None,"Equipped creature gets +2/+2 and has protection from black and from red.\nWhenever equipped creature deals combat damage to a player, destroy up to one target planeswalker and up to one target artifact.\nEquip {2}"
Soulherder,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Spirit'],Uncommon,H1R,1,1,None,"Whenever a creature is exiled from the battlefield, put a +1/+1 counter on Soulherder.\nAt the beginning of your end step, you may exile another target creature you control, then return that card to the battlefield under its owner's control."
Lavabelly Sliver,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],['Sliver'],Uncommon,H1R,2,2,None,"Sliver creatures you control have ""When this creature enters the battlefield, it deals 1 damage to target player or planeswalker and you gain 1 life."""
Ingenious Infiltrator,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Vedalken', 'Ninja']",Uncommon,H1R,2,3,None,"Ninjutsu {U}{B} ({U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever a Ninja you control deals combat damage to a player, draw a card."
Ice-Fang Coatl,2.0,"['G', 'U']","['G', 'U']",['Snow'],['Creature'],['Snake'],Rare,H1R,1,1,None,"Flash\nFlying\nWhen Ice-Fang Coatl enters the battlefield, draw a card.\nIce-Fang Coatl has deathtouch as long as you control at least three other snow permanents."
The First Sliver,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Sliver'],Mythic,H1R,7,7,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)\nSliver spells you cast have cascade."
Etchings of the Chosen,3.0,"['B', 'W']","['B', 'W']",None,['Enchantment'],None,Uncommon,H1R,None,None,None,"As Etchings of the Chosen enters the battlefield, choose a creature type.\nCreatures you control of the chosen type get +1/+1.\n{1}, Sacrifice a creature of the chosen type: Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Weather the Storm,2.0,['G'],['G'],None,['Instant'],None,Uncommon,H1R,None,None,None,"You gain 3 life.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.)"
Scale Up,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,H1R,None,None,None,"Until end of turn, target creature you control becomes a green Wurm with base power and toughness 6/4.\nOverload {4}{G}{G} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Llanowar Tribe,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Uncommon,H1R,3,3,None,{T}: Add {G}{G}{G}.
Force of Vigor,4.0,['G'],['G'],None,['Instant'],None,Rare,H1R,None,None,None,"If it's not your turn, you may exile a green card from your hand rather than pay this spell's mana cost.\nDestroy up to two target artifacts and/or enchantments."
Deep Forest Hermit,5.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,H1R,1,1,None,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Deep Forest Hermit enters the battlefield, create four 1/1 green Squirrel creature tokens.\nSquirrels you control get +1/+1."
"Ayula, Queen Among Bears",2.0,['G'],['G'],['Legendary'],['Creature'],['Bear'],Rare,H1R,2,2,None,"Whenever another Bear enters the battlefield under your control, choose one —\n• Put two +1/+1 counters on target Bear.\n• Target Bear you control fights target creature you don't control."
Shenanigans,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,H1R,None,None,None,"Destroy target artifact.\nDredge 1 (If you would draw a card, you may mill a card instead. If you do, return this card from your graveyard to your hand.)"
