Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Bog Humbugs,2.0,['B'],['B'],None,['Creature'],['Insect'],Mythic,HHO,1,1,None,"Flying\nWhenever Bog Humbugs deals combat damage, hum that many notes of a festive song. If you can, put a +1/+1 counter on Bog Humbugs."
Some Disassembly Required,1.0,['B'],['B'],None,['Enchantment'],None,Mythic,HHO,None,None,None,"{B}, Sacrifice a creature: Distribute the sacrificed creature's keyword abilities among any number of other target creatures until end of turn. If it's December, you gain 1 life for each of those keywords."
Decorated Knight // Present Arms,4.0,['U'],['U'],None,['Creature'],"['Human', 'Knight']",Mythic,HHO,3,3,None,"Whenever Decorated Knight attacks, draw a card from your original deck if it's outside the game."
Goblin Sleigh Ride,2.0,['R'],['R'],None,['Sorcery'],None,Mythic,HHO,None,None,None,"Target creature you control climbs into Goblin Sleigh Ride. You slide them on their merry way. If the creature stayed on, it deals damage equal to its toughness to each other creature touched during the slide."
Mishra's Toy Workshop,0.0,None,None,None,['Land'],None,Mythic,HHO,None,None,None,{T}: Add {C}{C}{C}. Spend this mana only on spells and abilities that put tokens onto the battlefield. Use toys to represent the tokens.
Stocking Tiger,5.0,None,None,None,"['Artifact', 'Creature']","['Cat', 'Construct']",Rare,HHO,3,3,None,"Stocking Tiger enters the battlefield with a sealed Magic booster pack under it.\nWhen Stocking Tiger deals combat damage to a player, unwrap the booster pack and put it into your hand."
Snow Mercy,4.0,['W'],['W'],['Snow'],['Enchantment'],None,Rare,HHO,None,None,None,"Whenever a creature deals damage to you, put a globe counter on it.\n{T}, {Q}, {T}, {Q}, {T}: Tap all creatures with globe counters on them."
Yule Ooze,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Ooze'],Rare,HHO,1,1,None,"At the beginning of your upkeep, destroy another nonland permanent chosen at random, then put a number of +1/+1 counters on Yule Ooze equal to that permanent's converted mana cost.\n{R}{G}, Eat some food: Regenerate Yule Ooze."
Naughty // Nice,6.0,['B'],"['B', 'W']",None,['Sorcery'],None,Rare,HHO,None,None,None,Search another target player's library for a card and put that card into your hand. Then shuffle that player's library.
Fruitcake Elemental,3.0,['G'],['G'],None,['Creature'],['Elemental'],Rare,HHO,7,7,None,"Fruitcake Elemental is indestructible.\nAt the end of your turn, Fruitcake Elemental deals 7 damage to you.\n{3}: Target player gains control of Fruitcake Elemental."
Chaos Wrap,3.0,['R'],['R'],None,['Instant'],None,Mythic,HHO,None,None,None,"The owner of target permanent shuffles it into their library. Then they may look at the top card of their library and may wrap it. If it's a permanent card, they may put it onto the battlefield. Otherwise, they may put it onto the battlefield face down as a 4/4 red Present creature. (To wrap a card, put it inside lots of sleeves. If it would be dealt damage or destroyed, remove a sleeve from it instead.)"
Seasonal Sequels,3.0,['U'],['U'],None,['Instant'],None,Mythic,HHO,None,None,None,"Pitch the titles of up to X holiday-themed sequels to target spell. Copy that spell for each title pitched, except the copy has that name. You may choose new targets for the copies. (Simply adding numbers isn't festive enough.)"
Season's Beatings,4.0,['R'],['R'],None,['Sorcery'],None,Rare,HHO,None,None,None,Family gathering — Each creature target player controls deals damage equal to its power to another random creature that player controls.
Topdeck the Halls,5.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],None,Mythic,HHO,None,None,None,"Decorated cards in your hand have miracle {S}. (Decorated cards include premiums, promos, and cards with alternate frames or art.)\nAt the beginning of your upkeep, if you control twelve or more decorated permanents, you win the game."
Last-Minute Chopping,3.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Mythic,HHO,None,None,None,"Ask target opponent if they remembered to get you a present. If they say yes, they put a card they own from outside the game into your hand. Otherwise, you gain control of target permanent they control."
Gifts Given,4.0,['U'],['U'],None,['Instant'],None,Rare,HHO,None,None,None,Search target opponent's library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player's graveyard and the rest into your hand. Then that player shuffles their library.
Thopter Pie Network,4.0,['U'],['U'],None,['Enchantment'],None,Mythic,HHO,None,None,None,"At the beginning of your upkeep, if you're eating, create a 1/1 colorless Thopter artifact creature token with flying. Use food to represent the token.\nWhenever a creature token you control dies, if it's represented by food, eat it."
Evil Presents,4.0,['B'],['B'],None,['Sorcery'],None,Rare,HHO,None,None,None,Put a creature card from your hand into play under target opponent's control. That creature attacks each turn if able... and always attacks its controller.
