Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Duskdale Wurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Common,IMA,7,7,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Durkwood Baloth,6.0,['G'],['G'],None,['Creature'],['Beast'],Common,IMA,5,5,None,"Suspend 5—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)"
Curse of Predation,3.0,['G'],['G'],None,['Enchantment'],"['Aura', 'Curse']",Rare,IMA,None,None,None,"Enchant player\nWhenever a creature attacks enchanted player, put a +1/+1 counter on it."
Crowned Ceratok,4.0,['G'],['G'],None,['Creature'],['Rhino'],Common,IMA,4,3,None,Trample\nEach creature you control with a +1/+1 counter on it has trample.
Channel,2.0,['G'],['G'],None,['Sorcery'],None,Mythic,IMA,None,None,None,"Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}."
Carven Caryatid,3.0,['G'],['G'],None,['Creature'],['Spirit'],Uncommon,IMA,2,5,None,"Defender (This creature can't attack.)\nWhen Carven Caryatid enters the battlefield, draw a card."
Assault Formation,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,IMA,None,None,None,Each creature you control assigns combat damage equal to its toughness rather than its power.\n{G}: Target creature with defender can attack this turn as though it didn't have defender.\n{2}{G}: Creatures you control get +0/+1 until end of turn.
Aerial Predation,3.0,['G'],['G'],None,['Instant'],None,Common,IMA,None,None,None,Destroy target creature with flying. You gain 2 life.
Vent Sentinel,4.0,['R'],['R'],None,['Creature'],['Elemental'],Common,IMA,2,4,None,"Defender\n{1}{R}, {T}: Vent Sentinel deals damage to target player or planeswalker equal to the number of creatures you control with defender."
Urabrask the Hidden,5.0,['R'],['R'],['Legendary'],['Creature'],"['Phyrexian', 'Praetor']",Mythic,IMA,4,4,None,Creatures you control have haste.\nCreatures your opponents control enter the battlefield tapped.
Trumpet Blast,3.0,['R'],['R'],None,['Instant'],None,Common,IMA,None,None,None,Attacking creatures get +2/+0 until end of turn.
Tormenting Voice,2.0,['R'],['R'],None,['Sorcery'],None,Common,IMA,None,None,None,"As an additional cost to cast this spell, discard a card.\nDraw two cards."
Thundermaw Hellkite,5.0,['R'],['R'],None,['Creature'],['Dragon'],Mythic,IMA,5,5,None,"Flying\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nWhen Thundermaw Hellkite enters the battlefield, it deals 1 damage to each creature with flying your opponents control. Tap those creatures."
