Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,INV,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,INV,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,INV,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,INV,None,None,None,({T}: Add {W}.)
Urborg Volcano,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,INV,None,None,None,Urborg Volcano enters the battlefield tapped.\n{T}: Add {B} or {R}.
Sulfur Vent,0.0,None,"['B', 'R', 'U']",None,['Land'],None,Common,INV,None,None,None,"Sulfur Vent enters the battlefield tapped.\n{T}: Add {B}.\n{T}, Sacrifice Sulfur Vent: Add {U}{R}."
Salt Marsh,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,INV,None,None,None,Salt Marsh enters the battlefield tapped.\n{T}: Add {U} or {B}.
Irrigation Ditch,0.0,None,"['G', 'U', 'W']",None,['Land'],None,Common,INV,None,None,None,"Irrigation Ditch enters the battlefield tapped.\n{T}: Add {W}.\n{T}, Sacrifice Irrigation Ditch: Add {G}{U}."
Elfhame Palace,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,INV,None,None,None,Elfhame Palace enters the battlefield tapped.\n{T}: Add {G} or {W}.
Archaeological Dig,0.0,None,None,None,['Land'],None,Uncommon,INV,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Archaeological Dig: Add one mana of any color."
Urza's Filter,4.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,Multicolored spells cost up to {2} less to cast.
Troll-Horn Cameo,3.0,None,"['G', 'R']",None,['Artifact'],None,Uncommon,INV,None,None,None,{T}: Add {R} or {G}.
Tigereye Cameo,3.0,None,"['G', 'W']",None,['Artifact'],None,Uncommon,INV,None,None,None,{T}: Add {G} or {W}.
Sparring Golem,3.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,2,2,None,"Whenever Sparring Golem becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."
Rith's Attendant,5.0,None,"['G', 'R', 'W']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Rith's Attendant: Add {R}{G}{W}."
Phyrexian Lens,3.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,"{T}, Pay 1 life: Add one mana of any color."
Phyrexian Altar,3.0,None,None,None,['Artifact'],None,Rare,INV,None,None,None,Sacrifice a creature: Add one mana of any color.
Dromar's Attendant,5.0,None,"['B', 'U', 'W']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Dromar's Attendant: Add {W}{U}{B}."
Darigaaz's Attendant,5.0,None,"['B', 'G', 'R']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,3,3,None,"{1}, Sacrifice Darigaaz's Attendant: Add {B}{R}{G}."
Wax // Wane,2.0,['G'],"['G', 'W']",None,['Instant'],None,Uncommon,INV,None,None,None,Target creature gets +2/+2 until end of turn.
Assault // Battery,5.0,['R'],"['G', 'R']",None,['Sorcery'],None,Uncommon,INV,None,None,None,Assault deals 2 damage to any target.
Alloy Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,INV,4,4,None,"As Alloy Golem enters the battlefield, choose a color.\nAlloy Golem is the chosen color. (It's still an artifact.)"
Yavimaya Kavu,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Kavu'],Uncommon,INV,*,*,None,Yavimaya Kavu's power is equal to the number of red creatures on the battlefield.\nYavimaya Kavu's toughness is equal to the number of green creatures on the battlefield.
Wings of Hope,2.0,"['U', 'W']","['U', 'W']",None,['Enchantment'],['Aura'],Common,INV,None,None,None,Enchant creature\nEnchanted creature gets +1/+3 and has flying.
Void,5.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Rare,INV,None,None,None,Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discards all nonland cards with mana value equal to the number.
Vile Consumption,3.0,"['B', 'U']","['B', 'U']",None,['Enchantment'],None,Rare,INV,None,None,None,"All creatures have ""At the beginning of your upkeep, sacrifice this creature unless you pay 1 life."""
Urborg Drake,3.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Drake'],Uncommon,INV,2,3,None,Flying\nUrborg Drake attacks each combat if able.
Tsabo Tavoc,7.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Phyrexian', 'Horror']",Rare,INV,7,4,None,"First strike, protection from legendary creatures\n{B}{B}, {T}: Destroy target legendary creature. It can't be regenerated."
Teferi's Moat,5.0,"['U', 'W']","['U', 'W']",None,['Enchantment'],None,Rare,INV,None,None,None,"As Teferi's Moat enters the battlefield, choose a color.\nCreatures of the chosen color without flying can't attack you."
Stalking Assassin,3.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Human', 'Assassin']",Rare,INV,1,1,None,"{3}{U}, {T}: Tap target creature.\n{3}{B}, {T}: Destroy target tapped creature."
