Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Graveyard Shovel,2.0,None,None,None,['Artifact'],None,Uncommon,ISD,None,None,None,"{2}, {T}: Target player exiles a card from their graveyard. If it's a creature card, you gain 2 life."
Ghoulcaller's Bell,1.0,None,None,None,['Artifact'],None,Common,ISD,None,None,None,{T}: Each player mills a card.
Geistcatcher's Rig,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,ISD,4,5,None,"When Geistcatcher's Rig enters the battlefield, you may have it deal 4 damage to target creature with flying."
Galvanic Juggernaut,4.0,None,None,None,"['Artifact', 'Creature']",['Juggernaut'],Uncommon,ISD,5,5,None,"Galvanic Juggernaut attacks each combat if able.\nGalvanic Juggernaut doesn't untap during your untap step.\nWhenever another creature dies, untap Galvanic Juggernaut."
Demonmail Hauberk,4.0,None,None,None,['Artifact'],['Equipment'],Uncommon,ISD,None,None,None,Equipped creature gets +4/+2.\nEquip—Sacrifice a creature.
Creepy Doll,5.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,ISD,1,1,None,"Indestructible\nWhenever Creepy Doll deals combat damage to a creature, flip a coin. If you win the flip, destroy that creature."
Cobbled Wings,2.0,None,None,None,['Artifact'],['Equipment'],Common,ISD,None,None,None,Equipped creature has flying.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Cellar Door,2.0,None,None,None,['Artifact'],None,Uncommon,ISD,None,None,None,"{3}, {T}: Target player puts the bottom card of their library into their graveyard. If it's a creature card, you create a 2/2 black Zombie creature token."
Butcher's Cleaver,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,ISD,None,None,None,"Equipped creature gets +3/+0.\nAs long as equipped creature is a Human, it has lifelink.\nEquip {3}"
Blazing Torch,1.0,None,None,None,['Artifact'],['Equipment'],Common,ISD,None,None,None,"Equipped creature can't be blocked by Vampires or Zombies.\nEquipped creature has ""{T}, Sacrifice Blazing Torch: Blazing Torch deals 2 damage to any target.""\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Olivia Voldaren,4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],['Vampire'],Mythic,ISD,3,3,None,Flying\n{1}{R}: Olivia Voldaren deals 1 damage to another target creature. That creature becomes a Vampire in addition to its other types. Put a +1/+1 counter on Olivia Voldaren.\n{3}{B}{B}: Gain control of target Vampire for as long as you control Olivia Voldaren.
"Grimgrin, Corpse-Born",5.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Zombie', 'Warrior']",Mythic,ISD,5,5,None,"Grimgrin, Corpse-Born enters the battlefield tapped and doesn't untap during your untap step.\nSacrifice another creature: Untap Grimgrin and put a +1/+1 counter on it.\nWhenever Grimgrin attacks, destroy target creature defending player controls, then put a +1/+1 counter on Grimgrin."
