Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Orcish Artillery,3.0,['R'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,ITP,1,3,None,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.
Mons's Goblin Raiders,1.0,['R'],['R'],None,['Creature'],['Goblin'],Common,ITP,1,1,None,None
Ironclaw Orcs,2.0,['R'],['R'],None,['Creature'],['Orc'],Common,ITP,2,2,None,Ironclaw Orcs can't block creatures with power 2 or greater.
Hill Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Common,ITP,3,3,None,None
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Common,ITP,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Disintegrate,1.0,['R'],['R'],None,['Sorcery'],None,Common,ITP,None,None,None,"Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead."
Detonate,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,ITP,None,None,None,Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.
Weakness,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,ITP,None,None,None,Enchant creature\nEnchanted creature gets -2/-1.
Warp Artifact,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Rare,ITP,None,None,None,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player."
Wall of Bone,3.0,['B'],['B'],None,['Creature'],"['Skeleton', 'Wall']",Uncommon,ITP,1,4,None,"Defender (This creature can't attack.)\n{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Vampire Bats,1.0,['B'],['B'],None,['Creature'],['Bat'],Common,ITP,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Terror,2.0,['B'],['B'],None,['Instant'],None,Common,ITP,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ITP,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ITP,None,None,None,({T}: Add {G}.)
Sorceress Queen,3.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,ITP,1,1,None,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ITP,None,None,None,({T}: Add {G}.)
Scathe Zombies,3.0,['B'],['B'],None,['Creature'],['Zombie'],Common,ITP,2,2,None,None
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ITP,None,None,None,({T}: Add {R}.)
Raise Dead,1.0,['B'],['B'],None,['Sorcery'],None,Common,ITP,None,None,None,Return target creature card from your graveyard to your hand.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ITP,None,None,None,({T}: Add {R}.)
Murk Dwellers,4.0,['B'],['B'],None,['Creature'],['Zombie'],Common,ITP,2,2,None,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ITP,None,None,None,({T}: Add {R}.)
Lost Soul,3.0,['B'],['B'],None,['Creature'],"['Spirit', 'Minion']",Common,ITP,2,1,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ITP,None,None,None,({T}: Add {B}.)
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,ITP,None,None,None,Add {B}{B}{B}.
Healing Salve,1.0,['W'],['W'],None,['Instant'],None,Common,ITP,None,None,None,Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to any target this turn.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ITP,None,None,None,({T}: Add {B}.)
Cursed Land,4.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,ITP,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ITP,None,None,None,({T}: Add {B}.)
Circle of Protection: Black,2.0,['W'],['W'],None,['Enchantment'],None,Common,ITP,None,None,None,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ITP,None,None,None,({T}: Add {U}.)
Unsummon,1.0,['U'],['U'],None,['Instant'],None,Common,ITP,None,None,None,Return target creature to its owner's hand.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ITP,None,None,None,({T}: Add {U}.)
Bog Imp,2.0,['B'],['B'],None,['Creature'],['Imp'],Common,ITP,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ITP,None,None,None,({T}: Add {U}.)
Bog Wraith,4.0,['B'],['B'],None,['Creature'],['Wraith'],Uncommon,ITP,3,3,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
