Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Wavesifter,5.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Elemental'],Common,J21,3,2,None,"Flying\nWhen Wavesifter enters the battlefield, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\nEvoke {G}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Territorial Kavu,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Kavu'],Rare,J21,*,*,None,"Domain — Territorial Kavu's power and toughness are each equal to the number of basic land types among lands you control.\nWhenever Territorial Kavu attacks, choose one —\n• Discard a card. If you do, draw a card.\n• Exile up to one target card from a graveyard."
Terminal Agony,4.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Common,J21,None,None,None,"Destroy target creature.\nMadness {B}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
"Sythis, Harvest's Hand",2.0,"['G', 'W']","['G', 'W']",['Legendary'],"['Enchantment', 'Creature']",['Nymph'],Rare,J21,1,2,None,"Whenever you cast an enchantment spell, you gain 1 life and draw a card."
Reap the Past,2.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,J21,None,None,None,Return X cards at random from your graveyard to your hand. Exile Reap the Past.
Rakdos Headliner,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Devil'],Uncommon,J21,3,3,None,"Haste\nEcho—Discard a card. (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)"
Priest of Fell Rites,2.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Human', 'Warlock']",Rare,J21,2,2,None,"{T}, Pay 3 life, Sacrifice Priest of Fell Rites: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.\nUnearth {3}{W}{B} ({3}{W}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Thundering Djinn,5.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Djinn'],Uncommon,J21,3,4,None,"Flying\nWhenever Thundering Djinn attacks, it deals damage to any target equal to the number of cards you've drawn this turn."
Tropical Island,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Rare,J21,None,None,None,({T}: Add {G} or {U}.)
Regal Force,7.0,['G'],['G'],None,['Creature'],['Elemental'],Rare,J21,5,5,None,"When Regal Force enters the battlefield, draw a card for each green creature you control."
Giant Growth,1.0,['G'],['G'],None,['Instant'],None,Common,J21,None,None,None,Target creature gets +3/+3 until end of turn.
Fog,1.0,['G'],['G'],None,['Instant'],None,Common,J21,None,None,None,Prevent all combat damage that would be dealt this turn.
Shivan Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,J21,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Common,J21,None,None,None,Lightning Bolt deals 3 damage to any target.
Assault Strobe,1.0,['R'],['R'],None,['Sorcery'],None,Common,J21,None,None,None,Target creature gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
Reassembling Skeleton,2.0,['B'],['B'],None,['Creature'],"['Skeleton', 'Warrior']",Uncommon,J21,1,1,None,{1}{B}: Return Reassembling Skeleton from your graveyard to the battlefield tapped.
Duress,1.0,['B'],['B'],None,['Sorcery'],None,Common,J21,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,J21,None,None,None,Add {B}{B}{B}.
Ponder,1.0,['U'],['U'],None,['Sorcery'],None,Common,J21,None,None,None,"Look at the top three cards of your library, then put them back in any order. You may shuffle.\nDraw a card."
Kraken Hatchling,1.0,['U'],['U'],None,['Creature'],['Kraken'],Common,J21,0,4,None,None
Force Spike,1.0,['U'],['U'],None,['Instant'],None,Common,J21,None,None,None,Counter target spell unless its controller pays {1}.
Storm God's Oracle,3.0,"['R', 'U']","['R', 'U']",None,"['Enchantment', 'Creature']","['Human', 'Shaman']",Common,J21,1,3,None,"{1}: Storm God's Oracle gets +1/-1 until end of turn.\nWhen Storm God's Oracle dies, it deals 3 damage to any target."
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Uncommon,J21,None,None,None,Exile target creature. Its controller gains life equal to its power.
Sterling Grove,2.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,J21,None,None,None,"Other enchantments you control have shroud. (They can't be the targets of spells or abilities.)\n{1}, Sacrifice Sterling Grove: Search your library for an enchantment card, reveal it, then shuffle and put that card on top."
Stormfront Pegasus,2.0,['W'],['W'],None,['Creature'],['Pegasus'],Uncommon,J21,2,1,None,Flying
Light of Hope,1.0,['W'],['W'],None,['Instant'],None,Common,J21,None,None,None,Choose one —\n• You gain 4 life.\n• Destroy target enchantment.\n• Put a +1/+1 counter on target creature.
Sliver Hive,0.0,None,None,None,['Land'],None,Rare,J21,None,None,None,"{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a Sliver spell.\n{5}, {T}: Create a 1/1 colorless Sliver creature token. Activate only if you control a Sliver."
Soulherder,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Spirit'],Uncommon,J21,1,1,None,"Whenever a creature is exiled from the battlefield, put a +1/+1 counter on Soulherder.\nAt the beginning of your end step, you may exile another target creature you control, then return that card to the battlefield under its owner's control."
Shambleshark,2.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Shark', 'Crab']",Common,J21,2,1,None,"Flash (You may cast this spell any time you could cast an instant.)\nEvolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Ruination Rioter,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Human', 'Berserker']",Uncommon,J21,2,2,None,"When Ruination Rioter dies, you may have it deal damage to any target equal to the number of land cards in your graveyard."
Rotwidow Pack,4.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Spider'],Uncommon,J21,2,4,None,"Reach\n{3}{B}{G}, Exile a creature card from your graveyard: Create a 1/2 green Spider creature token with reach, then each opponent loses 1 life for each Spider you control."
Prophetic Titan,6.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Giant', 'Wizard']",Uncommon,J21,4,4,None,"Delirium — When Prophetic Titan enters the battlefield, choose one. If there are four or more card types among cards in your graveyard, choose both instead.\n• Prophetic Titan deals 4 damage to any target.\n• Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in a random order."
Khalni Garden,0.0,None,['G'],None,['Land'],None,Common,J21,None,None,None,"Khalni Garden enters the battlefield tapped.\nWhen Khalni Garden enters the battlefield, create a 0/1 green Plant creature token.\n{T}: Add {G}."
Ichor Wellspring,2.0,None,None,None,['Artifact'],None,Common,J21,None,None,None,"When Ichor Wellspring enters the battlefield or is put into a graveyard from the battlefield, draw a card."
"Zabaz, the Glimmerwasp",1.0,None,"['R', 'W']",['Legendary'],"['Artifact', 'Creature']",['Insect'],Rare,J21,0,0,None,"Modular 1\nIf a modular triggered ability would put one or more +1/+1 counters on a creature you control, that many plus one +1/+1 counters are put on it instead.\n{R}: Destroy target artifact you control.\n{W}: Zabaz, the Glimmerwasp gains flying until end of turn."
