Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Hungry Flames,3.0,['R'],['R'],None,['Instant'],None,Common,JMP,None,None,None,Hungry Flames deals 3 damage to target creature and 2 damage to target player or planeswalker.
Homing Lightning,4.0,['R'],['R'],None,['Instant'],None,Uncommon,JMP,None,None,None,Homing Lightning deals 4 damage to target creature and each other creature with the same name as that creature.
Hellrider,4.0,['R'],['R'],None,['Creature'],['Devil'],Rare,JMP,3,3,None,"Haste\nWhenever a creature you control attacks, Hellrider deals 1 damage to the player or planeswalker it's attacking."
Heartfire,2.0,['R'],['R'],None,['Instant'],None,Common,JMP,None,None,None,"As an additional cost to cast this spell, sacrifice a creature or planeswalker.\nHeartfire deals 4 damage to any target."
Hamletback Goliath,7.0,['R'],['R'],None,['Creature'],"['Giant', 'Warrior']",Rare,JMP,6,6,None,"Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power."
Grim Lavamancer,1.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,JMP,1,1,None,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target."
Goblin Shortcutter,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Scout']",Common,JMP,2,1,None,"When Goblin Shortcutter enters the battlefield, target creature can't block this turn."
Goblin Rally,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JMP,None,None,None,Create four 1/1 red Goblin creature tokens.
Goblin Lore,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JMP,None,None,None,"Draw four cards, then discard three cards at random."
Goblin Instigator,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rogue']",Common,JMP,1,1,None,"When Goblin Instigator enters the battlefield, create a 1/1 red Goblin creature token."
Goblin Goon,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Mutant']",Rare,JMP,6,6,None,Goblin Goon can't attack unless you control more creatures than defending player.\nGoblin Goon can't block unless you control more creatures than attacking player.
Goblin Commando,5.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,JMP,2,2,None,"When Goblin Commando enters the battlefield, it deals 2 damage to target creature."
Goblin Chieftain,3.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,JMP,2,2,None,Haste (This creature can attack and {T} as soon as it comes under your control.)\nOther Goblin creatures you control get +1/+1 and have haste.
Furnace Whelp,4.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,JMP,2,2,None,Flying\n{R}: Furnace Whelp gets +1/+0 until end of turn.
Forge Devil,1.0,['R'],['R'],None,['Creature'],['Devil'],Common,JMP,1,1,None,"When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you."
Flurry of Horns,5.0,['R'],['R'],None,['Sorcery'],None,Common,JMP,None,None,None,Create two 2/3 red Minotaur creature tokens with haste.
Fling,2.0,['R'],['R'],None,['Instant'],None,Common,JMP,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nFling deals damage equal to the sacrificed creature's power to any target."
Flametongue Kavu,4.0,['R'],['R'],None,['Creature'],['Kavu'],Uncommon,JMP,4,2,None,"When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature."
Flames of the Raze-Boar,6.0,['R'],['R'],None,['Instant'],None,Uncommon,JMP,None,None,None,Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.
Flames of the Firebrand,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JMP,None,None,None,"Flames of the Firebrand deals 3 damage divided as you choose among one, two, or three targets."
Flame Lash,4.0,['R'],['R'],None,['Instant'],None,Common,JMP,None,None,None,Flame Lash deals 4 damage to any target.
Borderland Minotaur,4.0,['R'],['R'],None,['Creature'],"['Minotaur', 'Warrior']",Common,JMP,4,3,None,None
Dragonspeaker Shaman,3.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian', 'Shaman']",Uncommon,JMP,2,2,None,Dragon spells you cast cost {2} less to cast.
"Etali, Primal Storm",6.0,['R'],['R'],['Legendary'],['Creature'],"['Elder', 'Dinosaur']",Rare,JMP,6,6,None,"Whenever Etali, Primal Storm attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs."
Fanatical Firebrand,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Pirate']",Common,JMP,1,1,None,"Haste\n{T}, Sacrifice Fanatical Firebrand: It deals 1 damage to any target."
Dualcaster Mage,3.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,JMP,2,2,None,"Flash\nWhen Dualcaster Mage enters the battlefield, copy target instant or sorcery spell. You may choose new targets for the copy."
Dragonlord's Servant,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Uncommon,JMP,1,3,None,Dragon spells you cast cost {1} less to cast.
Dragon Hatchling,2.0,['R'],['R'],None,['Creature'],['Dragon'],Common,JMP,0,1,None,Flying\n{R}: Dragon Hatchling gets +1/+0 until end of turn.
Dragon Fodder,2.0,['R'],['R'],None,['Sorcery'],None,Common,JMP,None,None,None,Create two 1/1 red Goblin creature tokens.
Draconic Roar,2.0,['R'],['R'],None,['Instant'],None,Uncommon,JMP,None,None,None,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.\nDraconic Roar deals 3 damage to target creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, Draconic Roar deals 3 damage to that creature's controller."
Doublecast,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JMP,None,None,None,"When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
Chain Lightning,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JMP,None,None,None,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy."
Dance with Devils,4.0,['R'],['R'],None,['Instant'],None,Uncommon,JMP,None,None,None,"Create two 1/1 red Devil creature tokens. They have ""When this creature dies, it deals 1 damage to any target."""
Borderland Marauder,2.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,JMP,1,2,None,"Whenever Borderland Marauder attacks, it gets +2/+0 until end of turn."
Collateral Damage,1.0,['R'],['R'],None,['Instant'],None,Common,JMP,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nCollateral Damage deals 3 damage to any target."
Cinder Elemental,4.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,JMP,2,2,None,"{X}{R}, {T}, Sacrifice Cinder Elemental: It deals X damage to any target."
Charmbreaker Devils,6.0,['R'],['R'],None,['Creature'],['Devil'],Rare,JMP,4,4,None,"At the beginning of your upkeep, return an instant or sorcery card at random from your graveyard to your hand.\nWhenever you cast an instant or sorcery spell, Charmbreaker Devils gets +4/+0 until end of turn."
Boggart Brute,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,JMP,3,2,None,Menace (This creature can't be blocked except by two or more creatures.)
Bloodshot Trainee,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Uncommon,JMP,2,3,None,{T}: Bloodshot Trainee deals 4 damage to target creature. Activate only if Bloodshot Trainee's power is 4 or greater.
Bloodrock Cyclops,3.0,['R'],['R'],None,['Creature'],['Cyclops'],Common,JMP,3,3,None,Bloodrock Cyclops attacks each combat if able.
Bloodrage Brawler,2.0,['R'],['R'],None,['Creature'],"['Minotaur', 'Warrior']",Uncommon,JMP,4,3,None,"When Bloodrage Brawler enters the battlefield, discard a card."
Blindblast,3.0,['R'],['R'],None,['Instant'],None,Common,JMP,None,None,None,Blindblast deals 1 damage to target creature. That creature can't block this turn.\nDraw a card.
Beetleback Chief,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Uncommon,JMP,2,2,None,"When Beetleback Chief enters the battlefield, create two 1/1 red Goblin creature tokens."
Bathe in Dragonfire,3.0,['R'],['R'],None,['Sorcery'],None,Common,JMP,None,None,None,Bathe in Dragonfire deals 4 damage to target creature.
Barrage of Expendables,1.0,['R'],['R'],None,['Enchantment'],None,Uncommon,JMP,None,None,None,"{R}, Sacrifice a creature: Barrage of Expendables deals 1 damage to any target."
Ball Lightning,3.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,JMP,6,1,None,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Ball Lightning."
Ashmouth Hound,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Dog']",Common,JMP,2,1,None,"Whenever Ashmouth Hound blocks or becomes blocked by a creature, Ashmouth Hound deals 1 damage to that creature."
Act of Treason,3.0,['R'],['R'],None,['Sorcery'],None,Common,JMP,None,None,None,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
Zombie Infestation,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,JMP,None,None,None,Discard two cards: Create a 2/2 black Zombie creature token.
Wight of Precinct Six,2.0,['B'],['B'],None,['Creature'],['Zombie'],Common,JMP,1,1,None,Wight of Precinct Six gets +1/+1 for each creature card in your opponents' graveyards.
Wailing Ghoul,2.0,['B'],['B'],None,['Creature'],['Zombie'],Common,JMP,1,3,None,"When Wailing Ghoul enters the battlefield, mill two cards."
Vampire Neonate,1.0,['B'],['B'],None,['Creature'],['Vampire'],Common,JMP,0,3,None,"{2}, {T}: Each opponent loses 1 life and you gain 1 life."
Tithebearer Giant,6.0,['B'],['B'],None,['Creature'],"['Giant', 'Warrior']",Common,JMP,4,5,None,"When Tithebearer Giant enters the battlefield, you draw a card and you lose 1 life."
Tempting Witch,3.0,['B'],['B'],None,['Creature'],"['Human', 'Warlock']",Uncommon,JMP,1,3,None,"When Tempting Witch enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n{2}, {T}, Sacrifice a Food: Target player loses 3 life."
Swarm of Bloodflies,5.0,['B'],['B'],None,['Creature'],['Insect'],Uncommon,JMP,0,0,None,"Flying\nSwarm of Bloodflies enters the battlefield with two +1/+1 counters on it.\nWhenever another creature dies, put a +1/+1 counter on Swarm of Bloodflies."
Stab Wound,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,JMP,None,None,None,"Enchant creature\nEnchanted creature gets -2/-2.\nAt the beginning of the upkeep of enchanted creature's controller, that player loses 2 life."
Soul Salvage,3.0,['B'],['B'],None,['Sorcery'],None,Common,JMP,None,None,None,Return up to two target creature cards from your graveyard to your hand.
Slate Street Ruffian,3.0,['B'],['B'],None,['Creature'],"['Human', 'Warrior']",Common,JMP,2,2,None,"Whenever Slate Street Ruffian becomes blocked, defending player discards a card."
"Sheoldred, Whispering One",7.0,['B'],['B'],['Legendary'],['Creature'],"['Phyrexian', 'Praetor']",Mythic,JMP,6,6,None,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\nAt the beginning of your upkeep, return target creature card from your graveyard to the battlefield.\nAt the beginning of each opponent's upkeep, that player sacrifices a creature."
Shambling Goblin,1.0,['B'],['B'],None,['Creature'],"['Zombie', 'Goblin']",Common,JMP,1,1,None,"When Shambling Goblin dies, target creature an opponent controls gets -1/-1 until end of turn."
Settle the Score,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,JMP,None,None,None,Exile target creature. Put two loyalty counters on a planeswalker you control.
Sengir Vampire,5.0,['B'],['B'],None,['Creature'],['Vampire'],Uncommon,JMP,4,4,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire."
Scourge of Nel Toth,7.0,['B'],['B'],None,['Creature'],"['Zombie', 'Dragon']",Rare,JMP,6,6,None,Flying\nYou may cast Scourge of Nel Toth from your graveyard by paying {B}{B} and sacrificing two creatures rather than paying its mana cost.
Sanitarium Skeleton,1.0,['B'],['B'],None,['Creature'],['Skeleton'],Common,JMP,1,2,None,{2}{B}: Return Sanitarium Skeleton from your graveyard to your hand.
Sangromancer,4.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Rare,JMP,3,3,None,"Flying\nWhenever a creature an opponent controls dies, you may gain 3 life.\nWhenever an opponent discards a card, you may gain 3 life."
Rise of the Dark Realms,9.0,['B'],['B'],None,['Sorcery'],None,Mythic,JMP,None,None,None,Put all creature cards from all graveyards onto the battlefield under your control.
Reanimate,1.0,['B'],['B'],None,['Sorcery'],None,Rare,JMP,None,None,None,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.
