Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Skyspear Cavalry,5.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,JOU,2,2,None,Flying\nDouble strike (This creature deals both first-strike and regular combat damage.)
Skybind,5.0,['W'],['W'],None,['Enchantment'],None,Rare,JOU,None,None,None,"Constellation — Whenever Skybind or another enchantment enters the battlefield under your control, exile target nonenchantment permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step."
Sightless Brawler,2.0,['W'],['W'],None,"['Enchantment', 'Creature']","['Human', 'Warrior']",Uncommon,JOU,3,2,None,"Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nSightless Brawler can't attack alone.\nEnchanted creature gets +3/+2 and can't attack alone."
Reprisal,2.0,['W'],['W'],None,['Instant'],None,Uncommon,JOU,None,None,None,Destroy target creature with power 4 or greater. It can't be regenerated.
Quarry Colossus,7.0,['W'],['W'],None,['Creature'],['Giant'],Uncommon,JOU,5,6,None,"When Quarry Colossus enters the battlefield, put target creature into its owner's library just beneath the top X cards of that library, where X is the number of Plains you control."
Phalanx Formation,3.0,['W'],['W'],None,['Instant'],None,Uncommon,JOU,None,None,None,Strive — This spell costs {1}{W} more to cast for each target beyond the first.\nAny number of target creatures each gain double strike until end of turn. (They deal both first-strike and regular combat damage.)
Dictate of Heliod,5.0,['W'],['W'],None,['Enchantment'],None,Rare,JOU,None,None,None,Flash\nCreatures you control get +2/+2.
Mortal Obstinacy,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,JOU,None,None,None,"Enchant creature you control\nEnchanted creature gets +1/+1.\nWhenever enchanted creature deals combat damage to a player, you may sacrifice Mortal Obstinacy. If you do, destroy target enchantment."
Oppressive Rays,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,JOU,None,None,None,Enchant creature\nEnchanted creature can't attack or block unless its controller pays {3}.\nActivated abilities of enchanted creature cost {3} more to activate.
Oreskos Swiftclaw,2.0,['W'],['W'],None,['Creature'],"['Cat', 'Warrior']",Common,JOU,3,1,None,None
Nyx-Fleece Ram,2.0,['W'],['W'],None,"['Enchantment', 'Creature']",['Sheep'],Uncommon,JOU,0,5,None,"At the beginning of your upkeep, you gain 1 life."
Ajani's Presence,1.0,['W'],['W'],None,['Instant'],None,Common,JOU,None,None,None,"Strive — This spell costs {2}{W} more to cast for each target beyond the first.\nAny number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)"
Harvestguard Alseids,3.0,['W'],['W'],None,"['Enchantment', 'Creature']",['Nymph'],Common,JOU,2,3,None,"Constellation — Whenever Harvestguard Alseids or another enchantment enters the battlefield under your control, prevent all damage that would be dealt to target creature this turn."
Launch the Fleet,1.0,['W'],['W'],None,['Sorcery'],None,Rare,JOU,None,None,None,"Strive — This spell costs {1} more to cast for each target beyond the first.\nUntil end of turn, any number of target creatures each gain ""Whenever this creature attacks, create a 1/1 white Soldier creature token that's tapped and attacking."""
Temple of Malady,0.0,None,"['B', 'G']",None,['Land'],None,Rare,JOU,None,None,None,"Temple of Malady enters the battlefield tapped.\nWhen Temple of Malady enters the battlefield, scry 1.\n{T}: Add {B} or {G}."
Leonin Iconoclast,4.0,['W'],['W'],None,['Creature'],"['Cat', 'Monk']",Uncommon,JOU,3,2,None,"Heroic — Whenever you cast a spell that targets Leonin Iconoclast, destroy target enchantment creature an opponent controls."
Temple of Epiphany,0.0,None,"['R', 'U']",None,['Land'],None,Rare,JOU,None,None,None,"Temple of Epiphany enters the battlefield tapped.\nWhen Temple of Epiphany enters the battlefield, scry 1.\n{T}: Add {U} or {R}."
Lagonna-Band Trailblazer,1.0,['W'],['W'],None,['Creature'],"['Centaur', 'Scout']",Common,JOU,0,4,None,"Heroic — Whenever you cast a spell that targets Lagonna-Band Trailblazer, put a +1/+1 counter on Lagonna-Band Trailblazer."
Mana Confluence,0.0,None,None,None,['Land'],None,Rare,JOU,None,None,None,"{T}, Pay 1 life: Add one mana of any color."
Eagle of the Watch,3.0,['W'],['W'],None,['Creature'],['Bird'],Common,JOU,2,1,None,"Flying, vigilance"
Hall of Triumph,3.0,None,None,['Legendary'],['Artifact'],None,Rare,JOU,None,None,None,"As Hall of Triumph enters the battlefield, choose a color.\nCreatures you control of the chosen color get +1/+1."
Godsend,3.0,['W'],['W'],['Legendary'],['Artifact'],['Equipment'],Mythic,JOU,None,None,None,"Equipped creature gets +3/+3.\nWhenever equipped creature blocks or becomes blocked by one or more creatures, you may exile one of those creatures.\nYour opponents can't cast spells with the same name as a card exiled with Godsend.\nEquip {3}"
Gold-Forged Sentinel,6.0,None,None,None,"['Artifact', 'Creature']",['Chimera'],Uncommon,JOU,4,4,None,Flying
Akroan Mastiff,4.0,['W'],['W'],None,['Creature'],['Dog'],Common,JOU,2,2,None,"{W}, {T}: Tap target creature."
Deserter's Quarters,2.0,None,None,None,['Artifact'],None,Uncommon,JOU,None,None,None,"You may choose not to untap Deserter's Quarters during your untap step.\n{6}, {T}: Tap target creature. It doesn't untap during its controller's untap step for as long as Deserter's Quarters remains tapped."
Font of Vigor,2.0,['W'],['W'],None,['Enchantment'],None,Common,JOU,None,None,None,"{2}{W}, Sacrifice Font of Vigor: You gain 7 life."
Chariot of Victory,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,JOU,None,None,None,"Equipped creature has first strike, trample, and haste.\nEquip {1}"
Eidolon of Rhetoric,3.0,['W'],['W'],None,"['Enchantment', 'Creature']",['Spirit'],Uncommon,JOU,1,4,None,Each player can't cast more than one spell each turn.
Armory of Iroas,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,JOU,None,None,None,"Whenever equipped creature attacks, put a +1/+1 counter on it.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Deicide,2.0,['W'],['W'],None,['Instant'],None,Rare,JOU,None,None,None,"Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles."
