Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Riftstone Portal,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,JUD,None,None,None,"{T}: Add {C}.\nAs long as Riftstone Portal is in your graveyard, lands you control have ""{T}: Add {G} or {W}."""
Nantuko Monastery,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,JUD,None,None,None,{T}: Add {C}.\nThreshold — {G}{W}: Nantuko Monastery becomes a 4/4 green and white Insect Monk creature with first strike until end of turn. It's still a land. Activate only if seven or more cards are in your graveyard.
Krosan Verge,0.0,None,None,None,['Land'],None,Uncommon,JUD,None,None,None,"Krosan Verge enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle."
Phantom Nishoba,7.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Cat', 'Beast', 'Spirit']",Rare,JUD,0,0,None,"Trample\nPhantom Nishoba enters the battlefield with seven +1/+1 counters on it.\nWhenever Phantom Nishoba deals damage, you gain that much life.\nIf damage would be dealt to Phantom Nishoba, prevent that damage. Remove a +1/+1 counter from Phantom Nishoba."
Mirari's Wake,5.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,JUD,None,None,None,"Creatures you control get +1/+1.\nWhenever you tap a land for mana, add one mana of any type that land produced."
Hunting Grounds,2.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,JUD,None,None,None,"Threshold — As long as seven or more cards are in your graveyard, Hunting Grounds has ""Whenever an opponent casts a spell, you may put a creature card from your hand onto the battlefield."""
Anurid Brushhopper,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Frog', 'Beast']",Rare,JUD,3,4,None,Discard two cards: Exile Anurid Brushhopper. Return it to the battlefield under its owner's control at the beginning of the next end step.
Venomous Vines,4.0,['G'],['G'],None,['Sorcery'],None,Common,JUD,None,None,None,Destroy target enchanted permanent.
Tunneler Wurm,8.0,['G'],['G'],None,['Creature'],['Wurm'],Uncommon,JUD,6,6,None,Discard a card: Regenerate Tunneler Wurm.
"Thriss, Nantuko Primus",7.0,['G'],['G'],['Legendary'],['Creature'],"['Insect', 'Druid']",Rare,JUD,5,5,None,"{G}, {T}: Target creature gets +5/+5 until end of turn."
Sylvan Safekeeper,1.0,['G'],['G'],None,['Creature'],"['Human', 'Wizard']",Rare,JUD,1,1,None,Sacrifice a land: Target creature you control gains shroud until end of turn. (It can't be the target of spells or abilities.)
Sudden Strength,4.0,['G'],['G'],None,['Instant'],None,Common,JUD,None,None,None,Target creature gets +3/+3 until end of turn.\nDraw a card.
Serene Sunset,1.0,['G'],['G'],None,['Instant'],None,Uncommon,JUD,None,None,None,Prevent all combat damage X target creatures would deal this turn.
Seedtime,2.0,['G'],['G'],None,['Instant'],None,Rare,JUD,None,None,None,Cast this spell only during your turn.\nTake an extra turn after this one if an opponent cast a blue spell this turn.
Phantom Tiger,3.0,['G'],['G'],None,['Creature'],"['Cat', 'Spirit']",Common,JUD,1,0,None,"Phantom Tiger enters the battlefield with two +1/+1 counters on it.\nIf damage would be dealt to Phantom Tiger, prevent that damage. Remove a +1/+1 counter from Phantom Tiger."
Phantom Nantuko,3.0,['G'],['G'],None,['Creature'],"['Insect', 'Spirit']",Rare,JUD,0,0,None,"Trample\nPhantom Nantuko enters the battlefield with two +1/+1 counters on it.\nIf damage would be dealt to Phantom Nantuko, prevent that damage. Remove a +1/+1 counter from Phantom Nantuko.\n{T}: Put a +1/+1 counter on Phantom Nantuko."
Phantom Centaur,4.0,['G'],['G'],None,['Creature'],"['Centaur', 'Spirit']",Uncommon,JUD,2,0,None,"Protection from black\nPhantom Centaur enters the battlefield with three +1/+1 counters on it.\nIf damage would be dealt to Phantom Centaur, prevent that damage. Remove a +1/+1 counter from Phantom Centaur."
Nullmage Advocate,3.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Common,JUD,2,3,None,{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target artifact or enchantment.
Nantuko Tracer,2.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Common,JUD,2,1,None,"When Nantuko Tracer enters the battlefield, you may put target card from a graveyard on the bottom of its owner's library."
Living Wish,2.0,['G'],['G'],None,['Sorcery'],None,Rare,JUD,None,None,None,You may reveal a creature or land card you own from outside the game and put it into your hand. Exile Living Wish.
Krosan Wayfarer,1.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Common,JUD,1,1,None,Sacrifice Krosan Wayfarer: You may put a land card from your hand onto the battlefield.
Krosan Reclamation,2.0,['G'],['G'],None,['Instant'],None,Uncommon,JUD,None,None,None,Target player shuffles up to two target cards from their graveyard into their library.\nFlashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Ironshell Beetle,2.0,['G'],['G'],None,['Creature'],['Insect'],Common,JUD,1,1,None,"When Ironshell Beetle enters the battlefield, put a +1/+1 counter on target creature."
Harvester Druid,2.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Common,JUD,1,1,None,{T}: Add one mana of any color that a land you control could produce.
Grizzly Fate,5.0,['G'],['G'],None,['Sorcery'],None,Uncommon,JUD,None,None,None,Create two 2/2 green Bear creature tokens.\nThreshold — Create four 2/2 green Bear creature tokens instead if seven or more cards are in your graveyard.\nFlashback {5}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Giant Warthog,6.0,['G'],['G'],None,['Creature'],"['Boar', 'Beast']",Common,JUD,5,5,None,Trample
Genesis,5.0,['G'],['G'],None,['Creature'],['Incarnation'],Rare,JUD,4,4,None,"At the beginning of your upkeep, if Genesis is in your graveyard, you may pay {2}{G}. If you do, return target creature card from your graveyard to your hand."
Swirling Sandstorm,4.0,['R'],['R'],None,['Sorcery'],None,Common,JUD,None,None,None,Threshold — Swirling Sandstorm deals 5 damage to each creature without flying if seven or more cards are in your graveyard.
Erhnam Djinn,4.0,['G'],['G'],None,['Creature'],['Djinn'],Rare,JUD,4,5,None,"At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)"
Folk Medicine,3.0,['G'],"['G', 'W']",None,['Instant'],None,Common,JUD,None,None,None,You gain 1 life for each creature you control.\nFlashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Forcemage Advocate,2.0,['G'],['G'],None,['Creature'],"['Centaur', 'Shaman']",Uncommon,JUD,2,1,None,{T}: Return target card from an opponent's graveyard to their hand. Put a +1/+1 counter on target creature.
