Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ancestral Vision,0.0,['U'],['U'],None,['Sorcery'],None,Rare,JVC,None,None,None,"Suspend 4—{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)\nTarget player draws three cards."
Errant Ephemeron,7.0,['U'],['U'],None,['Creature'],['Illusion'],Common,JVC,4,4,None,"Flying\nSuspend 4—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,JVC,None,None,None,({T}: Add {R}.)
Quicksilver Dragon,6.0,['U'],['U'],None,['Creature'],['Dragon'],Rare,JVC,5,5,None,"Flying\n{U}: If target spell has only one target and that target is Quicksilver Dragon, change that spell's target to another creature.\nMorph {4}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,JVC,None,None,None,({T}: Add {R}.)
Brine Elemental,6.0,['U'],['U'],None,['Creature'],['Elemental'],Uncommon,JVC,5,4,None,"Morph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Brine Elemental is turned face up, each opponent skips their next untap step."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,JVC,None,None,None,({T}: Add {R}.)
Martyr of Frost,1.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,JVC,1,1,None,"{2}, Reveal X blue cards from your hand, Sacrifice Martyr of Frost: Counter target spell unless its controller pays {X}."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,JVC,None,None,None,({T}: Add {R}.)
Willbender,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,JVC,1,2,None,"Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Willbender is turned face up, change the target of target spell or ability with a single target."
Keldon Megaliths,0.0,None,['R'],None,['Land'],None,Uncommon,JVC,None,None,None,"Keldon Megaliths enters the battlefield tapped.\n{T}: Add {R}.\nHellbent — {1}{R}, {T}: Keldon Megaliths deals 1 damage to any target. Activate only if you have no cards in hand."
Riftwing Cloudskate,5.0,['U'],['U'],None,['Creature'],['Illusion'],Uncommon,JVC,2,2,None,"Flying\nWhen Riftwing Cloudskate enters the battlefield, return target permanent to its owner's hand.\nSuspend 3—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)"
Demonfire,1.0,['R'],['R'],None,['Sorcery'],None,Rare,JVC,None,None,None,"Demonfire deals X damage to any target. If a creature dealt damage this way would die this turn, exile it instead.\nHellbent — If you have no cards in hand, this spell can't be countered and the damage can't be prevented."
Spire Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,JVC,2,4,None,Affinity for Islands (This spell costs {1} less to cast for each Island you control.)\nFlying
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JVC,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Guile,6.0,['U'],['U'],None,['Creature'],"['Elemental', 'Incarnation']",Rare,JVC,6,6,None,"Guile can't be blocked except by three or more creatures.\nIf a spell or ability you control would counter a spell, instead exile that spell and you may play that card without paying its mana cost.\nWhen Guile is put into a graveyard from anywhere, shuffle it into its owner's library."
Fireblast,6.0,['R'],['R'],None,['Instant'],None,Common,JVC,None,None,None,You may sacrifice two Mountains rather than pay this spell's mana cost.\nFireblast deals 4 damage to any target.
Aethersnipe,6.0,['U'],['U'],None,['Creature'],['Elemental'],Common,JVC,4,4,None,"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.\nEvoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Cone of Flame,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,JVC,None,None,None,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target."
Air Elemental,5.0,['U'],['U'],None,['Creature'],['Elemental'],Uncommon,JVC,4,4,None,Flying
Flame Javelin,6.0,['R'],['R'],None,['Instant'],None,Uncommon,JVC,None,None,None,({2/R} can be paid with any two mana or with {R}. This card's mana value is 6.)\nFlame Javelin deals 4 damage to any target.
Mulldrifter,5.0,['U'],['U'],None,['Creature'],['Elemental'],Common,JVC,2,2,None,"Flying\nWhen Mulldrifter enters the battlefield, draw two cards.\nEvoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Magma Jet,2.0,['R'],['R'],None,['Instant'],None,Uncommon,JVC,None,None,None,Magma Jet deals 2 damage to any target. Scry 2.
Waterspout Djinn,4.0,['U'],['U'],None,['Creature'],['Djinn'],Uncommon,JVC,4,4,None,"Flying\nAt the beginning of your upkeep, sacrifice Waterspout Djinn unless you return an untapped Island you control to its owner's hand."
Incinerate,2.0,['R'],['R'],None,['Instant'],None,Common,JVC,None,None,None,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
Fledgling Mawcor,4.0,['U'],['U'],None,['Creature'],['Beast'],Uncommon,JVC,2,2,None,Flying\n{T}: Fledgling Mawcor deals 1 damage to any target.\nMorph {U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Seal of Fire,1.0,['R'],['R'],None,['Enchantment'],None,Common,JVC,None,None,None,Sacrifice Seal of Fire: It deals 2 damage to any target.
Ophidian,3.0,['U'],['U'],None,['Creature'],['Snake'],Common,JVC,1,3,None,"Whenever Ophidian attacks and isn't blocked, you may draw a card. If you do, Ophidian assigns no combat damage this turn."
Firebolt,1.0,['R'],['R'],None,['Sorcery'],None,Common,JVC,None,None,None,Firebolt deals 2 damage to any target.\nFlashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Jace Beleren,3.0,['U'],['U'],['Legendary'],['Planeswalker'],['Jace'],Mythic,JVC,None,None,3,[+2]: Each player draws a card.\n[−1]: Target player draws a card.\n[−10]: Target player mills twenty cards.
Hostility,6.0,['R'],['R'],None,['Creature'],"['Elemental', 'Incarnation']",Rare,JVC,6,6,None,"Haste\nIf a spell you control would deal damage to an opponent, prevent that damage. Create a 3/1 red Elemental Shaman creature token with haste for each 1 damage prevented this way.\nWhen Hostility is put into a graveyard from anywhere, shuffle it into its owner's library."
Man-o'-War,3.0,['U'],['U'],None,['Creature'],['Jellyfish'],Common,JVC,2,2,None,"When Man-o'-War enters the battlefield, return target creature to its owner's hand."
Chartooth Cougar,6.0,['R'],['R'],None,['Creature'],"['Cat', 'Beast']",Common,JVC,4,4,None,"{R}: Chartooth Cougar gets +1/+0 until end of turn.\nMountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)"
Wall of Deceit,2.0,['U'],['U'],None,['Creature'],['Wall'],Uncommon,JVC,0,5,None,Defender (This creature can't attack.)\n{3}: Turn Wall of Deceit face down.\nMorph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Oxidda Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,JVC,3,2,None,Affinity for Mountains (This spell costs {1} less to cast for each Mountain you control.)\nHaste
Fathom Seer,2.0,['U'],['U'],None,['Creature'],['Illusion'],Common,JVC,1,3,None,"Morph—Return two Islands you control to their owner's hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Fathom Seer is turned face up, draw two cards."
Ingot Chewer,5.0,['R'],['R'],None,['Creature'],['Elemental'],Common,JVC,3,3,None,"When Ingot Chewer enters the battlefield, destroy target artifact.\nEvoke {R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Bottle Gnomes,3.0,None,None,None,"['Artifact', 'Creature']",['Gnome'],Uncommon,JVC,1,3,None,Sacrifice Bottle Gnomes: You gain 3 life.
Rakdos Pit Dragon,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,JVC,3,3,None,{R}{R}: Rakdos Pit Dragon gains flying until end of turn.\n{R}: Rakdos Pit Dragon gets +1/+0 until end of turn.\nHellbent — Rakdos Pit Dragon has double strike as long as you have no cards in hand.
Voidmage Apprentice,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,JVC,1,1,None,"Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Voidmage Apprentice is turned face up, counter target spell."
Furnace Whelp,4.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,JVC,2,2,None,Flying\n{R}: Furnace Whelp gets +1/+0 until end of turn.
Flametongue Kavu,4.0,['R'],['R'],None,['Creature'],['Kavu'],Uncommon,JVC,4,2,None,"When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature."
Inner-Flame Acolyte,3.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Common,JVC,2,2,None,"When Inner-Flame Acolyte enters the battlefield, target creature gets +2/+0 and gains haste until end of turn.\nEvoke {R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Flamewave Invoker,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Mutant']",Uncommon,JVC,2,2,None,{7}{R}: Flamewave Invoker deals 5 damage to target player or planeswalker.
Slith Firewalker,2.0,['R'],['R'],None,['Creature'],['Slith'],Uncommon,JVC,1,1,None,"Haste\nWhenever Slith Firewalker deals combat damage to a player, put a +1/+1 counter on it."
Pyre Charger,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Warrior']",Uncommon,JVC,1,1,None,Haste\n{R}: Pyre Charger gets +1/+0 until end of turn.
Soulbright Flamekin,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Common,JVC,2,1,None,"{2}: Target creature gains trample until end of turn. If this is the third time this ability has resolved this turn, you may add {R}{R}{R}{R}{R}{R}{R}{R}."
Fireslinger,2.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Common,JVC,1,1,None,{T}: Fireslinger deals 1 damage to any target and 1 damage to you.
Flamekin Brawler,1.0,['R'],['R'],None,['Creature'],"['Elemental', 'Warrior']",Common,JVC,0,2,None,{R}: Flamekin Brawler gets +1/+0 until end of turn.
Chandra Nalaar,5.0,['R'],['R'],['Legendary'],['Planeswalker'],['Chandra'],Mythic,JVC,None,None,6,[+1]: Chandra Nalaar deals 1 damage to target player or planeswalker.\n[−X]: Chandra Nalaar deals X damage to target creature.\n[−8]: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,JVC,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,JVC,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,JVC,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,JVC,None,None,None,({T}: Add {U}.)
Terrain Generator,0.0,None,None,None,['Land'],None,Uncommon,JVC,None,None,None,"{T}: Add {C}.\n{2}, {T}: You may put a basic land card from your hand onto the battlefield tapped."
Condescend,1.0,['U'],['U'],None,['Instant'],None,Common,JVC,None,None,None,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Gush,5.0,['U'],['U'],None,['Instant'],None,Common,JVC,None,None,None,You may return two Islands you control to their owner's hand rather than pay this spell's mana cost.\nDraw two cards.
Fact or Fiction,4.0,['U'],['U'],None,['Instant'],None,Uncommon,JVC,None,None,None,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
Repulse,3.0,['U'],['U'],None,['Instant'],None,Common,JVC,None,None,None,Return target creature to its owner's hand.\nDraw a card.
Counterspell,2.0,['U'],['U'],None,['Instant'],None,Common,JVC,None,None,None,Counter target spell.
Daze,2.0,['U'],['U'],None,['Instant'],None,Common,JVC,None,None,None,You may return an Island you control to its owner's hand rather than pay this spell's mana cost.\nCounter target spell unless its controller pays {1}.
Mind Stone,2.0,None,None,None,['Artifact'],None,Uncommon,JVC,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Mind Stone: Draw a card."
