Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spirit of the Aldergard,4.0,['G'],['G'],['Snow'],['Creature'],"['Bear', 'Spirit']",Uncommon,KHM,0,4,None,"When Spirit of the Aldergard enters the battlefield, search your library for a snow land card, reveal it, put it into your hand, then shuffle.\nSpirit of the Aldergard gets +1/+0 for each other snow permanent you control."
Struggle for Skemfar,4.0,['G'],['G'],None,['Sorcery'],None,Common,KHM,None,None,None,"Put a +1/+1 counter on target creature you control. Then that creature fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)\nForetell {G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Snakeskin Veil,1.0,['G'],['G'],None,['Instant'],None,Common,KHM,None,None,None,Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Sculptor of Winter,2.0,['G'],['G'],['Snow'],['Creature'],"['Elf', 'Rogue']",Common,KHM,2,2,None,{T}: Untap target snow land.
Sarulf's Packmate,4.0,['G'],['G'],None,['Creature'],['Wolf'],Common,KHM,3,3,None,"When Sarulf's Packmate enters the battlefield, draw a card.\nForetell {1}{G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Rune of Might,2.0,['G'],['G'],None,['Enchantment'],"['Aura', 'Rune']",Uncommon,KHM,None,None,None,"Enchant permanent\nWhen Rune of Might enters the battlefield, draw a card.\nAs long as enchanted permanent is a creature, it gets +1/+1 and has trample.\nAs long as enchanted permanent is an Equipment, it has ""Equipped creature gets +1/+1 and has trample."""
Roots of Wisdom,2.0,['G'],['G'],None,['Sorcery'],None,Common,KHM,None,None,None,"Mill three cards, then return a land card or Elf card from your graveyard to your hand. If you can't, draw a card. (To mill a card, put the top card of your library into your graveyard.)"
Rootless Yew,5.0,['G'],['G'],None,['Creature'],['Treefolk'],Uncommon,KHM,5,4,None,"When Rootless Yew dies, search your library for a creature card with power or toughness 6 or greater, reveal it, put it into your hand, then shuffle."
Masked Vandal,2.0,['G'],['G'],None,['Creature'],['Shapeshifter'],Common,KHM,1,3,None,"Changeling (This card is every creature type.)\nWhen Masked Vandal enters the battlefield, you may exile a creature card from your graveyard. If you do, exile target artifact or enchantment an opponent controls."
Realmwalker,3.0,['G'],['G'],None,['Creature'],['Shapeshifter'],Rare,KHM,2,3,None,"Changeling (This card is every creature type.)\nAs Realmwalker enters the battlefield, choose a creature type.\nYou may look at the top card of your library any time.\nYou may cast creature spells of the chosen type from the top of your library."
Mammoth Growth,3.0,['G'],['G'],None,['Instant'],None,Common,KHM,None,None,None,"Target creature gets +4/+4 until end of turn.\nForetell {G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Ravenous Lindwurm,6.0,['G'],['G'],None,['Creature'],['Wurm'],Common,KHM,6,6,None,"When Ravenous Lindwurm enters the battlefield, you gain 4 life."
Path to the World Tree,2.0,['G'],"['B', 'G', 'R', 'U', 'W']",None,['Enchantment'],None,Uncommon,KHM,None,None,None,"When Path to the World Tree enters the battlefield, search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n{2}{W}{U}{B}{R}{G}, Sacrifice Path to the World Tree: You gain 2 life and draw two cards. Target opponent loses 2 life. Path to the World Tree deals 2 damage to up to one target creature. You create a 2/2 green Bear creature token."
Old-Growth Troll,3.0,['G'],['G'],None,['Creature'],"['Troll', 'Warrior']",Rare,KHM,4,4,None,"Trample\nWhen Old-Growth Troll dies, if it was a creature, return it to the battlefield. It's an Aura enchantment with enchant Forest you control and ""Enchanted Forest has '{T}: Add {G}{G}' and '{1}, {T}, Sacrifice this land: Create a tapped 4/4 green Troll Warrior creature token with trample.'"""
"Kolvori, God of Kinship // The Ringhart Crest",4.0,['G'],['G'],['Legendary'],['Creature'],['God'],Rare,KHM,2,4,None,"As long as you control three or more legendary creatures, Kolvori gets +4/+2 and has vigilance.\n{1}{G}, {T}: Look at the top six cards of your library. You may reveal a legendary creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
King Harald's Revenge,3.0,['G'],['G'],None,['Sorcery'],None,Common,KHM,None,None,None,"Until end of turn, target creature gets +1/+1 for each creature you control and gains trample. It must be blocked this turn if able."
"Jorn, God of Winter // Kaldring, the Rimestaff",3.0,['G'],"['B', 'G', 'U']","['Legendary', 'Snow']",['Creature'],['God'],Rare,KHM,3,3,None,"Whenever Jorn attacks, untap each snow permanent you control."
Jaspera Sentinel,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Rogue']",Common,KHM,1,2,None,"Reach\n{T}, Tap an untapped creature you control: Add one mana of any color."
In Search of Greatness,2.0,['G'],['G'],None,['Enchantment'],None,Rare,KHM,None,None,None,"At the beginning of your upkeep, you may cast a permanent spell from your hand with mana value equal to 1 plus the highest mana value among other permanents you control without paying its mana cost. If you don't, scry 1."
Icehide Troll,3.0,['G'],['G'],['Snow'],['Creature'],"['Troll', 'Warrior']",Common,KHM,2,3,None,"{S}{S}: Icehide Troll gets +2/+0 and gains indestructible until end of turn. Tap it. (Damage and effects that say ""destroy"" don't destroy it. {S} can be paid with one mana from a snow source.)"
Horizon Seeker,3.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Common,KHM,3,2,None,"Boast — {1}{G}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle. (Activate only if this creature attacked this turn and only once each turn.)"
Guardian Gladewalker,2.0,['G'],['G'],None,['Creature'],['Shapeshifter'],Common,KHM,1,1,None,"Changeling (This card is every creature type.)\nWhen Guardian Gladewalker enters the battlefield, put a +1/+1 counter on target creature."
Grizzled Outrider,5.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,KHM,5,5,None,None
Gnottvold Recluse,3.0,['G'],['G'],None,['Creature'],['Spider'],Common,KHM,4,2,None,Reach
Glittering Frost,3.0,['G'],['G'],['Snow'],['Enchantment'],['Aura'],Common,KHM,None,None,None,"Enchant land\nEnchanted land is snow.\nWhenever enchanted land is tapped for mana, its controller adds an additional one mana of any color."
"Fynn, the Fangbearer",2.0,['G'],['G'],['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,KHM,1,3,None,"Deathtouch\nWhenever a creature you control with deathtouch deals combat damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)"
Esika's Chariot,4.0,['G'],['G'],['Legendary'],['Artifact'],['Vehicle'],Rare,KHM,4,4,None,"When Esika's Chariot enters the battlefield, create two 2/2 green Cat creature tokens.\nWhenever Esika's Chariot attacks, create a token that's a copy of target token you control.\nCrew 4"
"Esika, God of the Tree // The Prismatic Bridge",3.0,['G'],"['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['God'],Mythic,KHM,1,4,None,"Vigilance\n{T}: Add one mana of any color.\nOther legendary creatures you control have vigilance and ""{T}: Add one mana of any color."""
Elvish Warmaster,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,KHM,2,2,None,"Whenever one or more other Elves enter the battlefield under your control, create a 1/1 green Elf Warrior creature token. This ability triggers only once each turn.\n{5}{G}{G}: Elves you control get +2/+2 and gain deathtouch until end of turn."
A-Elven Bow,1.0,['G'],['G'],None,['Artifact'],['Equipment'],Uncommon,KHM,None,None,None,"When Elven Bow enters the battlefield, you may pay {1}. If you do, create a 1/1 green Elf Warrior creature token, then attach Elven Bow to it.\nEquipped creature gets +1/+2 and has reach.\nEquip {3}"
Elven Bow,1.0,['G'],['G'],None,['Artifact'],['Equipment'],Uncommon,KHM,None,None,None,"When Elven Bow enters the battlefield, you may pay {2}. If you do, create a 1/1 green Elf Warrior creature token, then attach Elven Bow to it.\nEquipped creature gets +1/+2 and has reach.\nEquip {3}"
A-Elderleaf Mentor,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,KHM,2,2,None,"When Elderleaf Mentor enters the battlefield, create a 1/1 green Elf Warrior creature token."
Elderleaf Mentor,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,KHM,3,2,None,"When Elderleaf Mentor enters the battlefield, create a 1/1 green Elf Warrior creature token."
Broken Wings,3.0,['G'],['G'],None,['Instant'],None,Common,KHM,None,None,None,"Destroy target artifact, enchantment, or creature with flying."
Boreal Outrider,3.0,['G'],['G'],['Snow'],['Creature'],"['Elf', 'Warrior']",Uncommon,KHM,3,2,None,"Whenever you cast a creature spell, if {S} of any of that spell's colors was spent to cast it, that creature enters the battlefield with an additional +1/+1 counter on it. ({S} is mana from a snow source.)"
Blizzard Brawl,1.0,['G'],['G'],['Snow'],['Sorcery'],None,Uncommon,KHM,None,None,None,"Choose target creature you control and target creature you don't control. If you control three or more snow permanents, the creature you control gets +1/+0 and gains indestructible until end of turn. Then those creatures fight each other. (Each deals damage equal to its power to the other.)"
Blessing of Frost,4.0,['G'],['G'],['Snow'],['Sorcery'],None,Rare,KHM,None,None,None,"Distribute X +1/+1 counters among any number of creatures you control, where X is the amount of {S} spent to cast this spell. Then draw a card for each creature you control with power 4 or greater."
