Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Bomat Bazaar Barge,4.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,KLD,5,5,None,"When Bomat Bazaar Barge enters the battlefield, draw a card.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Cultivator's Caravan,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,KLD,5,5,None,{T}: Add one mana of any color.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
Consulate Skygate,2.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Common,KLD,0,4,None,Defender\nReach (This creature can block creatures with flying.)
Cogworker's Puzzleknot,2.0,None,['W'],None,['Artifact'],None,Common,KLD,None,None,None,"When Cogworker's Puzzleknot enters the battlefield, create a 1/1 colorless Servo artifact creature token.\n{1}{W}, Sacrifice Cogworker's Puzzleknot: Create a 1/1 colorless Servo artifact creature token."
Bastion Mastodon,5.0,None,['W'],None,"['Artifact', 'Creature']",['Elephant'],Common,KLD,4,5,None,{W}: Bastion Mastodon gains vigilance until end of turn.
Ballista Charger,5.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,KLD,6,6,None,"Whenever Ballista Charger attacks, it deals 1 damage to any target.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Aradara Express,5.0,None,None,None,['Artifact'],['Vehicle'],Common,KLD,8,6,None,Menace\nCrew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
Animation Module,1.0,None,None,None,['Artifact'],None,Rare,KLD,None,None,None,"Whenever one or more +1/+1 counters are put on a permanent you control, you may pay {1}. If you do, create a 1/1 colorless Servo artifact creature token.\n{3}, {T}: Choose a counter on target permanent or player. Give that permanent or player another counter of that kind."
Aetherworks Marvel,4.0,None,None,['Legendary'],['Artifact'],None,Mythic,KLD,None,None,None,"Whenever a permanent you control is put into a graveyard, you get {E} (an energy counter).\n{T}, Pay {E}{E}{E}{E}{E}{E}: Look at the top six cards of your library. You may cast a spell from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
Aetherflux Reservoir,4.0,None,None,None,['Artifact'],None,Rare,KLD,None,None,None,"Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.\nPay 50 life: Aetherflux Reservoir deals 50 damage to any target."
Accomplished Automaton,7.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,KLD,5,7,None,"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)"
Whirler Virtuoso,3.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Vedalken', 'Artificer']",Uncommon,KLD,2,3,None,"When Whirler Virtuoso enters the battlefield, you get {E}{E}{E} (three energy counters).\nPay {E}{E}{E}: Create a 1/1 colorless Thopter artifact creature token with flying."
Voltaic Brawler,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Human', 'Warrior']",Uncommon,KLD,3,2,None,"When Voltaic Brawler enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Voltaic Brawler attacks, you may pay {E}. If you do, it gets +1/+1 and gains trample until end of turn."
Veteran Motorist,2.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Dwarf', 'Pilot']",Uncommon,KLD,3,1,None,"When Veteran Motorist enters the battlefield, scry 2.\nWhenever Veteran Motorist crews a Vehicle, that Vehicle gets +1/+1 until end of turn."
Unlicensed Disintegration,3.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Uncommon,KLD,None,None,None,"Destroy target creature. If you control an artifact, Unlicensed Disintegration deals 3 damage to that creature's controller."
Saheeli Rai,3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Planeswalker'],['Saheeli'],Mythic,KLD,None,None,3,"[+1]: Scry 1. Saheeli Rai deals 1 damage to each opponent.\n[−2]: Create a token that's a copy of target artifact or creature you control, except it's an artifact in addition to its other types. That token gains haste. Exile it at the beginning of the next end step.\n[−7]: Search your library for up to three artifact cards with different names, put them onto the battlefield, then shuffle."
Restoration Gearsmith,4.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Human', 'Artificer']",Uncommon,KLD,3,3,None,"When Restoration Gearsmith enters the battlefield, return target artifact or creature card from your graveyard to your hand."
"Rashmi, Eternities Crafter",4.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Druid']",Mythic,KLD,2,3,None,"Whenever you cast your first spell each turn, reveal the top card of your library. You may cast it without paying its mana cost if it's a spell with lesser mana value. If you don't cast it, put it into your hand."
"Kambal, Consul of Allocation",3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,KLD,2,3,None,"Whenever an opponent casts a noncreature spell, that player loses 2 life and you gain 2 life."
Hazardous Conditions,4.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Uncommon,KLD,None,None,None,Creatures with no counters on them get -2/-2 until end of turn.
Reckless Fireweaver,2.0,['R'],['R'],None,['Creature'],"['Human', 'Artificer']",Common,KLD,1,3,None,"Whenever an artifact enters the battlefield under your control, Reckless Fireweaver deals 1 damage to each opponent."
Empyreal Voyager,3.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Vedalken', 'Scout']",Uncommon,KLD,2,3,None,"Flying, trample\nWhenever Empyreal Voyager deals combat damage to a player, you get that many {E} (energy counters)."
Engineered Might,5.0,"['G', 'W']","['G', 'W']",None,['Sorcery'],None,Uncommon,KLD,None,None,None,Choose one —\n• Target creature gets +5/+5 and gains trample until end of turn.\n• Creatures you control get +2/+2 and gain vigilance until end of turn.
Dovin Baan,4.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Dovin'],Mythic,KLD,None,None,3,"[+1]: Until your next turn, up to one target creature gets -3/-0 and its activated abilities can't be activated.\n[−1]: You gain 2 life and draw a card.\n[−7]: You get an emblem with ""Your opponents can't untap more than two permanents during their untap steps."""
