Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Glint-Nest Crane,2.0,['U'],['U'],None,['Creature'],['Bird'],Uncommon,KLR,1,3,None,"Flying\nWhen Glint-Nest Crane enters the battlefield, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Outland Boar,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Boar'],Uncommon,KLR,4,4,None,Outland Boar can't be blocked by creatures with power 2 or less.
Glimmer of Genius,4.0,['U'],['U'],None,['Instant'],None,Uncommon,KLR,None,None,None,"Scry 2, then draw two cards. You get {E}{E} (two energy counters)."
Restoration Gearsmith,4.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Human', 'Artificer']",Uncommon,KLR,3,3,None,"When Restoration Gearsmith enters the battlefield, return target artifact or creature card from your graveyard to your hand."
Gearseeker Serpent,7.0,['U'],['U'],None,['Creature'],['Serpent'],Common,KLR,5,6,None,This spell costs {1} less to cast for each artifact you control.\n{5}{U}: Gearseeker Serpent can't be blocked this turn.
Renegade Wheelsmith,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Dwarf', 'Pilot']",Uncommon,KLR,3,2,None,"Whenever Renegade Wheelsmith becomes tapped, target creature can't block this turn."
Era of Innovation,2.0,['U'],['U'],None,['Enchantment'],None,Uncommon,KLR,None,None,None,"Whenever an artifact or Artificer enters the battlefield under your control, you may pay {1}. If you do, you get {E}{E} (two energy counters).\nPay {E}{E}{E}{E}{E}{E}, Sacrifice Era of Innovation: Draw three cards."
Renegade Rallier,3.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Human', 'Warrior']",Uncommon,KLR,3,2,None,"Revolt — When Renegade Rallier enters the battlefield, if a permanent you controlled left the battlefield this turn, return target permanent card with mana value 2 or less from your graveyard to the battlefield."
Disallow,3.0,['U'],['U'],None,['Instant'],None,Rare,KLR,None,None,None,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)"
Oath of Ajani,2.0,"['G', 'W']","['G', 'W']",['Legendary'],['Enchantment'],None,Rare,KLR,None,None,None,"When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.\nPlaneswalker spells you cast cost {1} less to cast."
Confiscation Coup,5.0,['U'],['U'],None,['Sorcery'],None,Rare,KLR,None,None,None,"Choose target artifact or creature. You get {E}{E}{E}{E} (four energy counters), then you may pay an amount of {E} equal to that permanent's mana value. If you do, gain control of it."
