Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,KTK,None,None,None,({T}: Add {W}.)
Wooded Foothills,0.0,None,None,None,['Land'],None,Rare,KTK,None,None,None,"{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle."
Windswept Heath,0.0,None,None,None,['Land'],None,Rare,KTK,None,None,None,"{T}, Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle."
Wind-Scarred Crag,0.0,None,"['R', 'W']",None,['Land'],None,Common,KTK,None,None,None,"Wind-Scarred Crag enters the battlefield tapped.\nWhen Wind-Scarred Crag enters the battlefield, you gain 1 life.\n{T}: Add {R} or {W}."
Tranquil Cove,0.0,None,"['U', 'W']",None,['Land'],None,Common,KTK,None,None,None,"Tranquil Cove enters the battlefield tapped.\nWhen Tranquil Cove enters the battlefield, you gain 1 life.\n{T}: Add {W} or {U}."
Tomb of the Spirit Dragon,0.0,None,None,None,['Land'],None,Uncommon,KTK,None,None,None,"{T}: Add {C}.\n{2}, {T}: You gain 1 life for each colorless creature you control."
Thornwood Falls,0.0,None,"['G', 'U']",None,['Land'],None,Common,KTK,None,None,None,"Thornwood Falls enters the battlefield tapped.\nWhen Thornwood Falls enters the battlefield, you gain 1 life.\n{T}: Add {G} or {U}."
Swiftwater Cliffs,0.0,None,"['R', 'U']",None,['Land'],None,Common,KTK,None,None,None,"Swiftwater Cliffs enters the battlefield tapped.\nWhen Swiftwater Cliffs enters the battlefield, you gain 1 life.\n{T}: Add {U} or {R}."
Scoured Barrens,0.0,None,"['B', 'W']",None,['Land'],None,Common,KTK,None,None,None,"Scoured Barrens enters the battlefield tapped.\nWhen Scoured Barrens enters the battlefield, you gain 1 life.\n{T}: Add {W} or {B}."
Sandsteppe Citadel,0.0,None,"['B', 'G', 'W']",None,['Land'],None,Uncommon,KTK,None,None,None,"Sandsteppe Citadel enters the battlefield tapped.\n{T}: Add {W}, {B}, or {G}."
Rugged Highlands,0.0,None,"['G', 'R']",None,['Land'],None,Common,KTK,None,None,None,"Rugged Highlands enters the battlefield tapped.\nWhen Rugged Highlands enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G}."
Polluted Delta,0.0,None,None,None,['Land'],None,Rare,KTK,None,None,None,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle."
Opulent Palace,0.0,None,"['B', 'G', 'U']",None,['Land'],None,Uncommon,KTK,None,None,None,"Opulent Palace enters the battlefield tapped.\n{T}: Add {B}, {G}, or {U}."
Nomad Outpost,0.0,None,"['B', 'R', 'W']",None,['Land'],None,Uncommon,KTK,None,None,None,"Nomad Outpost enters the battlefield tapped.\n{T}: Add {R}, {W}, or {B}."
Mystic Monastery,0.0,None,"['R', 'U', 'W']",None,['Land'],None,Uncommon,KTK,None,None,None,"Mystic Monastery enters the battlefield tapped.\n{T}: Add {U}, {R}, or {W}."
Jungle Hollow,0.0,None,"['B', 'G']",None,['Land'],None,Common,KTK,None,None,None,"Jungle Hollow enters the battlefield tapped.\nWhen Jungle Hollow enters the battlefield, you gain 1 life.\n{T}: Add {B} or {G}."
Frontier Bivouac,0.0,None,"['G', 'R', 'U']",None,['Land'],None,Uncommon,KTK,None,None,None,"Frontier Bivouac enters the battlefield tapped.\n{T}: Add {G}, {U}, or {R}."
Flooded Strand,0.0,None,None,None,['Land'],None,Rare,KTK,None,None,None,"{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle."
