Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Scryb Sprites,1.0,['G'],['G'],None,['Creature'],['Faerie'],Common,LEA,1,1,None,Flying
Deathlace,1.0,['B'],['B'],None,['Instant'],None,Rare,LEA,None,None,None,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
Shanodin Dryads,1.0,['G'],['G'],None,['Creature'],"['Nymph', 'Dryad']",Common,LEA,1,1,None,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Demonic Tutor,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,LEA,None,None,None,"Search your library for a card, put that card into your hand, then shuffle."
Regrowth,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,LEA,None,None,None,Return target card from your graveyard to your hand.
Demonic Hordes,6.0,['B'],['B'],None,['Creature'],['Demon'],Rare,LEA,5,5,None,"{T}: Destroy target land.\nAt the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice."
Deathgrip,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,LEA,None,None,None,{B}{B}: Counter target green spell.
Natural Selection,1.0,['G'],['G'],None,['Instant'],None,Rare,LEA,None,None,None,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle."
Darkpact,3.0,['B'],['B'],None,['Sorcery'],None,Rare,LEA,None,None,None,Remove Darkpact from your deck before playing if you're not playing for ante.\nYou own target card in the ante. Exchange that card with the top card of your library.
Lure,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,Enchant creature\nAll creatures able to block enchanted creature do so.
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,LEA,None,None,None,Add {B}{B}{B}.
Llanowar Elves,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,LEA,1,1,None,{T}: Add {G}.
Black Knight,2.0,['B'],['B'],None,['Creature'],"['Human', 'Knight']",Uncommon,LEA,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)"
Living Lands,4.0,['G'],['G'],None,['Enchantment'],None,Rare,LEA,None,None,None,All Forests are 1/1 creatures that are still lands.
Cursed Land,4.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,LEA,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
Living Artifact,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,LEA,None,None,None,"Enchant artifact\nWhenever you're dealt damage, put that many vitality counters on Living Artifact.\nAt the beginning of your upkeep, you may remove a vitality counter from Living Artifact. If you do, you gain 1 life."
Bad Moon,2.0,['B'],['B'],None,['Enchantment'],None,Rare,LEA,None,None,None,Black creatures get +1/+1.
Invisibility,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,LEA,None,None,None,Enchant creature\nEnchanted creature can't be blocked except by Walls.
Contract from Below,1.0,['B'],['B'],None,['Sorcery'],None,Rare,LEA,None,None,None,"Remove Contract from Below from your deck before playing if you're not playing for ante.\nDiscard your hand, ante the top card of your library, then draw seven cards."
Ironroot Treefolk,5.0,['G'],['G'],None,['Creature'],['Treefolk'],Common,LEA,3,5,None,None
Water Elemental,5.0,['U'],['U'],None,['Creature'],['Elemental'],Uncommon,LEA,5,4,None,None
