Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Stinkdrinker Daredevil,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rogue']",Common,LRW,1,3,None,Giant spells you cast cost {2} less to cast.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,LRW,None,None,None,({T}: Add {G}.)
Dreamspoiler Witches,4.0,['B'],['B'],None,['Creature'],"['Faerie', 'Wizard']",Common,LRW,2,2,None,"Flying\nWhenever you cast a spell during an opponent's turn, you may have target creature get -1/-1 until end of turn."
Soulbright Flamekin,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Common,LRW,2,1,None,"{2}: Target creature gains trample until end of turn. If this is the third time this ability has resolved this turn, you may add {R}{R}{R}{R}{R}{R}{R}{R}."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,LRW,None,None,None,({T}: Add {G}.)
Boggart Loggers,3.0,['B'],['B'],None,['Creature'],"['Goblin', 'Rogue']",Common,LRW,2,1,None,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)\n{2}{B}, Sacrifice Boggart Loggers: Destroy target Treefolk or Forest."
Smokebraider,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Common,LRW,1,1,None,{T}: Add two mana in any combination of colors. Spend this mana only to cast Elemental spells or activate abilities of Elementals.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,LRW,None,None,None,({T}: Add {G}.)
Dread,6.0,['B'],['B'],None,['Creature'],"['Elemental', 'Incarnation']",Rare,LRW,6,6,None,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhenever a creature deals damage to you, destroy it.\nWhen Dread is put into a graveyard from anywhere, shuffle it into its owner's library."
Rebellion of the Flamekin,4.0,['R'],['R'],None,"['Tribal', 'Enchantment']",['Elemental'],Uncommon,LRW,None,None,None,"Whenever you clash, you may pay {1}. If you do, create a 3/1 red Elemental Shaman creature token. If you won, that token gains haste until end of turn. (This ability triggers after the clash ends.)"
Boggart Birth Rite,1.0,['B'],['B'],None,"['Tribal', 'Sorcery']",['Goblin'],Common,LRW,None,None,None,Return target Goblin card from your graveyard to your hand.
Nova Chaser,4.0,['R'],['R'],None,['Creature'],"['Elemental', 'Warrior']",Rare,LRW,10,2,None,"Trample\nChampion an Elemental (When this enters the battlefield, sacrifice it unless you exile another Elemental you control. When this leaves the battlefield, that card returns to the battlefield.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,LRW,None,None,None,({T}: Add {R}.)
