Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,M13,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,M13,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,M13,None,None,None,({T}: Add {G}.)
Fog,1.0,['G'],['G'],None,['Instant'],None,Common,M13,None,None,None,Prevent all combat damage that would be dealt this turn.
Flinthoof Boar,2.0,['G'],"['G', 'R']",None,['Creature'],['Boar'],Uncommon,M13,2,2,None,Flinthoof Boar gets +1/+1 as long as you control a Mountain.\n{R}: Flinthoof Boar gains haste until end of turn. (It can attack and {T} this turn.)
Farseek,2.0,['G'],['G'],None,['Sorcery'],None,Common,M13,None,None,None,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle."
Elvish Visionary,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Common,M13,1,1,None,"When Elvish Visionary enters the battlefield, draw a card."
Elvish Archdruid,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,M13,2,2,None,Other Elf creatures you control get +1/+1.\n{T}: Add {G} for each Elf you control.
Elderscale Wurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Mythic,M13,7,7,None,"Trample\nWhen Elderscale Wurm enters the battlefield, if your life total is less than 7, your life total becomes 7.\nAs long as you have 7 or more life, damage that would reduce your life total to less than 7 reduces it to 7 instead."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,M13,None,None,None,({T}: Add {G}.)
Duskdale Wurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Uncommon,M13,7,7,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Deadly Recluse,2.0,['G'],['G'],None,['Creature'],['Spider'],Common,M13,1,2,None,Reach (This creature can block creatures with flying.)\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,M13,None,None,None,({T}: Add {R}.)
Centaur Courser,3.0,['G'],['G'],None,['Creature'],"['Centaur', 'Warrior']",Common,M13,3,3,None,None
Bountiful Harvest,5.0,['G'],['G'],None,['Sorcery'],None,Common,M13,None,None,None,You gain 1 life for each land you control.
