Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Aggressive Mammoth,6.0,['G'],['G'],None,['Creature'],['Elephant'],Rare,M19,8,8,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nOther creatures you control have trample.
Nexus of Fate,7.0,['U'],['U'],None,['Instant'],None,Mythic,M19,None,None,None,"Take an extra turn after this one.\nIf Nexus of Fate would be put into a graveyard from anywhere, reveal Nexus of Fate and shuffle it into its owner's library instead."
Shivan Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,M19,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Vivien's Jaguar,3.0,['G'],['G'],None,['Creature'],"['Cat', 'Spirit']",Uncommon,M19,3,2,None,Reach (This creature can block creatures with flying.)\n{2}{G}: Return Vivien's Jaguar from your graveyard to your hand. Activate only if you control a Vivien planeswalker.
Ursine Champion,2.0,['G'],['G'],None,['Creature'],"['Human', 'Berserker']",Common,M19,2,2,None,{5}{G}: Ursine Champion gets +3/+3 and becomes a Bear Berserker until end of turn. Activate only once each turn.
Skalla Wolf,5.0,['G'],['G'],None,['Creature'],"['Wolf', 'Spirit']",Rare,M19,3,3,None,"When Skalla Wolf enters the battlefield, look at the top five cards of your library. You may reveal a green card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Sarkhan's Whelp,3.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,M19,2,2,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever you activate an ability of a Sarkhan planeswalker, Sarkhan's Whelp deals 1 damage to any target."
Sarkhan's Dragonfire,5.0,['R'],['R'],None,['Sorcery'],None,Rare,M19,None,None,None,Sarkhan's Dragonfire deals 3 damage to any target.\nLook at the top five cards of your library. You may reveal a red card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Kargan Dragonrider,2.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,M19,2,2,None,"As long as you control a Dragon, Kargan Dragonrider has flying. (It can't be blocked except by creatures with flying or reach.)"
"Sarkhan, Dragonsoul",6.0,['R'],['R'],['Legendary'],['Planeswalker'],['Sarkhan'],Mythic,M19,None,None,5,"[+2]: Sarkhan, Dragonsoul deals 1 damage to each opponent and each creature your opponents control.\n[−3]: Sarkhan, Dragonsoul deals 4 damage to target player or planeswalker.\n[−9]: Search your library for any number of Dragon creature cards, put them onto the battlefield, then shuffle."
