Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Urborg Scavengers,3.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,MAT,2,2,None,"Whenever Urborg Scavengers enters the battlefield or attacks, exile target card from a graveyard. Put a +1/+1 counter on Urborg Scavengers.\nUrborg Scavengers has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
Blot Out,3.0,['B'],['B'],None,['Instant'],None,Uncommon,MAT,None,None,None,Target opponent exiles a creature or planeswalker they control with the greatest mana value among creatures and planeswalkers they control.
Kolaghan Warmonger,3.0,['R'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Uncommon,MAT,3,2,None,"Haste\nWhenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Filter Out,3.0,['U'],['U'],None,['Instant'],None,Uncommon,MAT,None,None,None,"Return all noncreature, nonland permanents to their owners' hands."
Drannith Ruins,0.0,None,None,None,['Land'],None,Rare,MAT,None,None,None,"{T}: Add {C}.\n{2}, {T}: Put two +1/+1 counters on target non-Human creature that entered the battlefield this turn."
Tyvar the Bellicose,4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Elf', 'Warrior']",Mythic,MAT,5,4,None,"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.\nEach creature you control has ""Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn."""
"Sigarda, Font of Blessings",4.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Rare,MAT,4,4,None,Flying\nOther permanents you control have hexproof.\nYou may look at the top card of your library any time.\nYou may cast Angel spells and Human spells from the top of your library.
"Sarkhan, Soul Aflame",3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Human', 'Shaman']",Mythic,MAT,2,4,None,"Dragon spells you cast cost {1} less to cast.\nWhenever a Dragon enters the battlefield under your control, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types."
"Samut, Vizier of Naktamun",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Warrior', 'Cleric']",Mythic,MAT,2,3,None,"First strike, vigilance, haste\nWhenever a creature you control deals combat damage to a player, if that creature entered the battlefield this turn, draw a card."
"Rocco, Street Chef",3.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Elf', 'Druid']",Rare,MAT,2,4,None,"At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.\nWhenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
"Nashi, Moon's Legacy",3.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Rat', 'Shaman']",Rare,MAT,3,4,None,"Menace, ward {1}\nWhenever Nashi, Moon's Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)"
"Ob Nixilis, Captive Kingpin",4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],['Demon'],Mythic,MAT,4,3,None,"Flying, trample\nWhenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card."
"Niv-Mizzet, Supreme",5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Dragon', 'Avatar']",Rare,MAT,5,5,None,"Flying, hexproof from monocolored\nEach instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)"
