Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Phyrexian Revoker,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Horror']",Rare,MBS,2,1,None,"As Phyrexian Revoker enters the battlefield, choose a nonland card name.\nActivated abilities of sources with the chosen name can't be activated."
Phyrexian Juggernaut,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Juggernaut']",Uncommon,MBS,5,5,None,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\nPhyrexian Juggernaut attacks each combat if able.
Phyrexian Digester,3.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Construct']",Common,MBS,2,1,None,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Peace Strider,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,MBS,3,3,None,"When Peace Strider enters the battlefield, you gain 3 life."
Myr Welder,3.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Rare,MBS,1,4,None,Imprint — {T}: Exile target artifact card from a graveyard.\nMyr Welder has all activated abilities of all cards exiled with it.
Myr Turbine,5.0,None,None,None,['Artifact'],None,Rare,MBS,None,None,None,"{T}: Create a 1/1 colorless Myr artifact creature token.\n{T}, Tap five untapped Myr you control: Search your library for a Myr creature card, put it onto the battlefield, then shuffle."
Copper Carapace,1.0,None,None,None,['Artifact'],['Equipment'],Common,MBS,None,None,None,Equipped creature gets +2/+2 and can't block.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Darksteel Plate,3.0,None,None,None,['Artifact'],['Equipment'],Rare,MBS,None,None,None,Indestructible\nEquipped creature has indestructible.\nEquip {2}
Lumengrid Gargoyle,6.0,None,None,None,"['Artifact', 'Creature']",['Gargoyle'],Uncommon,MBS,4,4,None,Flying
Mirrorworks,5.0,None,None,None,['Artifact'],None,Rare,MBS,None,None,None,"Whenever another nontoken artifact enters the battlefield under your control, you may pay {2}. If you do, create a token that's a copy of that artifact."
Magnetic Mine,4.0,None,None,None,['Artifact'],None,Rare,MBS,None,None,None,"Whenever another artifact is put into a graveyard from the battlefield, Magnetic Mine deals 2 damage to that artifact's controller."
Myr Sire,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Common,MBS,1,1,None,"When Myr Sire dies, create a 1/1 colorless Phyrexian Myr artifact creature token."
Knowledge Pool,6.0,None,None,None,['Artifact'],None,Rare,MBS,None,None,None,"Imprint — When Knowledge Pool enters the battlefield, each player exiles the top three cards of their library.\nWhenever a player casts a spell from their hand, that player exiles it. If the player does, they may cast a spell from among other cards exiled with Knowledge Pool without paying its mana cost."
Ichor Wellspring,2.0,None,None,None,['Artifact'],None,Common,MBS,None,None,None,"When Ichor Wellspring enters the battlefield or is put into a graveyard from the battlefield, draw a card."
