Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ghost Quarter,0.0,None,None,None,['Land'],None,Uncommon,MD1,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
Dismember,3.0,['B'],['B'],None,['Instant'],None,Uncommon,MD1,None,None,None,({B/P} can be paid with either {B} or 2 life.)\nTarget creature gets -5/-5 until end of turn.
"Kataki, War's Wage",2.0,['W'],['W'],['Legendary'],['Creature'],['Spirit'],Rare,MD1,2,1,None,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {1}."""
Duress,1.0,['B'],['B'],None,['Sorcery'],None,Common,MD1,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Burrenton Forge-Tender,1.0,['W'],['W'],None,['Creature'],"['Kithkin', 'Wizard']",Uncommon,MD1,1,1,None,Protection from red\nSacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.
Relic of Progenitus,1.0,None,None,None,['Artifact'],None,Uncommon,MD1,None,None,None,"{T}: Target player exiles a card from their graveyard.\n{1}, Exile Relic of Progenitus: Exile all graveyards. Draw a card."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,MD1,None,None,None,({T}: Add {B}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,MD1,None,None,None,({T}: Add {W}.)
Windbrisk Heights,0.0,None,['W'],None,['Land'],None,Rare,MD1,None,None,None,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\nWindbrisk Heights enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn."
Tidehollow Sculler,2.0,"['B', 'W']","['B', 'W']",None,"['Artifact', 'Creature']",['Zombie'],Uncommon,MD1,2,2,None,"When Tidehollow Sculler enters the battlefield, target opponent reveals their hand and you choose a nonland card from it. Exile that card.\nWhen Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand."
Caves of Koilos,0.0,None,"['B', 'W']",None,['Land'],None,Rare,MD1,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.
Isolated Chapel,0.0,None,"['B', 'W']",None,['Land'],None,Rare,MD1,None,None,None,Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.\n{T}: Add {W} or {B}.
Vault of the Archangel,0.0,None,"['B', 'W']",None,['Land'],None,Rare,MD1,None,None,None,"{T}: Add {C}.\n{2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn."
City of Brass,0.0,None,None,None,['Land'],None,Rare,MD1,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
"Elspeth, Knight-Errant",4.0,['W'],['W'],['Legendary'],['Planeswalker'],['Elspeth'],Mythic,MD1,None,None,4,"[+1]: Create a 1/1 white Soldier creature token.\n[+1]: Target creature gets +3/+3 and gains flying until end of turn.\n[−8]: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible."""
Spectral Procession,6.0,['W'],['W'],None,['Sorcery'],None,Uncommon,MD1,None,None,None,Create three 1/1 white Spirit creature tokens with flying.
Lingering Souls,3.0,['W'],"['B', 'W']",None,['Sorcery'],None,Uncommon,MD1,None,None,None,Create two 1/1 white Spirit creature tokens with flying.\nFlashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Sword of Feast and Famine,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,MD1,None,None,None,"Equipped creature gets +2/+2 and has protection from black and from green.\nWhenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.\nEquip {2}"
Zealous Persecution,2.0,"['B', 'W']","['B', 'W']",None,['Instant'],None,Uncommon,MD1,None,None,None,"Until end of turn, creatures you control get +1/+1 and creatures your opponents control get -1/-1."
Raise the Alarm,2.0,['W'],['W'],None,['Instant'],None,Common,MD1,None,None,None,Create two 1/1 white Soldier creature tokens.
Path to Exile,1.0,['W'],['W'],None,['Instant'],None,Uncommon,MD1,None,None,None,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Intangible Virtue,2.0,['W'],['W'],None,['Enchantment'],None,Uncommon,MD1,None,None,None,Creature tokens you control get +1/+1 and have vigilance.
Soul Warden,1.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,MD1,1,1,None,"Whenever another creature enters the battlefield, you gain 1 life."
Honor of the Pure,2.0,['W'],['W'],None,['Enchantment'],None,Rare,MD1,None,None,None,White creatures you control get +1/+1.
Shrine of Loyal Legions,2.0,None,None,None,['Artifact'],None,Uncommon,MD1,None,None,None,"At the beginning of your upkeep or whenever you cast a white spell, put a charge counter on Shrine of Loyal Legions.\n{3}, {T}, Sacrifice Shrine of Loyal Legions: Create a 1/1 colorless Phyrexian Myr artifact creature token for each charge counter on Shrine of Loyal Legions."
Inquisition of Kozilek,1.0,['B'],['B'],None,['Sorcery'],None,Uncommon,MD1,None,None,None,Target player reveals their hand. You choose a nonland card from it with mana value 3 or less. That player discards that card.
