Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Coal Golem,5.0,None,['R'],None,"['Artifact', 'Creature']",['Golem'],Common,ME3,3,3,None,"{3}, Sacrifice Coal Golem: Add {R}{R}{R}."
Bone Flute,3.0,None,None,None,['Artifact'],None,Common,ME3,None,None,None,"{2}, {T}: All creatures get -1/-0 until end of turn."
Black Vise,1.0,None,None,None,['Artifact'],None,Rare,ME3,None,None,None,"As Black Vise enters the battlefield, choose an opponent.\nAt the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in their hand minus 4."
Barl's Cage,4.0,None,None,None,['Artifact'],None,Rare,ME3,None,None,None,{3}: Target creature doesn't untap during its controller's next untap step.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ME3,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ME3,None,None,None,({T}: Add {G}.)
Astrolabe,3.0,None,None,None,['Artifact'],None,Common,ME3,None,None,None,"{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color. Draw a card at the beginning of the next turn's upkeep."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,ME3,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ME3,None,None,None,({T}: Add {R}.)
Arena of the Ancients,3.0,None,None,None,['Artifact'],None,Rare,ME3,None,None,None,"Legendary creatures don't untap during their controllers' untap steps.\nWhen Arena of the Ancients enters the battlefield, tap all legendary creatures."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ME3,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ME3,None,None,None,({T}: Add {R}.)
Xira Arien,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Insect', 'Wizard']",Rare,ME3,1,2,None,"Flying\n{B}{R}{G}, {T}: Target player draws a card."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ME3,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ME3,None,None,None,({T}: Add {B}.)
Wandering Mage,3.0,"['B', 'U', 'W']","['B', 'U', 'W']",None,['Creature'],"['Human', 'Cleric', 'Wizard']",Rare,ME3,0,3,None,"{W}, Pay 1 life: Prevent the next 2 damage that would be dealt to target creature this turn.\n{U}: Prevent the next 1 damage that would be dealt to target Cleric or Wizard creature this turn.\n{B}, Put a -1/-1 counter on a creature you control: Prevent the next 2 damage that would be dealt to target player or planeswalker this turn."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,ME3,None,None,None,({T}: Add {B}.)
Vaevictis Asmadi,8.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Rare,ME3,7,7,None,"Flying\nAt the beginning of your upkeep, sacrifice Vaevictis Asmadi unless you pay {B}{R}{G}.\n{B}: Vaevictis Asmadi gets +1/+0 until end of turn.\n{R}: Vaevictis Asmadi gets +1/+0 until end of turn.\n{G}: Vaevictis Asmadi gets +1/+0 until end of turn."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ME3,None,None,None,({T}: Add {U}.)
Tuknir Deathlock,4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Wizard']",Uncommon,ME3,2,2,None,"Flying\n{R}{G}, {T}: Target creature gets +2/+2 until end of turn."
Torsten Von Ursus,6.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Common,ME3,5,5,None,None
Bazaar of Baghdad,0.0,None,None,None,['Land'],None,Rare,ME3,None,None,None,"{T}: Draw two cards, then discard three cards."
Tor Wauki,5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Archer']",Uncommon,ME3,3,3,None,{T}: Tor Wauki deals 2 damage to target attacking or blocking creature.
Tobias Andrion,5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Common,ME3,4,4,None,None
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ME3,None,None,None,({T}: Add {U}.)
The Lady of the Mountain,6.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],['Giant'],Common,ME3,5,5,None,None
Tetsuo Umezawa,3.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Archer']",Rare,ME3,3,3,None,"Tetsuo Umezawa can't be the target of Aura spells.\n{U}{B}{B}{R}, {T}: Destroy target tapped or blocking creature."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,ME3,None,None,None,({T}: Add {U}.)
Sunastian Falconer,5.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Shaman']",Uncommon,ME3,4,4,None,{T}: Add {C}{C}.
Stangg,6.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,ME3,3,4,None,"When Stangg enters the battlefield, create Stangg Twin, a legendary 3/4 red and green Human Warrior creature token. Exile that token when Stangg leaves the battlefield. Sacrifice Stangg when that token leaves the battlefield."
Spectral Shield,3.0,"['U', 'W']","['U', 'W']",None,['Enchantment'],['Aura'],Uncommon,ME3,None,None,None,Enchant creature\nEnchanted creature gets +0/+2 and can't be the target of spells.
Sivitri Scarzam,7.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],['Human'],Common,ME3,6,4,None,None
