Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mijae Djinn,3.0,['R'],['R'],None,['Creature'],['Djinn'],Rare,ME4,6,3,None,"Whenever Mijae Djinn attacks, flip a coin. If you lose the flip, remove Mijae Djinn from combat and tap it."
Underground Sea,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,ME4,None,None,None,({T}: Add {U} or {B}.)
Tundra,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,ME4,None,None,None,({T}: Add {W} or {U}.)
Tropical Island,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Rare,ME4,None,None,None,({T}: Add {G} or {U}.)
Taiga,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,ME4,None,None,None,({T}: Add {R} or {G}.)
Lava Flow,5.0,['R'],['R'],None,['Sorcery'],None,Common,ME4,None,None,None,Destroy target creature or land.
Plateau,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Rare,ME4,None,None,None,({T}: Add {R} or {W}.)
Strip Mine,0.0,None,None,None,['Land'],None,Rare,ME4,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Strip Mine: Destroy target land."
Mishra's Workshop,0.0,None,None,None,['Land'],None,Rare,ME4,None,None,None,{T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.
Scrubland,0.0,None,"['B', 'W']",None,['Land'],"['Plains', 'Swamp']",Rare,ME4,None,None,None,({T}: Add {W} or {B}.)
Savannah,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,ME4,None,None,None,({T}: Add {G} or {W}.)
Maze of Ith,0.0,None,None,None,['Land'],None,Rare,ME4,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Last Chance,2.0,['R'],['R'],None,['Sorcery'],None,Rare,ME4,None,None,None,"Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
Gorilla War Cry,2.0,['R'],['R'],None,['Instant'],None,Common,ME4,None,None,None,Cast this spell only during combat before blockers are declared.\nAll creatures gain menace until end of turn. (They can't be blocked except by two or more creatures.)\nDraw a card at the beginning of the next turn's upkeep.
Goblin Warrens,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,ME4,None,None,None,"{2}{R}, Sacrifice two Goblins: Create three 1/1 red Goblin creature tokens."
Goblin Shrine,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,ME4,None,None,None,"Enchant land\nAs long as enchanted land is a basic Mountain, Goblin creatures get +1/+0.\nWhen Goblin Shrine leaves the battlefield, it deals 1 damage to each Goblin creature."
Goblin General,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Uncommon,ME4,1,1,None,"Whenever Goblin General attacks, Goblin creatures you control get +1/+1 until end of turn."
Goblin Firestarter,1.0,['R'],['R'],None,['Creature'],['Goblin'],Common,ME4,1,1,None,"Sacrifice Goblin Firestarter: It deals 1 damage to any target. Activate only during your turn, before attackers are declared."
Goblin Caves,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,ME4,None,None,None,"Enchant land\nAs long as enchanted land is a basic Mountain, Goblin creatures get +0/+2."
Goblin Cavaliers,3.0,['R'],['R'],None,['Creature'],['Goblin'],Common,ME4,3,2,None,None
Goblin Bully,2.0,['R'],['R'],None,['Creature'],['Goblin'],Common,ME4,2,1,None,None
Wicked Pact,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,ME4,None,None,None,Destroy two target nonblack creatures. You lose 5 life.
Fire Imp,3.0,['R'],['R'],None,['Creature'],['Imp'],Uncommon,ME4,2,1,None,"When Fire Imp enters the battlefield, it deals 2 damage to target creature."
Fireball,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,ME4,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Fork,2.0,['R'],['R'],None,['Instant'],None,Rare,ME4,None,None,None,"Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy."
Fire Tempest,7.0,['R'],['R'],None,['Sorcery'],None,Rare,ME4,None,None,None,Fire Tempest deals 6 damage to each creature and each player.
Devastation,7.0,['R'],['R'],None,['Sorcery'],None,Rare,ME4,None,None,None,Destroy all creatures and lands.
Detonate,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,ME4,None,None,None,Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.
Bird Maiden,3.0,['R'],['R'],None,['Creature'],"['Human', 'Bird']",Common,ME4,1,2,None,Flying
Atog,2.0,['R'],['R'],None,['Creature'],['Atog'],Common,ME4,1,2,None,Sacrifice an artifact: Atog gets +2/+2 until end of turn.
Artifact Blast,1.0,['R'],['R'],None,['Instant'],None,Common,ME4,None,None,None,Counter target artifact spell.
Word of Command,2.0,['B'],['B'],None,['Instant'],None,Rare,ME4,None,None,None,"Look at target opponent's hand and choose a card from it. You control that player until Word of Command finishes resolving. The player plays that card if able. While doing so, the player can activate mana abilities only if they're from lands that player controls and only if mana they produce is spent to activate other mana abilities of lands the player controls and/or to play that card. If the chosen card is cast as a spell, you control the player while that spell is resolving."
Ali from Cairo,4.0,['R'],['R'],None,['Creature'],['Human'],Rare,ME4,0,1,None,Damage that would reduce your life total to less than 1 reduces it to 1 instead.
Weakness,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,ME4,None,None,None,Enchant creature\nEnchanted creature gets -2/-1.
Aladdin,4.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Rare,ME4,1,1,None,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin."
Zombie Master,3.0,['B'],['B'],None,['Creature'],['Zombie'],Uncommon,ME4,2,3,None,"Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)\nOther Zombies have ""{B}: Regenerate this permanent."""
Xenic Poltergeist,3.0,['B'],['B'],None,['Creature'],['Spirit'],Uncommon,ME4,1,1,None,"{T}: Until your next upkeep, target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value."
Warp Artifact,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,ME4,None,None,None,"Enchant artifact\nAt the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player."
Terror,2.0,['B'],['B'],None,['Instant'],None,Common,ME4,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Soul Shred,5.0,['B'],['B'],None,['Sorcery'],None,Common,ME4,None,None,None,Soul Shred deals 3 damage to target nonblack creature. You gain 3 life.
Sinkhole,2.0,['B'],['B'],None,['Sorcery'],None,Rare,ME4,None,None,None,Destroy target land.
Sengir Vampire,5.0,['B'],['B'],None,['Creature'],['Vampire'],Uncommon,ME4,4,4,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire."
Scavenging Ghoul,4.0,['B'],['B'],None,['Creature'],['Zombie'],Uncommon,ME4,2,2,None,"At the beginning of each end step, put a corpse counter on Scavenging Ghoul for each creature that died this turn.\nRemove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul."
Rain of Daggers,6.0,['B'],['B'],None,['Sorcery'],None,Rare,ME4,None,None,None,Destroy all creatures target opponent controls. You lose 2 life for each creature destroyed this way.
Prowling Nightstalker,4.0,['B'],['B'],None,['Creature'],['Nightstalker'],Common,ME4,2,2,None,Prowling Nightstalker can't be blocked except by black creatures.
Overwhelming Forces,8.0,['B'],['B'],None,['Sorcery'],None,Rare,ME4,None,None,None,Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.
Minion of Tevesh Szat,7.0,['B'],['B'],None,['Creature'],"['Demon', 'Minion']",Rare,ME4,4,4,None,"At the beginning of your upkeep, Minion of Tevesh Szat deals 2 damage to you unless you pay {B}{B}.\n{T}: Target creature gets +3/-2 until end of turn."
Lim-Dûl's Cohort,3.0,['B'],['B'],None,['Creature'],['Zombie'],Common,ME4,2,3,None,"Whenever Lim-Dûl's Cohort blocks or becomes blocked by a creature, that creature can't be regenerated this turn."
Lich,4.0,['B'],['B'],None,['Enchantment'],None,Rare,ME4,None,None,None,"As Lich enters the battlefield, you lose life equal to your life total.\nYou don't lose the game for having 0 or less life.\nIf you would gain life, draw that many cards instead.\nWhenever you're dealt damage, sacrifice that many nontoken permanents. If you can't, you lose the game.\nWhen Lich is put into a graveyard from the battlefield, you lose the game."
Junún Efreet,3.0,['B'],['B'],None,['Creature'],['Efreet'],Uncommon,ME4,3,3,None,"Flying\nAt the beginning of your upkeep, sacrifice Junún Efreet unless you pay {B}{B}."
Howl from Beyond,1.0,['B'],['B'],None,['Instant'],None,Common,ME4,None,None,None,Target creature gets +X/+0 until end of turn.
Hasran Ogress,2.0,['B'],['B'],None,['Creature'],['Ogre'],Common,ME4,3,2,None,"Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}."
