Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sarkhan Unbroken,5.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Planeswalker'],['Sarkhan'],Mythic,MED,None,None,4,"[+1]: Draw a card, then add one mana of any color.\n[−2]: Create a 4/4 red Dragon creature token with flying.\n[−8]: Search your library for any number of Dragon creature cards, put them onto the battlefield, then shuffle."
"Kaya, Orzhov Usurper",3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Planeswalker'],['Kaya'],Mythic,MED,None,None,3,"[+1]: Exile up to two target cards from a single graveyard. You gain 2 life if at least one creature card was exiled this way.\n[−1]: Exile target nonland permanent with mana value 1 or less.\n[−5]: Kaya, Orzhov Usurper deals damage to target player equal to the number of cards that player owns in exile and you gain that much life."
"Vraska, Golgari Queen",4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Planeswalker'],['Vraska'],Mythic,MED,None,None,4,"[+2]: You may sacrifice another permanent. If you do, you gain 1 life and draw a card.\n[−3]: Destroy target nonland permanent with mana value 3 or less.\n[−9]: You get an emblem with ""Whenever a creature you control deals combat damage to a player, that player loses the game."""
"Nahiri, the Harbinger",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Planeswalker'],['Nahiri'],Mythic,MED,None,None,4,"[+2]: You may discard a card. If you do, draw a card.\n[−2]: Exile target enchantment, tapped artifact, or tapped creature.\n[−8]: Search your library for an artifact or creature card, put it onto the battlefield, then shuffle. It gains haste. Return it to your hand at the beginning of the next end step."
"Domri, Chaos Bringer",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Planeswalker'],['Domri'],Mythic,MED,None,None,5,"[+1]: Add {R} or {G}. If that mana is spent on a creature spell, it gains riot. (It enters the battlefield with your choice of a +1/+1 counter or haste.)\n[−3]: Look at the top four cards of your library. You may reveal up to two creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.\n[−8]: You get an emblem with ""At the beginning of each end step, create a 4/4 red and green Beast creature token with trample."""
"Tezzeret, Agent of Bolas",4.0,"['B', 'U']","['B', 'U']",['Legendary'],['Planeswalker'],['Tezzeret'],Mythic,MED,None,None,3,"[+1]: Look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.\n[−1]: Target artifact becomes an artifact creature with base power and toughness 5/5.\n[−4]: Target player loses X life and you gain X life, where X is twice the number of artifacts you control."
"Nicol Bolas, Dragon-God",5.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Planeswalker'],['Bolas'],Mythic,MED,None,None,4,"Nicol Bolas, Dragon-God has all loyalty abilities of all other planeswalkers on the battlefield.\n[+1]: You draw a card. Each opponent exiles a card from their hand or a permanent they control.\n[−3]: Destroy target creature or planeswalker.\n[−8]: Each opponent who doesn't control a legendary creature or planeswalker loses the game."
"Karn, Scion of Urza",4.0,None,None,['Legendary'],['Planeswalker'],['Karn'],Mythic,MED,None,None,5,"[+1]: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.\n[−1]: Put a card you own with a silver counter on it from exile into your hand.\n[−2]: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."""
"Ajani, Mentor of Heroes",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Planeswalker'],['Ajani'],Mythic,MED,None,None,4,"[+1]: Distribute three +1/+1 counters among one, two, or three target creatures you control.\n[+1]: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.\n[−8]: You gain 100 life."
"Teferi, Hero of Dominaria",5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Planeswalker'],['Teferi'],Mythic,MED,None,None,4,"[+1]: Draw a card. At the beginning of the next end step, untap up to two lands.\n[−3]: Put target nonland permanent into its owner's library third from the top.\n[−8]: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls."""
Dack Fayden,3.0,"['R', 'U']","['R', 'U']",['Legendary'],['Planeswalker'],['Dack'],Mythic,MED,None,None,3,"[+1]: Target player draws two cards, then discards two cards.\n[−2]: Gain control of target artifact.\n[−6]: You get an emblem with ""Whenever you cast a spell that targets one or more permanents, gain control of those permanents."""
