Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Reckless Charge,1.0,['R'],['R'],None,['Sorcery'],None,Common,MH1,None,None,None,Target creature gets +3/+0 and gains haste until end of turn.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Ravenous Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Uncommon,MH1,5,5,None,"At the beginning of your upkeep, Ravenous Giant deals 1 damage to you."
Quakefoot Cyclops,5.0,['R'],['R'],None,['Creature'],['Cyclops'],Common,MH1,4,4,None,"When Quakefoot Cyclops enters the battlefield, up to two target creatures can't block this turn.\nCycling {1}{R} ({1}{R}, Discard this card: Draw a card.)\nWhen you cycle Quakefoot Cyclops, target creature can't block this turn."
Pyrophobia,2.0,['R'],['R'],None,['Sorcery'],None,Common,MH1,None,None,None,Pyrophobia deals 3 damage to target creature. Cowards can't block this turn.
Planebound Accomplice,3.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,MH1,1,3,None,{R}: You may put a planeswalker card from your hand onto the battlefield. Sacrifice it at the beginning of the next end step.
Pillage,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,MH1,None,None,None,Destroy target artifact or land. It can't be regenerated.
Pashalik Mons,3.0,['R'],['R'],['Legendary'],['Creature'],"['Goblin', 'Warrior']",Rare,MH1,2,2,None,"Whenever Pashalik Mons or another Goblin you control dies, Pashalik Mons deals 1 damage to any target.\n{3}{R}, Sacrifice a Goblin: Create two 1/1 red Goblin creature tokens."
Ore-Scale Guardian,7.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,MH1,4,4,None,"This spell costs {1} less to cast for each land card in your graveyard.\nFlying, haste"
Orcish Hellraiser,2.0,['R'],['R'],None,['Creature'],"['Orc', 'Warrior']",Common,MH1,3,2,None,"Echo {R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Orcish Hellraiser dies, it deals 2 damage to target player or planeswalker."
Magmatic Sinkhole,6.0,['R'],['R'],None,['Instant'],None,Common,MH1,None,None,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nMagmatic Sinkhole deals 5 damage to target creature or planeswalker.
Lava Dart,1.0,['R'],['R'],None,['Instant'],None,Common,MH1,None,None,None,Lava Dart deals 1 damage to any target.\nFlashback—Sacrifice a Mountain. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Igneous Elemental,6.0,['R'],['R'],None,['Creature'],['Elemental'],Common,MH1,4,3,None,"This spell costs {2} less to cast if there is a land card in your graveyard.\nWhen Igneous Elemental enters the battlefield, you may have it deal 2 damage to target creature."
Hollowhead Sliver,3.0,['R'],['R'],None,['Creature'],['Sliver'],Uncommon,MH1,2,2,None,"Sliver creatures you control have ""{T}, Discard a card: Draw a card."""
Goblin War Party,4.0,['R'],['R'],None,['Sorcery'],None,Common,MH1,None,None,None,Choose one —\n• Create three 1/1 red Goblin creature tokens.\n• Creatures you control get +1/+1 and gain haste until end of turn.\nEntwine {2}{R} (Choose both if you pay the entwine cost.)
