Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Said // Done,7.0,['U'],['U'],None,['Sorcery'],None,Uncommon,MH2,None,None,None,Return target instant or sorcery card from your graveyard to your hand.
Rise and Shine,2.0,['U'],['U'],None,['Sorcery'],None,Rare,MH2,None,None,None,"Target noncreature artifact you control becomes a 0/0 artifact creature. Put four +1/+1 counters on each artifact that became a creature this way.\nOverload {4}{U}{U} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Raving Visionary,2.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Uncommon,MH2,1,1,None,"{U}, {T}: Draw a card, then discard a card.\nDelirium — {2}{U}, {T}: Draw a card. Activate only if there are four or more card types among cards in your graveyard."
Phantasmal Dreadmaw,4.0,['U'],['U'],None,['Creature'],"['Dinosaur', 'Illusion']",Common,MH2,6,6,None,"Trample\nWhen Phantasmal Dreadmaw becomes the target of a spell or ability, sacrifice it."
Mental Journey,6.0,['U'],['U'],None,['Instant'],None,Common,MH2,None,None,None,"Draw three cards.\nBasic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Hard Evidence,1.0,['U'],['U'],None,['Sorcery'],None,Common,MH2,None,None,None,"Create a 0/3 blue Crab creature token.\nInvestigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Fractured Sanity,3.0,['U'],['U'],None,['Sorcery'],None,Rare,MH2,None,None,None,"Each opponent mills fourteen cards.\nCycling {1}{U} ({1}{U}, Discard this card: Draw a card.)\nWhen you cycle Fractured Sanity, each opponent mills four cards."
Floodhound,1.0,['U'],['U'],None,['Creature'],"['Elemental', 'Dog']",Common,MH2,1,2,None,"{3}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Etherium Spinner,3.0,['U'],['U'],None,"['Artifact', 'Creature']","['Human', 'Wizard']",Common,MH2,2,1,None,"Whenever you cast a spell with mana value 4 or greater, create a 1/1 colorless Thopter artifact creature token with flying."
Burdened Aerialist,3.0,['U'],['U'],None,['Creature'],"['Human', 'Pirate']",Common,MH2,3,1,None,"When Burdened Aerialist enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")\nWhenever you sacrifice a token, Burdened Aerialist gains flying until end of turn."
