Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Lynde, Cheerful Tormentor",4.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Warlock']",Mythic,MIC,2,4,None,"Deathtouch\nWhenever a Curse is put into your graveyard from the battlefield, return it to the battlefield attached to you at the beginning of the next end step.\nAt the beginning of your upkeep, you may attach a Curse attached to you to one of your opponents. If you do, draw two cards."
Visions of Dominance,3.0,['G'],['G'],None,['Sorcery'],None,Rare,MIC,None,None,None,"Put a +1/+1 counter on target creature, then double the number of +1/+1 counters on it.\nFlashback {8}{G}{G}. This spell costs {X} less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Visions of Ruin,4.0,['R'],['R'],None,['Sorcery'],None,Rare,MIC,None,None,None,"Each opponent sacrifices an artifact. For each artifact sacrificed this way, you create a Treasure token.\nFlashback {8}{R}{R}. This spell costs {X} less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Curse of Obsession,5.0,['R'],['R'],None,['Enchantment'],"['Aura', 'Curse']",Rare,MIC,None,None,None,"Enchant player\nAt the beginning of enchanted player's draw step, that player draws two additional cards.\nAt the beginning of enchanted player's end step, that player discards their hand."
Visions of Dread,3.0,['B'],['B'],None,['Sorcery'],None,Rare,MIC,None,None,None,"Target opponent puts a creature card of their choice from their graveyard onto the battlefield under your control.\nFlashback {8}{B}{B}. This spell costs {X} less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Visions of Duplicity,3.0,['U'],['U'],None,['Sorcery'],None,Rare,MIC,None,None,None,"Exchange control of two target creatures you don't control.\nFlashback {8}{U}{U}. This spell costs {X} less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Visions of Glory,5.0,['W'],['W'],None,['Sorcery'],None,Rare,MIC,None,None,None,"Create a 1/1 white Human creature token for each creature you control.\nFlashback {8}{W}{W}. This spell costs {X} less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Avacyn's Memorial,8.0,['W'],['W'],['Legendary'],['Artifact'],None,Mythic,MIC,None,None,None,Indestructible\nOther legendary permanents you control have indestructible.
Somberwald Beastmaster,7.0,['G'],['G'],None,['Creature'],"['Human', 'Ranger']",Rare,MIC,1,1,None,"When Somberwald Beastmaster enters the battlefield, create a 2/2 green Wolf creature token, a 3/3 green Beast creature token, and a 4/4 green Beast creature token.\nCreature tokens you control have deathtouch."
Sigardian Zealot,5.0,['G'],['G'],None,['Creature'],"['Human', 'Cleric']",Rare,MIC,3,3,None,"At the beginning of combat on your turn, choose any number of creatures with different powers. Each of them gets +X/+X and gains vigilance until end of turn, where X is Sigardian Zealot's power."
