Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Festival Crasher,2.0,['R'],['R'],None,['Creature'],['Devil'],Common,MID,1,3,None,"Whenever you cast an instant or sorcery spell, Festival Crasher gets +2/+0 until end of turn."
Field of Ruin,0.0,None,None,None,['Land'],None,Uncommon,MID,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles."
Thraben Exorcism,2.0,['W'],['W'],None,['Instant'],None,Common,MID,None,None,None,"Exile target Spirit, creature with disturb, or enchantment."
Evolving Wilds,0.0,None,None,None,['Land'],None,Common,MID,None,None,None,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Deserted Beach,0.0,None,"['U', 'W']",None,['Land'],None,Rare,MID,None,None,None,Deserted Beach enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {W} or {U}.
Sunset Revelry,2.0,['W'],['W'],None,['Sorcery'],None,Uncommon,MID,None,None,None,"If an opponent has more life than you, you gain 4 life.\nIf an opponent controls more creatures than you, create two 1/1 white Human creature tokens.\nIf an opponent has more cards in hand than you, draw a card."
Stuffed Bear,2.0,None,None,None,['Artifact'],None,Common,MID,None,None,None,{2}: Stuffed Bear becomes a 4/4 green Bear artifact creature until end of turn.
"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Werewolf']",Rare,MID,3,3,None,"Whenever a Wolf or Werewolf you control deals combat damage to a player, draw a card.\nAt the beginning of your upkeep, if you control three or more Wolves and/or Werewolves, it becomes night. Then transform any number of Human Werewolves you control.\nDaybound"
Mystic Skull // Mystic Monstrosity,2.0,None,None,None,['Artifact'],None,Uncommon,MID,None,None,None,"{1}, {T}: Add one mana of any color.\n{5}, {T}: Transform Mystic Skull."
Pithing Needle,1.0,None,None,None,['Artifact'],None,Rare,MID,None,None,None,"As Pithing Needle enters the battlefield, choose a card name.\nActivated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Silver Bolt,1.0,None,None,None,['Artifact'],None,Common,MID,None,None,None,"{3}, {T}, Sacrifice Silver Bolt: It deals 3 damage to target creature. If a Werewolf is dealt damage this way, destroy it."
Fangblade Brigand // Fangblade Eviscerator,4.0,['R'],['R'],None,['Creature'],"['Human', 'Werewolf']",Uncommon,MID,3,4,None,"{1}{R}: Fangblade Brigand gets +1/+0 and gains first strike until end of turn.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Famished Foragers,4.0,['R'],['R'],None,['Creature'],['Vampire'],Common,MID,4,3,None,"When Famished Foragers enters the battlefield, if an opponent lost life this turn, add {R}{R}{R}.\n{2}{R}, Discard a card: Draw a card."
Falkenrath Pit Fighter,1.0,['R'],['R'],None,['Creature'],"['Vampire', 'Warrior']",Rare,MID,2,1,None,"{1}{R}, Discard a card, Sacrifice a Vampire: Draw two cards. Activate only if an opponent lost life this turn."
Flame Channeler // Embodiment of Flame,2.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Uncommon,MID,2,2,None,"When a spell you control deals damage, transform Flame Channeler."
Moonsilver Key,2.0,None,None,None,['Artifact'],None,Uncommon,MID,None,None,None,"{1}, {T}, Sacrifice Moonsilver Key: Search your library for an artifact card with a mana ability or a basic land card, reveal it, put it into your hand, then shuffle."
Locked in the Cemetery,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,MID,None,None,None,"Enchant creature\nWhen Locked in the Cemetery enters the battlefield, if there are five or more cards in your graveyard, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
