Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Whispering Snitch,2.0,['B'],['B'],None,['Creature'],"['Vampire', 'Rogue']",Uncommon,MKC,1,3,None,"Whenever you surveil for the first time each turn, Whispering Snitch deals 1 damage to each opponent and you gain 1 life."
Scavenger Grounds,0.0,None,None,None,['Land'],['Desert'],Rare,MKC,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice a Desert: Exile all graveyards."
Twilight Prophet,4.0,['B'],['B'],None,['Creature'],"['Vampire', 'Cleric']",Mythic,MKC,2,4,None,"Flying\nAscend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)\nAt the beginning of your upkeep, if you have the city's blessing, reveal the top card of your library and put it into your hand. Each opponent loses X life and you gain X life, where X is that card's mana value."
Scattered Groves,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,MKC,None,None,None,"({T}: Add {G} or {W}.)\nScattered Groves enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Sacred Peaks,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Common,MKC,None,None,None,({T}: Add {R} or {W}.)\nSacred Peaks enters the battlefield tapped.
Toxic Deluge,3.0,['B'],['B'],None,['Sorcery'],None,Rare,MKC,None,None,None,"As an additional cost to cast this spell, pay X life.\nAll creatures get -X/-X until end of turn."
Rogue's Passage,0.0,None,None,None,['Land'],None,Uncommon,MKC,None,None,None,"{T}: Add {C}.\n{4}, {T}: Target creature can't be blocked this turn."
River of Tears,0.0,None,"['B', 'U']",None,['Land'],None,Rare,MKC,None,None,None,"{T}: Add {U}. If you played a land this turn, add {B} instead."
Reliquary Tower,0.0,None,None,None,['Land'],None,Uncommon,MKC,None,None,None,You have no maximum hand size.\n{T}: Add {C}.
Prairie Stream,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,MKC,None,None,None,({T}: Add {W} or {U}.)\nPrairie Stream enters the battlefield tapped unless you control two or more basic lands.
