Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Archdruid's Charm,3.0,['G'],['G'],None,['Instant'],None,Rare,MKM,None,None,None,"Choose one —\n• Search your library for a creature or land card and reveal it. Put it onto the battlefield tapped if it's a land card. Otherwise, put it into your hand. Then shuffle.\n• Put a +1/+1 counter on target creature you control. It deals damage equal to its power to target creature you don't control.\n• Exile target artifact or enchantment."
Analyze the Pollen,1.0,['G'],['G'],None,['Sorcery'],None,Rare,MKM,None,None,None,"As an additional cost to cast this spell, you may collect evidence 8. (Exile cards with total mana value 8 or greater from your graveyard.)\nSearch your library for a basic land card. If evidence was collected, instead search your library for a creature or land card. Reveal that card, put it into your hand, then shuffle."
Airtight Alibi,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,MKM,None,None,None,"Flash\nEnchant creature\nWhen Airtight Alibi enters the battlefield, untap enchanted creature. It gains hexproof until end of turn. If it's suspected, it's no longer suspected.\nEnchanted creature gets +2/+2 and can't become suspected."
Aftermath Analyst,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Detective']",Uncommon,MKM,1,3,None,"When Aftermath Analyst enters the battlefield, mill three cards.\n{3}{G}, Sacrifice Aftermath Analyst: Return all land cards from your graveyard to the battlefield tapped."
Vengeful Tracker,2.0,['R'],['R'],None,['Creature'],"['Human', 'Detective']",Uncommon,MKM,2,2,None,"Whenever an opponent sacrifices an artifact, Vengeful Tracker deals 2 damage to them."
Torch the Witness,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,MKM,None,None,None,"Torch the Witness deals twice X damage to target creature. If excess damage was dealt to that creature this way, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Suspicious Detonation,5.0,['R'],['R'],None,['Sorcery'],None,Common,MKM,None,None,None,This spell costs {3} less to cast if you've sacrificed an artifact this turn.\nThis spell can't be countered. (This includes by the ward ability.)\nSuspicious Detonation deals 4 damage to target creature.
Blood Spatter Analysis,2.0,"['B', 'R']","['B', 'R']",None,['Enchantment'],None,Rare,MKM,None,None,None,"When Blood Spatter Analysis enters the battlefield, it deals 3 damage to target creature an opponent controls.\nWhenever one or more creatures die, mill a card and put a bloodstain counter on Blood Spatter Analysis. Then sacrifice it if it has five or more bloodstain counters on it. When you do, return target creature card from your graveyard to your hand."
"Aurelia, the Law Above",5.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Rare,MKM,4,4,None,"Flying, vigilance, haste\nWhenever a player attacks with three or more creatures, you draw a card.\nWhenever a player attacks with five or more creatures, Aurelia, the Law Above deals 3 damage to each of your opponents and you gain 3 life."
Shock,1.0,['R'],['R'],None,['Instant'],None,Common,MKM,None,None,None,Shock deals 2 damage to any target.
Assassin's Trophy,2.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Rare,MKM,None,None,None,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
Rubblebelt Braggart,5.0,['R'],['R'],None,['Creature'],"['Viashino', 'Warrior']",Common,MKM,5,5,None,"Whenever Rubblebelt Braggart attacks, if it's not suspected, you may suspect it. (A suspected creature has menace and can't block.)"
"Anzrag, the Quake-Mole",4.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Mole', 'God']",Mythic,MKM,8,4,None,"Whenever Anzrag, the Quake-Mole becomes blocked, untap each creature you control. After this phase, there is an additional combat phase.\n{3}{R}{R}{G}{G}: Anzrag must be blocked each combat this turn if able."
Red Herring,2.0,['R'],['R'],None,"['Artifact', 'Creature']","['Clue', 'Fish']",Common,MKM,2,2,None,"Haste\nRed Herring attacks each combat if able.\n{2}, Sacrifice Red Herring: Draw a card."
"Alquist Proft, Master Sleuth",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Detective']",Mythic,MKM,3,3,None,"Vigilance\nWhen Alquist Proft, Master Sleuth enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")\n{X}{W}{U}{U}, {T}, Sacrifice a Clue: You draw X cards and gain X life."
Reckless Detective,2.0,['R'],['R'],None,['Creature'],"['Devil', 'Detective']",Uncommon,MKM,0,3,None,"Whenever Reckless Detective attacks, you may sacrifice an artifact or discard a card. If you do, draw a card and Reckless Detective gets +2/+0 until end of turn."
"Agrus Kos, Spirit of Justice",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Spirit', 'Detective']",Mythic,MKM,2,4,None,"Double strike, vigilance\nWhenever Agrus Kos, Spirit of Justice enters the battlefield or attacks, choose up to one target creature. If it's suspected, exile it. Otherwise, suspect it. (A suspected creature has menace and can't block.)"
Pyrotechnic Performer,2.0,['R'],['R'],None,['Creature'],"['Viashino', 'Assassin']",Rare,MKM,3,2,None,"Disguise {R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)\nWhenever Pyrotechnic Performer or another creature you control is turned face up, that creature deals damage equal to its power to each opponent."
Vitu-Ghazi Inspector,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Detective']",Common,MKM,1,3,None,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)\nReach\nWhen Vitu-Ghazi Inspector enters the battlefield, if evidence was collected, put a +1/+1 counter on target creature and you gain 2 life."
Person of Interest,4.0,['R'],['R'],None,['Creature'],"['Human', 'Rogue']",Common,MKM,2,2,None,"When Person of Interest enters the battlefield, suspect it. Create a 2/2 white and blue Detective creature token. (A suspected creature has menace and can't block.)"
Vengeful Creeper,5.0,['G'],['G'],None,['Creature'],"['Plant', 'Elemental']",Common,MKM,5,5,None,"Disguise {5}{G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)\nWhen Vengeful Creeper is turned face up, destroy target artifact or enchantment an opponent controls."
