Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Verdant Catacombs,0.0,None,None,None,['Land'],None,Rare,MM3,None,None,None,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle."
Simic Guildgate,0.0,None,"['G', 'U']",None,['Land'],['Gate'],Common,MM3,None,None,None,Simic Guildgate enters the battlefield tapped.\n{T}: Add {G} or {U}.
Shimmering Grotto,0.0,None,None,None,['Land'],None,Common,MM3,None,None,None,"{T}: Add {C}.\n{1}, {T}: Add one mana of any color."
Selesnya Guildgate,0.0,None,"['G', 'W']",None,['Land'],['Gate'],Common,MM3,None,None,None,Selesnya Guildgate enters the battlefield tapped.\n{T}: Add {G} or {W}.
Seaside Citadel,0.0,None,"['G', 'U', 'W']",None,['Land'],None,Uncommon,MM3,None,None,None,"Seaside Citadel enters the battlefield tapped.\n{T}: Add {G}, {W}, or {U}."
Scalding Tarn,0.0,None,None,None,['Land'],None,Rare,MM3,None,None,None,"{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle."
Savage Lands,0.0,None,"['B', 'G', 'R']",None,['Land'],None,Uncommon,MM3,None,None,None,"Savage Lands enters the battlefield tapped.\n{T}: Add {B}, {R}, or {G}."
Rakdos Guildgate,0.0,None,"['B', 'R']",None,['Land'],['Gate'],Common,MM3,None,None,None,Rakdos Guildgate enters the battlefield tapped.\n{T}: Add {B} or {R}.
Orzhov Guildgate,0.0,None,"['B', 'W']",None,['Land'],['Gate'],Common,MM3,None,None,None,Orzhov Guildgate enters the battlefield tapped.\n{T}: Add {W} or {B}.
Misty Rainforest,0.0,None,None,None,['Land'],None,Rare,MM3,None,None,None,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle."
Marsh Flats,0.0,None,None,None,['Land'],None,Rare,MM3,None,None,None,"{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle."
Jungle Shrine,0.0,None,"['G', 'R', 'W']",None,['Land'],None,Uncommon,MM3,None,None,None,"Jungle Shrine enters the battlefield tapped.\n{T}: Add {R}, {G}, or {W}."
Izzet Guildgate,0.0,None,"['R', 'U']",None,['Land'],['Gate'],Common,MM3,None,None,None,Izzet Guildgate enters the battlefield tapped.\n{T}: Add {U} or {R}.
Gruul Guildgate,0.0,None,"['G', 'R']",None,['Land'],['Gate'],Common,MM3,None,None,None,Gruul Guildgate enters the battlefield tapped.\n{T}: Add {R} or {G}.
Golgari Guildgate,0.0,None,"['B', 'G']",None,['Land'],['Gate'],Common,MM3,None,None,None,Golgari Guildgate enters the battlefield tapped.\n{T}: Add {B} or {G}.
Dimir Guildgate,0.0,None,"['B', 'U']",None,['Land'],['Gate'],Common,MM3,None,None,None,Dimir Guildgate enters the battlefield tapped.\n{T}: Add {U} or {B}.
Crumbling Necropolis,0.0,None,"['B', 'R', 'U']",None,['Land'],None,Uncommon,MM3,None,None,None,"Crumbling Necropolis enters the battlefield tapped.\n{T}: Add {U}, {B}, or {R}."
Cavern of Souls,0.0,None,None,None,['Land'],None,Mythic,MM3,None,None,None,"As Cavern of Souls enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
Boros Guildgate,0.0,None,"['R', 'W']",None,['Land'],['Gate'],Common,MM3,None,None,None,Boros Guildgate enters the battlefield tapped.\n{T}: Add {R} or {W}.
Azorius Guildgate,0.0,None,"['U', 'W']",None,['Land'],['Gate'],Common,MM3,None,None,None,Azorius Guildgate enters the battlefield tapped.\n{T}: Add {W} or {U}.
Arid Mesa,0.0,None,None,None,['Land'],None,Rare,MM3,None,None,None,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle."
