Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Earwig Squad,5.0,['B'],['B'],None,['Creature'],"['Goblin', 'Rogue']",Rare,MMA,5,3,None,"Prowl {2}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)\nWhen Earwig Squad enters the battlefield, if its prowl cost was paid, search target opponent's library for three cards and exile them. Then that player shuffles."
Glen Elendra Archmage,4.0,['U'],['U'],None,['Creature'],"['Faerie', 'Wizard']",Rare,MMA,2,2,None,"Flying\n{U}, Sacrifice Glen Elendra Archmage: Counter target noncreature spell.\nPersist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)"
Dreamspoiler Witches,4.0,['B'],['B'],None,['Creature'],"['Faerie', 'Wizard']",Common,MMA,2,2,None,"Flying\nWhenever you cast a spell during an opponent's turn, you may have target creature get -1/-1 until end of turn."
Gifts Ungiven,4.0,['U'],['U'],None,['Instant'],None,Rare,MMA,None,None,None,Search your library for up to four cards with different names and reveal them. Target opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle.
Drag Down,3.0,['B'],['B'],None,['Instant'],None,Common,MMA,None,None,None,Domain — Target creature gets -1/-1 until end of turn for each basic land type among lands you control.
Faerie Mechanist,4.0,['U'],['U'],None,"['Artifact', 'Creature']","['Faerie', 'Artificer']",Common,MMA,2,2,None,"Flying\nWhen Faerie Mechanist enters the battlefield, look at the top three cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Deepcavern Imp,3.0,['B'],['B'],None,['Creature'],"['Imp', 'Rebel']",Common,MMA,2,2,None,"Flying, haste\nEcho—Discard a card. (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)"
Etherium Sculptor,2.0,['U'],['U'],None,"['Artifact', 'Creature']","['Vedalken', 'Artificer']",Common,MMA,1,2,None,Artifact spells you cast cost {1} less to cast.
Death Rattle,6.0,['B'],['B'],None,['Instant'],None,Uncommon,MMA,None,None,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nDestroy target nongreen creature. It can't be regenerated.
Esperzoa,3.0,['U'],['U'],None,"['Artifact', 'Creature']",['Jellyfish'],Uncommon,MMA,4,3,None,"Flying\nAt the beginning of your upkeep, return an artifact you control to its owner's hand."
Erratic Mutation,3.0,['U'],['U'],None,['Instant'],None,Common,MMA,None,None,None,"Choose target creature. Reveal cards from the top of your library until you reveal a nonland card. That creature gets +X/-X until end of turn, where X is that card's mana value. Put all cards revealed this way on the bottom of your library in any order."
Errant Ephemeron,7.0,['U'],['U'],None,['Creature'],['Illusion'],Common,MMA,4,4,None,"Flying\nSuspend 4—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)"
Death Denied,2.0,['B'],['B'],None,['Instant'],['Arcane'],Common,MMA,None,None,None,Return X target creature cards from your graveyard to your hand.
Echoing Truth,2.0,['U'],['U'],None,['Instant'],None,Common,MMA,None,None,None,Return target nonland permanent and all other permanents with the same name as that permanent to their owners' hands.
Death Cloud,3.0,['B'],['B'],None,['Sorcery'],None,Rare,MMA,None,None,None,"Each player loses X life, discards X cards, sacrifices X creatures, then sacrifices X lands."
Dampen Thought,2.0,['U'],['U'],None,['Instant'],['Arcane'],Common,MMA,None,None,None,"Target player mills four cards.\nSplice onto Arcane {1}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)"
Dark Confidant,2.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Mythic,MMA,2,1,None,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value."
Cryptic Command,4.0,['U'],['U'],None,['Instant'],None,Rare,MMA,None,None,None,Choose two —\n• Counter target spell.\n• Return target permanent to its owner's hand.\n• Tap all creatures your opponents control.\n• Draw a card.
Bridge from Below,3.0,['B'],['B'],None,['Enchantment'],None,Rare,MMA,None,None,None,"Whenever a nontoken creature is put into your graveyard from the battlefield, if Bridge from Below is in your graveyard, create a 2/2 black Zombie creature token.\nWhen a creature is put into an opponent's graveyard from the battlefield, if Bridge from Below is in your graveyard, exile Bridge from Below."
Careful Consideration,4.0,['U'],['U'],None,['Instant'],None,Uncommon,MMA,None,None,None,"Target player draws four cards, then discards three cards. If you cast this spell during your main phase, instead that player draws four cards, then discards two cards."
Blightspeaker,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rebel', 'Cleric']",Common,MMA,1,1,None,"{T}: Target player loses 1 life.\n{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle."
Aethersnipe,6.0,['U'],['U'],None,['Creature'],['Elemental'],Common,MMA,4,4,None,"When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.\nEvoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Auntie's Snitch,3.0,['B'],['B'],None,['Creature'],"['Goblin', 'Rogue']",Uncommon,MMA,3,1,None,"Auntie's Snitch can't block.\nProwl {1}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)\nWhenever a Goblin or Rogue you control deals combat damage to a player, if Auntie's Snitch is in your graveyard, you may return Auntie's Snitch to your hand."
Absorb Vis,7.0,['B'],['B'],None,['Sorcery'],None,Common,MMA,None,None,None,"Target player loses 4 life and you gain 4 life.\nBasic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Vendilion Clique,3.0,['U'],['U'],['Legendary'],['Creature'],"['Faerie', 'Wizard']",Mythic,MMA,3,1,None,"Flash\nFlying\nWhen Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card."
Vedalken Dismisser,6.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Wizard']",Common,MMA,2,2,None,"When Vedalken Dismisser enters the battlefield, put target creature on top of its owner's library."
Traumatic Visions,5.0,['U'],['U'],None,['Instant'],None,Common,MMA,None,None,None,"Counter target spell.\nBasic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
