Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Slimefoot and Squee,3.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Fungus', 'Goblin']",Mythic,MOC,3,3,None,"Whenever Slimefoot and Squee enters the battlefield or attacks, create a 1/1 green Saproling creature token.\n{1}{B}{R}{G}, Sacrifice a Saproling: Return Slimefoot and Squee and up to one other target creature card from your graveyard to the battlefield. Activate only as a sorcery."
Katilda and Lier,3.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],['Human'],Mythic,MOC,3,3,None,"Whenever you cast a Human spell, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)"
Goro-Goro and Satoru,3.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Goblin', 'Human']",Mythic,MOC,3,4,None,"Whenever one or more creatures you control that entered the battlefield this turn deal combat damage to a player, create a 5/5 red Dragon Spirit creature token with flying.\n{1}{R}: Creatures you control gain haste until end of turn."
Vault of the Archangel,0.0,None,"['B', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"{T}: Add {C}.\n{2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn."
Thriving Isle,0.0,None,['U'],None,['Land'],None,Common,MOC,None,None,None,"Thriving Isle enters the battlefield tapped.\nAs Thriving Isle enters the battlefield, choose a color other than blue.\n{T}: Add {U} or one mana of the chosen color."
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,MOC,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Temple of the False God,0.0,None,None,None,['Land'],None,Uncommon,MOC,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Talisman of Hierarchy,2.0,None,"['B', 'W']",None,['Artifact'],None,Uncommon,MOC,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Talisman of Hierarchy deals 1 damage to you.
Spine of Ish Sah,7.0,None,None,None,['Artifact'],None,Rare,MOC,None,None,None,"When Spine of Ish Sah enters the battlefield, destroy target permanent.\nWhen Spine of Ish Sah is put into a graveyard from the battlefield, return Spine of Ish Sah to its owner's hand."
Soul of New Phyrexia,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Avatar']",Mythic,MOC,6,6,None,"Trample\n{5}: Permanents you control gain indestructible until end of turn.\n{5}, Exile Soul of New Phyrexia from your graveyard: Permanents you control gain indestructible until end of turn."
Skyclave Relic,3.0,None,None,None,['Artifact'],None,Rare,MOC,None,None,None,"Kicker {3}\nIndestructible\nWhen Skyclave Relic enters the battlefield, if it was kicked, create two tapped tokens that are copies of Skyclave Relic.\n{T}: Add one mana of any color."
Skullclamp,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,MOC,None,None,None,"Equipped creature gets +1/-1.\nWhenever equipped creature dies, draw two cards.\nEquip {1}"
Shimmer Myr,3.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Uncommon,MOC,2,2,None,Flash\nYou may cast artifact spells as though they had flash.
Scrap Trawler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,MOC,3,2,None,"Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value."
Phyrexian Triniform,9.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Golem']",Mythic,MOC,9,9,None,"When Phyrexian Triniform dies, create three 3/3 colorless Phyrexian Golem artifact creature tokens.\nEncore {12} ({12}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)"
Orzhov Locket,3.0,None,"['B', 'W']",None,['Artifact'],None,Common,MOC,None,None,None,"{T}: Add {W} or {B}.\n{W/B}{W/B}{W/B}{W/B}, {T}, Sacrifice Orzhov Locket: Draw two cards."
Myr Battlesphere,7.0,None,None,None,"['Artifact', 'Creature']","['Myr', 'Construct']",Rare,MOC,4,7,None,"When Myr Battlesphere enters the battlefield, create four 1/1 colorless Myr artifact creature tokens.\nWhenever Myr Battlesphere attacks, you may tap X untapped Myr you control. If you do, Myr Battlesphere gets +X/+0 until end of turn and deals X damage to the player or planeswalker it's attacking."
Mind Stone,2.0,None,None,None,['Artifact'],None,Uncommon,MOC,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Mind Stone: Draw a card."
Ancient Stone Idol,10.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,MOC,12,12,None,"Flash\nThis spell costs {1} less to cast for each attacking creature.\nTrample\nWhen Ancient Stone Idol dies, create a 6/12 colorless Construct artifact creature token with trample."
Izzet Signet,2.0,None,"['R', 'U']",None,['Artifact'],None,Common,MOC,None,None,None,"{1}, {T}: Add {U}{R}."
Inspiring Statuary,3.0,None,None,None,['Artifact'],None,Rare,MOC,None,None,None,Nonartifact spells you cast have improvise. (Your artifacts can help cast those spells. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Fractured Powerstone,2.0,None,None,None,['Artifact'],None,Common,MOC,None,None,None,{T}: Add {C}.\n{T}: Roll the planar die. Activate only as a sorcery.
Duplicant,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,MOC,2,4,None,"Imprint — When Duplicant enters the battlefield, you may exile target nontoken creature.\nAs long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter."
Cultivator's Caravan,3.0,None,None,None,['Artifact'],['Vehicle'],Rare,MOC,5,5,None,{T}: Add one mana of any color.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
Coveted Jewel,6.0,None,None,None,['Artifact'],None,Rare,MOC,None,None,None,"When Coveted Jewel enters the battlefield, draw three cards.\n{T}: Add three mana of any one color.\nWhenever one or more creatures an opponent controls attack you and aren't blocked, that player draws three cards and gains control of Coveted Jewel. Untap it."
Bloodline Pretender,3.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Uncommon,MOC,2,2,None,"Changeling (This card is every creature type.)\nAs Bloodline Pretender enters the battlefield, choose a creature type.\nWhenever another creature of the chosen type enters the battlefield under your control, put a +1/+1 counter on Bloodline Pretender."
Academy Manufactor,3.0,None,None,None,"['Artifact', 'Creature']",['Assembly-Worker'],Rare,MOC,1,3,None,"If you would create a Clue, Food, or Treasure token, instead create one of each."
Wintermoor Commander,2.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Human', 'Knight']",Uncommon,MOC,2,*,None,"Deathtouch\nWintermoor Commander's toughness is equal to the number of Knights you control.\nWhenever Wintermoor Commander attacks, another target Knight you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Whirlwind of Thought,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",None,['Enchantment'],None,Rare,MOC,None,None,None,"Whenever you cast a noncreature spell, draw a card."
Wear // Tear,3.0,['R'],"['R', 'W']",None,['Instant'],None,Uncommon,MOC,None,None,None,Destroy target artifact.\nFuse (You may cast one or both halves of this card from your hand.)
"Vona, Butcher of Magan",5.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Vampire', 'Knight']",Mythic,MOC,4,4,None,"Vigilance, lifelink\n{T}, Pay 7 life: Destroy target nonland permanent. Activate only during your turn."
Thriving Moor,0.0,None,['B'],None,['Land'],None,Common,MOC,None,None,None,"Thriving Moor enters the battlefield tapped.\nAs Thriving Moor enters the battlefield, choose a color other than black.\n{T}: Add {B} or one mana of the chosen color."
Thriving Heath,0.0,None,['W'],None,['Land'],None,Common,MOC,None,None,None,"Thriving Heath enters the battlefield tapped.\nAs Thriving Heath enters the battlefield, choose a color other than white.\n{T}: Add {W} or one mana of the chosen color."
Temple of Triumph,0.0,None,"['R', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Triumph enters the battlefield tapped.\nWhen Temple of Triumph enters the battlefield, scry 1.\n{T}: Add {R} or {W}."
Temple of Silence,0.0,None,"['B', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Silence enters the battlefield tapped.\nWhen Temple of Silence enters the battlefield, scry 1.\n{T}: Add {W} or {B}."
Temple of Plenty,0.0,None,"['G', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Plenty enters the battlefield tapped.\nWhen Temple of Plenty enters the battlefield, scry 1.\n{T}: Add {G} or {W}."
Temple of Mystery,0.0,None,"['G', 'U']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Mystery enters the battlefield tapped.\nWhen Temple of Mystery enters the battlefield, scry 1.\n{T}: Add {G} or {U}."
Temple of Epiphany,0.0,None,"['R', 'U']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Epiphany enters the battlefield tapped.\nWhen Temple of Epiphany enters the battlefield, scry 1.\n{T}: Add {U} or {R}."
Temple of Enlightenment,0.0,None,"['U', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Enlightenment enters the battlefield tapped.\nWhen Temple of Enlightenment enters the battlefield, scry 1.\n{T}: Add {W} or {U}."
Temple of Abandon,0.0,None,"['G', 'R']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Abandon enters the battlefield tapped.\nWhen Temple of Abandon enters the battlefield, scry 1.\n{T}: Add {R} or {G}."
Temple of Deceit,0.0,None,"['B', 'U']",None,['Land'],None,Rare,MOC,None,None,None,"Temple of Deceit enters the battlefield tapped.\nWhen Temple of Deceit enters the battlefield, scry 1.\n{T}: Add {U} or {B}."
Tainted Field,0.0,None,"['B', 'W']",None,['Land'],None,Uncommon,MOC,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Activate only if you control a Swamp.
Sunken Hollow,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,MOC,None,None,None,({T}: Add {U} or {B}.)\nSunken Hollow enters the battlefield tapped unless you control two or more basic lands.
Sungrass Prairie,0.0,None,"['G', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"{1}, {T}: Add {G}{W}."
Spire of Industry,0.0,None,None,None,['Land'],None,Rare,MOC,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact."
Skycloud Expanse,0.0,None,"['U', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"{1}, {T}: Add {W}{U}."
Simic Growth Chamber,0.0,None,"['G', 'U']",None,['Land'],None,Common,MOC,None,None,None,"Simic Growth Chamber enters the battlefield tapped.\nWhen Simic Growth Chamber enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{U}."
Silverquill Campus,0.0,None,"['B', 'W']",None,['Land'],None,Common,MOC,None,None,None,"Silverquill Campus enters the battlefield tapped.\n{T}: Add {W} or {B}.\n{4}, {T}: Scry 1."
Shineshadow Snarl,0.0,None,"['B', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"As Shineshadow Snarl enters the battlefield, you may reveal a Plains or Swamp card from your hand. If you don't, Shineshadow Snarl enters the battlefield tapped.\n{T}: Add {W} or {B}."
Rogue's Passage,0.0,None,None,None,['Land'],None,Uncommon,MOC,None,None,None,"{T}: Add {C}.\n{4}, {T}: Target creature can't be blocked this turn."
Prairie Stream,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Rare,MOC,None,None,None,({T}: Add {W} or {U}.)\nPrairie Stream enters the battlefield tapped unless you control two or more basic lands.
Port Town,0.0,None,"['U', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"As Port Town enters the battlefield, you may reveal a Plains or Island card from your hand. If you don't, Port Town enters the battlefield tapped.\n{T}: Add {W} or {U}."
Path of Ancestry,0.0,None,None,None,['Land'],None,Common,MOC,None,None,None,"Path of Ancestry enters the battlefield tapped.\n{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)"
Mystic Monastery,0.0,None,"['R', 'U', 'W']",None,['Land'],None,Uncommon,MOC,None,None,None,"Mystic Monastery enters the battlefield tapped.\n{T}: Add {U}, {R}, or {W}."
Myriad Landscape,0.0,None,None,None,['Land'],None,Uncommon,MOC,None,None,None,"Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle."
Mosswort Bridge,0.0,None,['G'],None,['Land'],None,Rare,MOC,None,None,None,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\nMosswort Bridge enters the battlefield tapped.\n{T}: Add {G}.\n{G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater."
Mossfire Valley,0.0,None,"['G', 'R']",None,['Land'],None,Rare,MOC,None,None,None,"{1}, {T}: Add {R}{G}."
Llanowar Reborn,0.0,None,['G'],None,['Land'],None,Uncommon,MOC,None,None,None,"Llanowar Reborn enters the battlefield tapped.\n{T}: Add {G}.\nGraft 1 (This land enters the battlefield with a +1/+1 counter on it. Whenever a creature enters the battlefield, you may move a +1/+1 counter from this land onto it.)"
Krosan Verge,0.0,None,None,None,['Land'],None,Uncommon,MOC,None,None,None,"Krosan Verge enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle."
Kher Keep,0.0,None,['R'],['Legendary'],['Land'],None,Rare,MOC,None,None,None,"{T}: Add {C}.\n{1}{R}, {T}: Create a 0/1 red Kobold creature token named Kobolds of Kher Keep."
Kessig Wolf Run,0.0,None,"['G', 'R']",None,['Land'],None,Rare,MOC,None,None,None,"{T}: Add {C}.\n{X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn."
Cinder Glade,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,MOC,None,None,None,({T}: Add {R} or {G}.)\nCinder Glade enters the battlefield tapped unless you control two or more basic lands.
Gavony Township,0.0,None,"['G', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"{T}: Add {C}.\n{2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control."
Jungle Shrine,0.0,None,"['G', 'R', 'W']",None,['Land'],None,Uncommon,MOC,None,None,None,"Jungle Shrine enters the battlefield tapped.\n{T}: Add {R}, {G}, or {W}."
Karn's Bastion,0.0,None,None,None,['Land'],None,Rare,MOC,None,None,None,"{T}: Add {C}.\n{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Goldmire Bridge,0.0,None,"['B', 'W']",None,"['Artifact', 'Land']",None,Common,MOC,None,None,None,Goldmire Bridge enters the battlefield tapped.\nIndestructible\n{T}: Add {W} or {B}.
Game Trail,0.0,None,"['G', 'R']",None,['Land'],None,Rare,MOC,None,None,None,"As Game Trail enters the battlefield, you may reveal a Mountain or Forest card from your hand. If you don't, Game Trail enters the battlefield tapped.\n{T}: Add {R} or {G}."
Furycalm Snarl,0.0,None,"['R', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"As Furycalm Snarl enters the battlefield, you may reveal a Mountain or Plains card from your hand. If you don't, Furycalm Snarl enters the battlefield tapped.\n{T}: Add {R} or {W}."
Frostboil Snarl,0.0,None,"['R', 'U']",None,['Land'],None,Rare,MOC,None,None,None,"As Frostboil Snarl enters the battlefield, you may reveal an Island or Mountain card from your hand. If you don't, Frostboil Snarl enters the battlefield tapped.\n{T}: Add {U} or {R}."
Frontier Bivouac,0.0,None,"['G', 'R', 'U']",None,['Land'],None,Uncommon,MOC,None,None,None,"Frontier Bivouac enters the battlefield tapped.\n{T}: Add {G}, {U}, or {R}."
Fortified Village,0.0,None,"['G', 'W']",None,['Land'],None,Rare,MOC,None,None,None,"As Fortified Village enters the battlefield, you may reveal a Forest or Plains card from your hand. If you don't, Fortified Village enters the battlefield tapped.\n{T}: Add {G} or {W}."
Command Tower,0.0,None,None,None,['Land'],None,Common,MOC,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Field of Ruin,0.0,None,None,None,['Land'],None,Uncommon,MOC,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles."
