Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Diabolic Intent,2.0,['B'],['B'],None,['Sorcery'],None,Special,MP2,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nSearch your library for a card, put that card into your hand, then shuffle."
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Special,MP2,None,None,None,Add {B}{B}{B}.
Bontu the Glorified,3.0,['B'],['B'],['Legendary'],['Creature'],['God'],Special,MP2,4,6,None,"Menace, indestructible\nBontu the Glorified can't attack or block unless a creature died under your control this turn.\n{1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life."
Attrition,3.0,['B'],['B'],None,['Enchantment'],None,Special,MP2,None,None,None,"{B}, Sacrifice a creature: Destroy target nonblack creature."
Stifle,1.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,Counter target activated or triggered ability. (Mana abilities can't be targeted.)
Austere Command,6.0,['W'],['W'],None,['Sorcery'],None,Special,MP2,None,None,None,Choose two —\n• Destroy all artifacts.\n• Destroy all enchantments.\n• Destroy all creatures with mana value 3 or less.\n• Destroy all creatures with mana value 4 or greater.
The Scorpion God,5.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],['God'],Special,MP2,6,5,None,"Whenever a creature with a -1/-1 counter on it dies, draw a card.\n{1}{B}{R}: Put a -1/-1 counter on another target creature.\nWhen The Scorpion God dies, return it to its owner's hand at the beginning of the next end step."
Spell Pierce,1.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,Counter target noncreature spell unless its controller pays {2}.
Force of Will,5.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.\nCounter target spell.
The Scarab God,5.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],['God'],Special,MP2,5,5,None,"At the beginning of your upkeep, each opponent loses X life and you scry X, where X is the number of Zombies you control.\n{2}{U}{B}: Exile target creature card from a graveyard. Create a token that's a copy of it, except it's a 4/4 black Zombie.\nWhen The Scarab God dies, return it to its owner's hand at the beginning of the next end step."
Aven Mindcensor,3.0,['W'],['W'],None,['Creature'],"['Bird', 'Wizard']",Special,MP2,2,1,None,"Flash\nFlying\nIf an opponent would search a library, that player searches the top four cards of that library instead."
Pact of Negation,0.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,"Counter target spell.\nAt the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game."
Lord of Extinction,5.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Elemental'],Special,MP2,*,*,None,Lord of Extinction's power and toughness are each equal to the number of cards in all graveyards.
Kefnet the Mindful,3.0,['U'],['U'],['Legendary'],['Creature'],['God'],Special,MP2,5,5,None,"Flying, indestructible\nKefnet the Mindful can't attack or block unless you have seven or more cards in hand.\n{3}{U}: Draw a card, then you may return a land you control to its owner's hand."
The Locust God,6.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],['God'],Special,MP2,4,4,None,"Flying\nWhenever you draw a card, create a 1/1 blue and red Insect creature token with flying and haste.\n{2}{U}{R}: Draw a card, then discard a card.\nWhen The Locust God dies, return it to its owner's hand at the beginning of the next end step."
Divert,1.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,Change the target of target spell with a single target unless that spell's controller pays {2}.
Daze,2.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,You may return an Island you control to its owner's hand rather than pay this spell's mana cost.\nCounter target spell unless its controller pays {1}.
Choke,3.0,['G'],['G'],None,['Enchantment'],None,Special,MP2,None,None,None,Islands don't untap during their controllers' untap steps.
Cryptic Command,4.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,Choose two —\n• Counter target spell.\n• Return target permanent to its owner's hand.\n• Tap all creatures your opponents control.\n• Draw a card.
Through the Breach,5.0,['R'],['R'],None,['Instant'],['Arcane'],Special,MP2,None,None,None,"You may put a creature card from your hand onto the battlefield. That creature gains haste. Sacrifice that creature at the beginning of the next end step.\nSplice onto Arcane {2}{R}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)"
Counterspell,2.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,Counter target spell.
Shatterstorm,4.0,['R'],['R'],None,['Sorcery'],None,Special,MP2,None,None,None,Destroy all artifacts. They can't be regenerated.
Wrath of God,4.0,['W'],['W'],None,['Sorcery'],None,Special,MP2,None,None,None,Destroy all creatures. They can't be regenerated.
Counterbalance,2.0,['U'],['U'],None,['Enchantment'],None,Special,MP2,None,None,None,"Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same mana value as the revealed card."
Boil,4.0,['R'],['R'],None,['Instant'],None,Special,MP2,None,None,None,Destroy all Islands.
Worship,4.0,['W'],['W'],None,['Enchantment'],None,Special,MP2,None,None,None,"If you control a creature, damage that would reduce your life total to less than 1 reduces it to 1 instead."
Consecrated Sphinx,6.0,['U'],['U'],None,['Creature'],['Sphinx'],Special,MP2,4,6,None,"Flying\nWhenever an opponent draws a card, you may draw two cards."
Blood Moon,3.0,['R'],['R'],None,['Enchantment'],None,Special,MP2,None,None,None,Nonbasic lands are Mountains.
Containment Priest,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Special,MP2,2,2,None,"Flash\nIf a nontoken creature would enter the battlefield and it wasn't cast, exile it instead."
Oketra the True,4.0,['W'],['W'],['Legendary'],['Creature'],['God'],Special,MP2,3,6,None,"Double strike, indestructible\nOketra the True can't attack or block unless you control at least three other creatures.\n{3}{W}: Create a 1/1 white Warrior creature token with vigilance."
Thoughtseize,1.0,['B'],['B'],None,['Sorcery'],None,Special,MP2,None,None,None,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.
Slaughter Pact,0.0,['B'],['B'],None,['Instant'],None,Special,MP2,None,None,None,"Destroy target nonblack creature.\nAt the beginning of your next upkeep, pay {2}{B}. If you don't, you lose the game."
No Mercy,4.0,['B'],['B'],None,['Enchantment'],None,Special,MP2,None,None,None,"Whenever a creature deals damage to you, destroy it."
Doomsday,3.0,['B'],['B'],None,['Sorcery'],None,Special,MP2,None,None,None,"Search your library and graveyard for five cards and exile the rest. Put the chosen cards on top of your library in any order. You lose half your life, rounded up."
Diabolic Edict,2.0,['B'],['B'],None,['Instant'],None,Special,MP2,None,None,None,Target player sacrifices a creature.
Desolation Angel,5.0,['B'],"['B', 'W']",None,['Creature'],['Angel'],Special,MP2,5,4,None,"Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)\nFlying\nWhen Desolation Angel enters the battlefield, destroy all lands you control. If it was kicked, destroy all lands instead."
Chain Lightning,1.0,['R'],['R'],None,['Sorcery'],None,Special,MP2,None,None,None,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy."
Sunder,5.0,['U'],['U'],None,['Instant'],None,Special,MP2,None,None,None,Return all lands to their owners' hands.
Avatar of Woe,8.0,['B'],['B'],None,['Creature'],['Avatar'],Special,MP2,6,5,None,"If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast.\nFear (This creature can't be blocked except by artifact creatures and/or black creatures.)\n{T}: Destroy target creature. It can't be regenerated."
Damnation,4.0,['B'],['B'],None,['Sorcery'],None,Special,MP2,None,None,None,Destroy all creatures. They can't be regenerated.
Threads of Disloyalty,3.0,['U'],['U'],None,['Enchantment'],['Aura'],Special,MP2,None,None,None,Enchant creature with mana value 2 or less\nYou control enchanted creature.
Opposition,4.0,['U'],['U'],None,['Enchantment'],None,Special,MP2,None,None,None,"Tap an untapped creature you control: Tap target artifact, creature, or land."
