Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Wurmcoil Engine,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Wurm']",Special,MPS,6,6,None,"Deathtouch, lifelink\nWhen Wurmcoil Engine dies, create a 3/3 colorless Phyrexian Wurm artifact creature token with deathtouch and a 3/3 colorless Phyrexian Wurm artifact creature token with lifelink."
Vedalken Shackles,3.0,None,None,None,['Artifact'],None,Special,MPS,None,None,None,"You may choose not to untap Vedalken Shackles during your untap step.\n{2}, {T}: Gain control of target creature with power less than or equal to the number of Islands you control for as long as Vedalken Shackles remains tapped."
Trinisphere,3.0,None,None,None,['Artifact'],None,Special,MPS,None,None,None,"As long as Trinisphere is untapped, each spell that would cost less than three mana to cast costs three mana to cast. (Additional mana in the cost may be paid with any color of mana or colorless mana. For example, a spell that would cost {1}{B} to cast costs {2}{B} to cast instead.)"
Sword of War and Peace,3.0,None,None,None,['Artifact'],['Equipment'],Special,MPS,None,None,None,"Equipped creature gets +2/+2 and has protection from red and from white.\nWhenever equipped creature deals combat damage to a player, Sword of War and Peace deals damage to that player equal to the number of cards in their hand and you gain 1 life for each card in your hand.\nEquip {2}"
Sword of Body and Mind,3.0,None,None,None,['Artifact'],['Equipment'],Special,MPS,None,None,None,"Equipped creature gets +2/+2 and has protection from green and from blue.\nWhenever equipped creature deals combat damage to a player, you create a 2/2 green Wolf creature token and that player mills ten cards.\nEquip {2}"
Staff of Domination,3.0,None,None,None,['Artifact'],None,Special,MPS,None,None,None,"{1}: Untap Staff of Domination.\n{2}, {T}: You gain 1 life.\n{3}, {T}: Untap target creature.\n{4}, {T}: Tap target creature.\n{5}, {T}: Draw a card."
Sundering Titan,8.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Special,MPS,7,10,None,"When Sundering Titan enters or leaves the battlefield, choose a land of each basic land type, then destroy those lands."
Sphere of Resistance,2.0,None,None,None,['Artifact'],None,Special,MPS,None,None,None,Spells cost {1} more to cast.
Planar Bridge,6.0,None,None,['Legendary'],['Artifact'],None,Special,MPS,None,None,None,"{8}, {T}: Search your library for a permanent card, put it onto the battlefield, then shuffle."
Platinum Angel,7.0,None,None,None,"['Artifact', 'Creature']",['Angel'],Special,MPS,4,4,None,Flying\nYou can't lose the game and your opponents can't win the game.
Pithing Needle,1.0,None,None,None,['Artifact'],None,Special,MPS,None,None,None,"As Pithing Needle enters the battlefield, choose a card name.\nActivated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Ornithopter,0.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Special,MPS,0,2,None,Flying
