Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sunbeam Spellbomb,1.0,None,['W'],None,['Artifact'],None,Common,MRD,None,None,None,"{W}, Sacrifice Sunbeam Spellbomb: You gain 5 life.\n{1}, Sacrifice Sunbeam Spellbomb: Draw a card."
Tel-Jilad Stylus,1.0,None,None,None,['Artifact'],None,Uncommon,MRD,None,None,None,{T}: Put target permanent you own on the bottom of your library.
Sun Droplet,2.0,None,None,None,['Artifact'],None,Uncommon,MRD,None,None,None,"Whenever you're dealt damage, put that many charge counters on Sun Droplet.\nAt the beginning of each upkeep, you may remove a charge counter from Sun Droplet. If you do, you gain 1 life."
Steel Wall,1.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Common,MRD,0,4,None,Defender (This creature can't attack.)
Tangleroot,3.0,None,['G'],None,['Artifact'],None,Rare,MRD,None,None,None,"Whenever a player casts a creature spell, that player adds {G}."
Spellweaver Helix,3.0,None,None,None,['Artifact'],None,Rare,MRD,None,None,None,"Imprint — When Spellweaver Helix enters the battlefield, you may exile two target sorcery cards from a single graveyard.\nWhenever a player casts a card, if it has the same name as one of the cards exiled with Spellweaver Helix, you may copy the other. If you do, you may cast the copy without paying its mana cost."
Soul Foundry,4.0,None,None,None,['Artifact'],None,Rare,MRD,None,None,None,"Imprint — When Soul Foundry enters the battlefield, you may exile a creature card from your hand.\n{X}, {T}: Create a token that's a copy of the exiled card. X is the mana value of that card."
Cathodion,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,MRD,3,3,None,"When Cathodion dies, add {C}{C}{C}."
Bottle Gnomes,3.0,None,None,None,"['Artifact', 'Creature']",['Gnome'],Uncommon,MRD,1,3,None,Sacrifice Bottle Gnomes: You gain 3 life.
"Bosh, Iron Golem",8.0,None,['R'],['Legendary'],"['Artifact', 'Creature']",['Golem'],Rare,MRD,6,7,None,"Trample\n{3}{R}, Sacrifice an artifact: Bosh, Iron Golem deals damage equal to the sacrificed artifact's mana value to any target."
Bonesplitter,1.0,None,None,None,['Artifact'],['Equipment'],Common,MRD,None,None,None,Equipped creature gets +2/+0.\nEquip {1}
Blinkmoth Urn,5.0,None,None,None,['Artifact'],None,Rare,MRD,None,None,None,"At the beginning of each player's precombat main phase, if Blinkmoth Urn is untapped, that player adds {C} for each artifact they control."
Banshee's Blade,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,MRD,None,None,None,"Equipped creature gets +1/+1 for each charge counter on Banshee's Blade.\nWhenever equipped creature deals combat damage, put a charge counter on Banshee's Blade.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)"
Altar of Shadows,7.0,None,['B'],None,['Artifact'],None,Rare,MRD,None,None,None,"At the beginning of your precombat main phase, add {B} for each charge counter on Altar of Shadows.\n{7}, {T}: Destroy target creature. Then put a charge counter on Altar of Shadows."
Alpha Myr,2.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Common,MRD,2,1,None,None
Aether Spellbomb,1.0,None,['U'],None,['Artifact'],None,Common,MRD,None,None,None,"{U}, Sacrifice Aether Spellbomb: Return target creature to its owner's hand.\n{1}, Sacrifice Aether Spellbomb: Draw a card."
Wurmskin Forger,7.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,MRD,2,2,None,"When Wurmskin Forger enters the battlefield, distribute three +1/+1 counters among one, two, or three target creatures."
Viridian Shaman,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Uncommon,MRD,2,2,None,"When Viridian Shaman enters the battlefield, destroy target artifact."
Viridian Joiner,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,MRD,1,2,None,{T}: Add an amount of {G} equal to Viridian Joiner's power.
Turn to Dust,1.0,['G'],['G'],None,['Instant'],None,Common,MRD,None,None,None,Destroy target Equipment. Add {G}.
Trolls of Tel-Jilad,7.0,['G'],['G'],None,['Creature'],"['Troll', 'Shaman']",Uncommon,MRD,5,6,None,{1}{G}: Regenerate target green creature.
Troll Ascetic,3.0,['G'],['G'],None,['Creature'],"['Troll', 'Shaman']",Rare,MRD,3,2,None,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\n{1}{G}: Regenerate Troll Ascetic.
Tooth and Nail,7.0,['G'],['G'],None,['Sorcery'],None,Rare,MRD,None,None,None,"Choose one —\n• Search your library for up to two creature cards, reveal them, put them into your hand, then shuffle.\n• Put up to two creature cards from your hand onto the battlefield.\nEntwine {2} (Choose both if you pay the entwine cost.)"
Tel-Jilad Exile,4.0,['G'],['G'],None,['Creature'],"['Troll', 'Warrior']",Common,MRD,2,3,None,{1}{G}: Regenerate Tel-Jilad Exile.
Tel-Jilad Chosen,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,MRD,2,1,None,Protection from artifacts
Tel-Jilad Archers,5.0,['G'],['G'],None,['Creature'],"['Elf', 'Archer']",Common,MRD,2,4,None,Protection from artifacts; reach (This creature can block creatures with flying.)
Sylvan Scrying,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,MRD,None,None,None,"Search your library for a land card, reveal it, put it into your hand, then shuffle."
Slith Predator,2.0,['G'],['G'],None,['Creature'],['Slith'],Uncommon,MRD,1,1,None,"Trample\nWhenever Slith Predator deals combat damage to a player, put a +1/+1 counter on it."
Solemn Simulacrum,4.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,MRD,2,2,None,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.\nWhen Solemn Simulacrum dies, you may draw a card."
Predator's Strike,2.0,['G'],['G'],None,['Instant'],None,Common,MRD,None,None,None,Target creature gets +3/+3 and gains trample until end of turn.
Plated Slagwurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Rare,MRD,8,8,None,Hexproof (This creature can't be the target of spells or abilities your opponents control.)
One Dozen Eyes,6.0,['G'],['G'],None,['Sorcery'],None,Uncommon,MRD,None,None,None,Choose one —\n• Create a 5/5 green Beast creature token.\n• Create five 1/1 green Insect creature tokens.\nEntwine {G}{G}{G} (Choose both if you pay the entwine cost.)
Soldier Replica,3.0,None,['W'],None,"['Artifact', 'Creature']",['Soldier'],Common,MRD,1,3,None,"{1}{W}, Sacrifice Soldier Replica: It deals 3 damage to target attacking or blocking creature."
Slagwurm Armor,1.0,None,None,None,['Artifact'],['Equipment'],Common,MRD,None,None,None,Equipped creature gets +0/+6.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)
Molder Slug,5.0,['G'],['G'],None,['Creature'],"['Slug', 'Beast']",Rare,MRD,4,6,None,"At the beginning of each player's upkeep, that player sacrifices an artifact."
Living Hive,8.0,['G'],['G'],None,['Creature'],"['Elemental', 'Insect']",Rare,MRD,6,6,None,"Trample\nWhenever Living Hive deals combat damage to a player, create that many 1/1 green Insect creature tokens."
Silver Myr,2.0,None,['U'],None,"['Artifact', 'Creature']",['Myr'],Common,MRD,1,1,None,{T}: Add {U}.
