Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Slippery Bogbonder,4.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Rare,NCC,3,3,None,"Flash\nHexproof\nWhen Slippery Bogbonder enters the battlefield, put a hexproof counter on target creature. Then move any number of counters from among creatures you control onto that creature."
Scavenging Ooze,2.0,['G'],['G'],None,['Creature'],['Ooze'],Rare,NCC,2,2,None,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life."
Rishkar's Expertise,6.0,['G'],['G'],None,['Sorcery'],None,Rare,NCC,None,None,None,Draw cards equal to the greatest power among creatures you control.\nYou may cast a spell with mana value 5 or less from your hand without paying its mana cost.
Skyclave Shade,2.0,['B'],['B'],None,['Creature'],['Shade'],Rare,NCC,3,1,None,"Kicker {2}{B}\nSkyclave Shade can't block.\nIf Skyclave Shade was kicked, it enters the battlefield with two +1/+1 counters on it.\nLandfall — Whenever a land enters the battlefield under your control, if Skyclave Shade is in your graveyard and it's your turn, you may cast it from your graveyard this turn."
Life's Legacy,2.0,['G'],['G'],None,['Sorcery'],None,Rare,NCC,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nDraw cards equal to the sacrificed creature's power."
Agitator Ant,3.0,['R'],['R'],None,['Creature'],['Insect'],Rare,NCC,2,2,None,"At the beginning of your end step, each player may put two +1/+1 counters on a creature they control. Goad each creature that had counters put on it this way. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)"
Sever the Bloodline,4.0,['B'],['B'],None,['Sorcery'],None,Rare,NCC,None,None,None,Exile target creature and all other creatures with the same name as that creature.\nFlashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Incubation Druid,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,NCC,0,2,None,"{T}: Add one mana of any type that a land you control could produce. If Incubation Druid has a +1/+1 counter on it, add three mana of that type instead.\n{3}{G}{G}: Adapt 3. (If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.)"
Giant Adephage,7.0,['G'],['G'],None,['Creature'],['Insect'],Mythic,NCC,7,7,None,"Trample\nWhenever Giant Adephage deals combat damage to a player, create a token that's a copy of Giant Adephage."
Farseek,2.0,['G'],['G'],None,['Sorcery'],None,Common,NCC,None,None,None,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle."
