Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Decimate,4.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,NEC,None,None,None,"Destroy target artifact, target creature, target enchantment, and target land. (You can't cast this spell unless you have legal choices for all its targets.)"
Dance of the Manse,2.0,"['U', 'W']","['U', 'W']",None,['Sorcery'],None,Rare,NEC,None,None,None,"Return up to X target artifact and/or non-Aura enchantment cards each with mana value X or less from your graveyard to the battlefield. If X is 6 or more, those permanents are 4/4 creatures in addition to their other types."
Arcanist's Owl,4.0,"['U', 'W']","['U', 'W']",None,"['Artifact', 'Creature']",['Bird'],Uncommon,NEC,3,3,None,"Flying\nWhen Arcanist's Owl enters the battlefield, look at the top four cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Whiptongue Hydra,6.0,['G'],['G'],None,['Creature'],"['Lizard', 'Hydra']",Rare,NEC,4,4,None,"Reach\nWhen Whiptongue Hydra enters the battlefield, destroy all creatures with flying. Put a +1/+1 counter on Whiptongue Hydra for each creature destroyed this way."
Vastwood Surge,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,NEC,None,None,None,"Kicker {4} (You may pay an additional {4} as you cast this spell.)\nSearch your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle. If this spell was kicked, put two +1/+1 counters on each creature you control."
Spearbreaker Behemoth,7.0,['G'],['G'],None,['Creature'],['Beast'],Rare,NEC,5,5,None,Indestructible\n{1}: Target creature with power 5 or greater gains indestructible until end of turn.
Soul's Majesty,5.0,['G'],['G'],None,['Sorcery'],None,Rare,NEC,None,None,None,Draw cards equal to the power of target creature you control.
Snake Umbra,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,NEC,None,None,None,"Enchant creature\nEnchanted creature gets +1/+1 and has ""Whenever this creature deals damage to an opponent, you may draw a card.""\nTotem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)"
Shamanic Revelation,5.0,['G'],['G'],None,['Sorcery'],None,Rare,NEC,None,None,None,Draw a card for each creature you control.\nFerocious — You gain 4 life for each creature you control with power 4 or greater.
Sakura-Tribe Elder,2.0,['G'],['G'],None,['Creature'],"['Snake', 'Shaman']",Common,NEC,1,1,None,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Rishkar's Expertise,6.0,['G'],['G'],None,['Sorcery'],None,Rare,NEC,None,None,None,Draw cards equal to the greatest power among creatures you control.\nYou may cast a spell with mana value 5 or less from your hand without paying its mana cost.
"Rishkar, Peema Renegade",3.0,['G'],['G'],['Legendary'],['Creature'],"['Elf', 'Druid']",Rare,NEC,2,2,None,"When Rishkar, Peema Renegade enters the battlefield, put a +1/+1 counter on each of up to two target creatures.\nEach creature you control with a counter on it has ""{T}: Add {G}."""
Rampant Growth,2.0,['G'],['G'],None,['Sorcery'],None,Common,NEC,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Primeval Protector,11.0,['G'],['G'],None,['Creature'],['Avatar'],Rare,NEC,10,10,None,"This spell costs {1} less to cast for each creature your opponents control.\nWhen Primeval Protector enters the battlefield, put a +1/+1 counter on each other creature you control."
Ordeal of Nylea,2.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,NEC,None,None,None,"Enchant creature\nWhenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Nylea.\nWhen you sacrifice Ordeal of Nylea, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
Loyal Guardian,5.0,['G'],['G'],None,['Creature'],['Rhino'],Uncommon,NEC,4,4,None,"Trample\nLieutenant — At the beginning of combat on your turn, if you control your commander, put a +1/+1 counter on each creature you control."
