Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Skyshroud Claim,4.0,['G'],['G'],None,['Sorcery'],None,Common,NEM,None,None,None,"Search your library for up to two Forest cards, put them onto the battlefield, then shuffle."
Blastoderm,4.0,['G'],['G'],None,['Creature'],['Beast'],Common,NEM,5,5,None,"Shroud (This creature can't be the target of spells or abilities.)\nFading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)"
Saproling Burst,5.0,['G'],['G'],None,['Enchantment'],None,Rare,NEM,None,None,None,"Fading 7 (This enchantment enters the battlefield with seven fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)\nRemove a fade counter from Saproling Burst: Create a green Saproling creature token. It has ""This creature's power and toughness are each equal to the number of fade counters on Saproling Burst.""\nWhen Saproling Burst leaves the battlefield, destroy all tokens created with Saproling Burst. They can't be regenerated."
Seal of Strength,1.0,['G'],['G'],None,['Enchantment'],None,Common,NEM,None,None,None,Sacrifice Seal of Strength: Target creature gets +3/+3 until end of turn.
Skyshroud Behemoth,7.0,['G'],['G'],None,['Creature'],['Beast'],Rare,NEM,10,10,None,"Fading 2 (This creature enters the battlefield with two fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)\nSkyshroud Behemoth enters the battlefield tapped."
Saproling Cluster,2.0,['G'],['G'],None,['Enchantment'],None,Rare,NEM,None,None,None,"{1}, Discard a card: Create a 1/1 green Saproling creature token. Any player may activate this ability."
Rhox,6.0,['G'],['G'],None,['Creature'],"['Rhino', 'Beast']",Rare,NEM,5,5,None,"You may have Rhox assign its combat damage as though it weren't blocked.\n{2}{G}: Regenerate Rhox. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Reverent Silence,4.0,['G'],['G'],None,['Sorcery'],None,Common,NEM,None,None,None,"If you control a Forest, rather than pay this spell's mana cost, you may have each other player gain 6 life.\nDestroy all enchantments."
Refreshing Rain,4.0,['G'],['G'],None,['Instant'],None,Uncommon,NEM,None,None,None,"If an opponent controls a Swamp and you control a Forest, you may cast this spell without paying its mana cost.\nTarget player gains 6 life."
Pack Hunt,4.0,['G'],['G'],None,['Sorcery'],None,Rare,NEM,None,None,None,"Search your library for up to three cards with the same name as target creature, reveal them, put them into your hand, then shuffle."
Overlaid Terrain,4.0,['G'],['G'],None,['Enchantment'],None,Rare,NEM,None,None,None,"As Overlaid Terrain enters the battlefield, sacrifice all lands you control.\nLands you control have ""{T}: Add two mana of any one color."""
Coiling Woodworm,3.0,['G'],['G'],None,['Creature'],"['Insect', 'Worm']",Uncommon,NEM,*,1,None,Coiling Woodworm's power is equal to the number of Forests on the battlefield.
Nesting Wurm,6.0,['G'],['G'],None,['Creature'],['Wurm'],Uncommon,NEM,4,3,None,"Trample\nWhen Nesting Wurm enters the battlefield, you may search your library for up to three cards named Nesting Wurm, reveal them, put them into your hand, then shuffle."
Animate Land,1.0,['G'],['G'],None,['Instant'],None,Uncommon,NEM,None,None,None,"Until end of turn, target land becomes a 3/3 creature that's still a land."
Mossdog,1.0,['G'],['G'],None,['Creature'],"['Plant', 'Dog']",Common,NEM,1,1,None,"Whenever Mossdog becomes the target of a spell or ability an opponent controls, put a +1/+1 counter on Mossdog."
Harvest Mage,1.0,['G'],['G'],None,['Creature'],"['Human', 'Spellshaper']",Common,NEM,1,1,None,"{G}, {T}, Discard a card: Until end of turn, if you tap a land for mana, it produces one mana of a color of your choice instead of any other type and amount."
Fog Patch,2.0,['G'],['G'],None,['Instant'],None,Common,NEM,None,None,None,Cast this spell only during the declare blockers step.\nAttacking creatures become blocked. (This spell works on creatures that can't be blocked.)
Stronghold Gambit,2.0,['R'],['R'],None,['Sorcery'],None,Rare,NEM,None,None,None,Each player chooses a card in their hand. Then each player reveals their chosen card. The owner of each creature card revealed this way with the lowest mana value puts it onto the battlefield.
Shrieking Mogg,2.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,NEM,1,1,None,"Haste\nWhen Shrieking Mogg enters the battlefield, tap all other creatures."
Seal of Fire,1.0,['R'],['R'],None,['Enchantment'],None,Common,NEM,None,None,None,Sacrifice Seal of Fire: It deals 2 damage to any target.
Rupture,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,NEM,None,None,None,Sacrifice a creature. Rupture deals damage equal to that creature's power to each creature without flying and each player.
