Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Return to Action,2.0,['B'],['B'],None,['Instant'],None,Common,NEO,None,None,None,"Until end of turn, target creature gets +1/+0 and gains lifelink and ""When this creature dies, return it to the battlefield tapped under its owner's control."""
Reckoner's Bargain,2.0,['B'],['B'],None,['Instant'],None,Common,NEO,None,None,None,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nYou gain life equal to the sacrificed permanent's mana value. Draw two cards."
Reckoner Shakedown,3.0,['B'],['B'],None,['Sorcery'],None,Common,NEO,None,None,None,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player discards that card. If you don't, put two +1/+1 counters on a creature or Vehicle you control."
Okiba Salvage,5.0,['B'],['B'],None,['Sorcery'],None,Uncommon,NEO,None,None,None,Return target creature or Vehicle card from your graveyard to the battlefield. Then put two +1/+1 counters on that permanent if you control an artifact and an enchantment.
Okiba Reckoner Raid // Nezumi Road Captain,1.0,['B'],['B'],None,['Enchantment'],['Saga'],Common,NEO,None,None,None,"(As this Saga enters and after your draw step, add a lore counter.)\nI, II — Each opponent loses 1 life and you gain 1 life.\nIII — Exile this Saga, then return it to the battlefield transformed under your control."
A-Nezumi Prowler,2.0,['B'],['B'],None,"['Artifact', 'Creature']","['Rat', 'Ninja']",Uncommon,NEO,3,1,None,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhen Nezumi Prowler enters the battlefield, put a deathtouch counter and a lifelink counter on target creature you control."
Nezumi Prowler,2.0,['B'],['B'],None,"['Artifact', 'Creature']","['Rat', 'Ninja']",Uncommon,NEO,3,1,None,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhen Nezumi Prowler enters the battlefield, target creature you control gains deathtouch and lifelink until end of turn."
Nezumi Bladeblesser,3.0,['B'],['B'],None,['Creature'],"['Rat', 'Samurai']",Common,NEO,3,2,None,Nezumi Bladeblesser has deathtouch as long as you control an artifact.\nNezumi Bladeblesser has menace as long as you control an enchantment. (It can't be blocked except by two or more creatures.)
"A-Nashi, Moon Sage's Scion",3.0,['B'],['B'],['Legendary'],['Creature'],"['Rat', 'Ninja']",Mythic,NEO,3,2,None,"Ninjutsu {2}{B} ({2}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever Nashi, Moon Sage's Scion deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost."
Reinforced Ronin,1.0,['R'],['R'],None,"['Artifact', 'Creature']","['Human', 'Samurai']",Uncommon,NEO,2,2,None,"Haste\nAt the beginning of your end step, return Reinforced Ronin to its owner's hand.\nChannel — {1}{R}, Discard Reinforced Ronin: Draw a card."
"Nashi, Moon Sage's Scion",3.0,['B'],['B'],['Legendary'],['Creature'],"['Rat', 'Ninja']",Mythic,NEO,3,2,None,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever Nashi, Moon Sage's Scion deals combat damage to a player, exile the top card of each player's library. Until end of turn, you may play one of those cards. If you cast a spell this way, pay life equal to its mana value rather than paying its mana cost."
Mukotai Soulripper,2.0,['B'],['B'],None,['Artifact'],['Vehicle'],Rare,NEO,4,3,None,"Whenever Mukotai Soulripper attacks, you may sacrifice another artifact or creature. If you do, put a +1/+1 counter on Mukotai Soulripper and it gains menace until end of turn.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Mukotai Ambusher,4.0,['B'],['B'],None,"['Artifact', 'Creature']","['Rat', 'Ninja']",Common,NEO,3,2,None,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nLifelink"
March of Wretched Sorrow,1.0,['B'],['B'],None,['Instant'],None,Rare,NEO,None,None,None,"As an additional cost to cast this spell, you may exile any number of black cards from your hand. This spell costs {2} less to cast for each card exiled this way.\nMarch of Wretched Sorrow deals X damage to target creature or planeswalker and you gain X life."
Malicious Malfunction,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,NEO,None,None,None,"All creatures get -2/-2 until end of turn. If a creature would die this turn, exile it instead."
The Long Reach of Night // Animus of Night's Reach,4.0,['B'],['B'],None,['Enchantment'],['Saga'],Uncommon,NEO,None,None,None,"(As this Saga enters and after your draw step, add a lore counter.)\nI, II — Each opponent sacrifices a creature unless they discard a card.\nIII — Exile this Saga, then return it to the battlefield transformed under your control."
