Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Immolating Souleater,2.0,None,['R'],None,"['Artifact', 'Creature']","['Phyrexian', 'Dog']",Common,NPH,1,1,None,{R/P}: Immolating Souleater gets +1/+0 until end of turn. ({R/P} can be paid with either {R} or 2 life.)
Hovermyr,2.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Common,NPH,1,2,None,"Flying, vigilance"
Hex Parasite,1.0,None,['B'],None,"['Artifact', 'Creature']","['Phyrexian', 'Insect']",Rare,NPH,1,1,None,"{X}{B/P}: Remove up to X counters from target permanent. For each counter removed this way, Hex Parasite gets +1/+0 until end of turn. ({B/P} can be paid with either {B} or 2 life.)"
Gremlin Mine,1.0,None,None,None,['Artifact'],None,Common,NPH,None,None,None,"{1}, {T}, Sacrifice Gremlin Mine: It deals 4 damage to target artifact creature.\n{1}, {T}, Sacrifice Gremlin Mine: Remove up to four charge counters from target noncreature artifact."
Etched Monstrosity,5.0,None,"['B', 'G', 'R', 'U', 'W']",None,"['Artifact', 'Creature']","['Phyrexian', 'Golem']",Mythic,NPH,10,10,None,"Etched Monstrosity enters the battlefield with five -1/-1 counters on it.\n{W}{U}{B}{R}{G}, Remove five -1/-1 counters from Etched Monstrosity: Target player draws three cards."
Darksteel Relic,0.0,None,None,None,['Artifact'],None,Uncommon,NPH,None,None,None,"Indestructible (Effects that say ""destroy"" don't destroy this artifact.)"
Conversion Chamber,3.0,None,None,None,['Artifact'],None,Uncommon,NPH,None,None,None,"{2}, {T}: Exile target artifact card from a graveyard. Put a charge counter on Conversion Chamber.\n{2}, {T}, Remove a charge counter from Conversion Chamber: Create a 3/3 colorless Phyrexian Golem artifact creature token."
Trespassing Souleater,3.0,None,['U'],None,"['Artifact', 'Creature']","['Phyrexian', 'Construct']",Common,NPH,2,2,None,{U/P}: Trespassing Souleater can't be blocked this turn. ({U/P} can be paid with either {U} or 2 life.)
Caged Sun,6.0,None,None,None,['Artifact'],None,Rare,NPH,None,None,None,"As Caged Sun enters the battlefield, choose a color.\nCreatures you control of the chosen color get +1/+1.\nWhenever a land's ability causes you to add one or more mana of the chosen color, add one additional mana of that color."
Blinding Souleater,3.0,None,['W'],None,"['Artifact', 'Creature']","['Phyrexian', 'Cleric']",Common,NPH,1,3,None,"{W/P}, {T}: Tap target creature. ({W/P} can be paid with either {W} or 2 life.)"
Batterskull,5.0,None,None,None,['Artifact'],['Equipment'],Mythic,NPH,None,None,None,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +4/+4 and has vigilance and lifelink.\n{3}: Return Batterskull to its owner's hand.\nEquip {5}"
Alloy Myr,3.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Uncommon,NPH,2,2,None,{T}: Add one mana of any color.
"Jor Kadeen, the Prevailer",5.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,NPH,5,4,None,First strike\nMetalcraft — Creatures you control get +3/+0 as long as you control three or more artifacts.
Phyrexian Hulk,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Golem']",Common,NPH,5,4,None,None
"Vorinclex, Voice of Hunger",8.0,['G'],['G'],['Legendary'],['Creature'],"['Phyrexian', 'Praetor']",Mythic,NPH,7,6,None,"Trample\nWhenever you tap a land for mana, add one mana of any type that land produced.\nWhenever an opponent taps a land for mana, that land doesn't untap during its controller's next untap step."
Vital Splicer,4.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Human', 'Artificer']",Uncommon,NPH,1,1,None,"When Vital Splicer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token.\n{1}: Regenerate target Golem you control."
Viridian Harvest,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,NPH,None,None,None,"Enchant artifact\nWhen enchanted artifact is put into a graveyard, you gain 6 life."
