Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Tooth, Claw, and Tail",0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, destroy up to three target nonland permanents."
Surrender Your Thoughts,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, that player discards four cards. If the player chooses others, each of your other opponents discards two cards."
"Rotted Ones, Lay Siege",0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, for each opponent, create a 2/2 black Zombie creature token that attacks that player each combat if able."
Roots of All Evil,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, create five 1/1 green Saproling creature tokens."
Realms Befitting My Majesty,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
The Pieces Are Coming Together,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, draw two cards. Artifact spells you cast this turn cost {2} less to cast."
Only Blood Ends Your Nightmares,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each opponent sacrifices a creature. Then each opponent who didn't sacrifice a creature discards two cards."
Nothing Can Stop Me Now,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OARC,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nIf a source an opponent controls would deal damage to you, prevent 1 of that damage.\nAt the beginning of each end step, if you've been dealt 5 or more damage this turn, abandon this scheme."
Nature Shields Its Own,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OARC,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nWhenever a creature attacks and isn't blocked, if you're the defending player, create a 0/1 green Plant creature token that's blocking that creature.\nWhen four or more creatures attack you, abandon this scheme at end of combat."
"Dance, Pathetic Marionette",0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each opponent reveals cards from the top of their library until they reveal a creature card. Choose one of the revealed creature cards and put it onto the battlefield under your control. Put all other cards revealed this way into their owners' graveyards."
My Wish Is Your Command,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each opponent reveals their hand. You may choose a noncreature, nonland card revealed this way and cast it without paying its mana cost."
Nature Demands an Offering,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, target opponent chooses a creature you don't control and puts it on top of its owner's library, then repeats this process for an artifact, an enchantment, and a land. Then the owner of each permanent chosen this way shuffles."
My Undead Horde Awakens,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OARC,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nAt the beginning of your end step, you may put target creature card from an opponent's graveyard onto the battlefield under your control.\nWhen a creature put onto the battlefield with this scheme dies, abandon this scheme."
My Genius Knows No Bounds,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, you may pay {X}. If you do, you gain X life and draw X cards."
My Crushing Masterstroke,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, gain control of all nonland permanents your opponents control until end of turn. Untap those permanents. They gain haste until end of turn. Each of them attacks its owner this turn if able."
Mortal Flesh Is Weak,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each opponent's life total becomes the lowest life total among your opponents."
May Civilization Collapse,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, that player sacrifices two lands. If the player chooses others, each of your other opponents sacrifices a land."
Look Skyward and Despair,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, create a 5/5 red Dragon creature token with flying."
Know Naught but Fire,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, it deals damage to each opponent equal to the number of cards in that player's hand."
The Iron Guardian Stirs,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, create a 4/6 colorless Golem artifact creature token."
Introductions Are in Order,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, choose one —\n• Search your library for a creature card, reveal it, put it into your hand, then shuffle.\n• You may put a creature card from your hand onto the battlefield."
A Display of My Dark Power,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana of any type that land produced."
All Shall Smolder in My Wake,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, destroy up to one target artifact, up to one target enchantment, and up to one target nonbasic land."
Which of You Burns Brightest?,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, you may pay {X}. If you do, this scheme deals X damage to target opponent or planeswalker and each creature that player or that planeswalker's controller controls."
Ignite the Cloneforge!,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, create a token that's a copy of target permanent an opponent controls."
Into the Earthen Maw,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, exile up to one target creature with flying, up to one target creature without flying, and all cards from up to one target opponent's graveyard."
"I Know All, I See All",0.0,None,None,['Ongoing'],['Scheme'],None,Common,OARC,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nUntap all permanents you control during each opponent's untap step.\nAt the beginning of each end step, if three or more cards were put into your graveyard this turn from anywhere, abandon this scheme."
Feed the Machine,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, the player sacrifices two creatures. If the player chooses others, each of your other opponents sacrifices a creature."
I Call on the Ancient Magics,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each other player searches their library for a card, reveals it, and puts it into their hand. Then you search your library for two cards and put them into your hand. Each player shuffles."
I Delight in Your Convulsions,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each opponent loses 3 life. You gain life equal to the life lost this way."
I Bask in Your Silent Awe,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OARC,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nEach opponent can't cast more than one spell each turn.\nAt the beginning of your upkeep, if no opponent cast a spell since your last turn ended, abandon this scheme."
The Fate of the Flammable,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, this scheme deals 6 damage to that player. If the player chooses others, this scheme deals 3 damage to each of your other opponents."
Embrace My Diabolical Vision,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each player shuffles their hand and graveyard into their library. You draw seven cards, then each other player draws four cards."
Evil Comes to Fruition,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, create seven 0/1 green Plant creature tokens. If you control ten or more lands, create seven 3/3 green Elemental creature tokens instead."
Approach My Molten Realm,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, until your next turn, if a source would deal damage, it deals double that damage instead."
Every Last Vestige Shall Rot,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, you may pay {X}. If you do, put each nonland permanent target player controls with mana value X or less on the bottom of its owner's library."
Every Hope Shall Vanish,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, each opponent reveals their hand. Choose a nonland card from each of those hands. Those players discard those cards."
The Dead Shall Serve,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, for each opponent, put up to one target creature card from that player's graveyard onto the battlefield under your control. Each of those creatures attacks its owner each combat if able."
Choose Your Champion,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, target opponent chooses a player. Until your next turn, only you and the chosen player can cast spells and attack with creatures."
Your Will Is Not Your Own,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, gain control of target creature an opponent controls until end of turn. Untap that creature. It gets +3/+3 and gains trample and haste until end of turn."
Your Puny Minds Cannot Fathom,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, draw four cards. You have no maximum hand size until your next turn."
Your Fate Is Thrice Sealed,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, reveal the top three cards of your library. Put all land cards revealed this way onto the battlefield and the rest into your hand."
All in Good Time,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, take an extra turn after this one. Schemes can't be set in motion that turn."
Behold the Power of Destruction,0.0,None,None,None,['Scheme'],None,Common,OARC,None,None,None,"When you set this scheme in motion, destroy all nonland permanents target opponent controls."
The Very Soil Shall Shake,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OARC,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nCreatures you control get +2/+2 and have trample.\nWhen a creature you control dies, abandon this scheme."
