Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Thraximundar,7.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Zombie', 'Assassin']",Mythic,OC13,6,6,None,"Haste\nWhenever Thraximundar attacks, defending player sacrifices a creature.\nWhenever a player sacrifices a creature, you may put a +1/+1 counter on Thraximundar."
Shattergang Brothers,4.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Goblin', 'Artificer']",Mythic,OC13,3,3,None,"{2}{B}, Sacrifice a creature: Each other player sacrifices a creature.\n{2}{R}, Sacrifice an artifact: Each other player sacrifices an artifact.\n{2}{G}, Sacrifice an enchantment: Each other player sacrifices an enchantment."
"Gahiji, Honored One",5.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],['Beast'],Mythic,OC13,4,4,None,"Whenever a creature attacks one of your opponents or a planeswalker an opponent controls, that creature gets +2/+0 until end of turn."
"Sydri, Galvanic Genius",3.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,OC13,2,2,None,{U}: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value until end of turn.\n{W}{B}: Target artifact creature gains deathtouch and lifelink until end of turn.
"Sek'Kuar, Deathkeeper",5.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Orc', 'Shaman']",Rare,OC13,4,3,None,"Whenever another nontoken creature you control dies, create a 3/1 black and red Graveborn creature token with haste."
Sharuum the Hegemon,6.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],"['Artifact', 'Creature']",['Sphinx'],Mythic,OC13,5,5,None,"Flying\nWhen Sharuum the Hegemon enters the battlefield, you may return target artifact card from your graveyard to the battlefield."
Rubinia Soulsinger,5.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],['Faerie'],Rare,OC13,2,3,None,You may choose not to untap Rubinia Soulsinger during your untap step.\n{T}: Gain control of target creature for as long as you control Rubinia and Rubinia remains tapped.
Roon of the Hidden Realm,5.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],"['Rhino', 'Soldier']",Mythic,OC13,4,4,None,"Vigilance, trample\n{2}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step."
"Prossh, Skyraider of Kher",6.0,"['B', 'G', 'R']","['B', 'G', 'R']",['Legendary'],['Creature'],['Dragon'],Mythic,OC13,5,5,None,"When you cast this spell, create X 0/1 red Kobold creature tokens named Kobolds of Kher Keep, where X is the amount of mana spent to cast it.\nFlying\nSacrifice another creature: Prossh, Skyraider of Kher gets +1/+0 until end of turn."
"Jeleva, Nephalia's Scourge",4.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Vampire', 'Wizard']",Mythic,OC13,1,3,None,"Flying\nWhen Jeleva, Nephalia's Scourge enters the battlefield, each player exiles the top X cards of their library, where X is the amount of mana spent to cast Jeleva.\nWhenever Jeleva attacks, you may cast an instant or sorcery spell from among cards exiled with Jeleva without paying its mana cost."
"Oloro, Ageless Ascetic",6.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Giant', 'Soldier']",Mythic,OC13,4,5,None,"At the beginning of your upkeep, you gain 2 life.\nWhenever you gain life, you may pay {1}. If you do, draw a card and each opponent loses 1 life.\nAt the beginning of your upkeep, if Oloro, Ageless Ascetic is in the command zone, you gain 2 life."
"Derevi, Empyrial Tactician",3.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Creature'],"['Bird', 'Wizard']",Mythic,OC13,2,3,None,"Flying\nWhenever Derevi, Empyrial Tactician enters the battlefield or a creature you control deals combat damage to a player, you may tap or untap target permanent.\n{1}{G}{W}{U}: Put Derevi onto the battlefield from the command zone."
"Nekusar, the Mindrazer",5.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Zombie', 'Wizard']",Mythic,OC13,2,4,None,"At the beginning of each player's draw step, that player draws an additional card.\nWhenever an opponent draws a card, Nekusar, the Mindrazer deals 1 damage to that player."
Mayael the Anima,3.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Elf', 'Shaman']",Mythic,OC13,2,3,None,"{3}{R}{G}{W}, {T}: Look at the top five cards of your library. You may put a creature card with power 5 or greater from among them onto the battlefield. Put the rest on the bottom of your library in any order."
"Marath, Will of the Wild",3.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Elemental', 'Beast']",Mythic,OC13,0,0,None,"Marath, Will of the Wild enters the battlefield with a number of +1/+1 counters on it equal to the amount of mana spent to cast it.\n{X}, Remove X +1/+1 counters from Marath: Choose one —\n• Put X +1/+1 counters on target creature. X can't be 0.\n• Marath deals X damage to any target. X can't be 0.\n• Create an X/X green Elemental creature token. X can't be 0."
