Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Animar, Soul of Elements",3.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],['Elemental'],Mythic,OCMD,1,1,None,"Protection from white and from black\nWhenever you cast a creature spell, put a +1/+1 counter on Animar, Soul of Elements.\nCreature spells you cast cost {1} less to cast for each +1/+1 counter on Animar."
"Oros, the Avenger",6.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,OCMD,6,6,None,"Flying\nWhenever Oros, the Avenger deals combat damage to a player, you may pay {2}{W}. If you do, Oros deals 3 damage to each nonwhite creature."
Ruhan of the Fomori,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],"['Giant', 'Warrior']",Mythic,OCMD,7,7,None,"At the beginning of combat on your turn, choose an opponent at random. Ruhan of the Fomori attacks that player this combat if able."
"Vorosh, the Hunter",6.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],['Dragon'],Rare,OCMD,6,6,None,"Flying\nWhenever Vorosh, the Hunter deals combat damage to a player, you may pay {2}{G}. If you do, put six +1/+1 counters on Vorosh."
"Teneb, the Harvester",6.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,OCMD,6,6,None,"Flying\nWhenever Teneb, the Harvester deals combat damage to a player, you may pay {2}{B}. If you do, put target creature card from a graveyard onto the battlefield under your control."
"Intet, the Dreamer",6.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],['Dragon'],Rare,OCMD,6,6,None,"Flying\nWhenever Intet, the Dreamer deals combat damage to a player, you may pay {2}{U}. If you do, exile the top card of your library face down. You may look at that card for as long as it remains exiled. You may play that card without paying its mana cost for as long as Intet remains on the battlefield."
"Karador, Ghost Chieftain",8.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Centaur', 'Spirit']",Mythic,OCMD,3,4,None,"This spell costs {1} less to cast for each creature card in your graveyard.\nOnce during each of your turns, you may cast a creature spell from your graveyard."
"Damia, Sage of Stone",7.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Gorgon', 'Wizard']",Mythic,OCMD,4,4,None,"Deathtouch\nSkip your draw step.\nAt the beginning of your upkeep, if you have fewer than seven cards in hand, draw cards equal to the difference."
"Tariel, Reckoner of Souls",7.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,OCMD,4,7,None,"Flying, vigilance\n{T}: Choose a creature card at random from target opponent's graveyard. Put that card onto the battlefield under your control."
Zedruu the Greathearted,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],"['Minotaur', 'Monk']",Mythic,OCMD,2,4,None,"At the beginning of your upkeep, you gain X life and draw X cards, where X is the number of permanents you own that your opponents control.\n{U}{R}{W}: Target opponent gains control of target permanent you control."
"Ghave, Guru of Spores",5.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Fungus', 'Shaman']",Mythic,OCMD,0,0,None,"Ghave, Guru of Spores enters the battlefield with five +1/+1 counters on it.\n{1}, Remove a +1/+1 counter from a creature you control: Create a 1/1 green Saproling creature token.\n{1}, Sacrifice a creature: Put a +1/+1 counter on target creature."
Kaalia of the Vast,4.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Mythic,OCMD,2,2,None,"Flying\nWhenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent."
Riku of Two Reflections,5.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,OCMD,2,2,None,"Whenever you cast an instant or sorcery spell, you may pay {U}{R}. If you do, copy that spell. You may choose new targets for the copy.\nWhenever another nontoken creature enters the battlefield under your control, you may pay {G}{U}. If you do, create a token that's a copy of that creature."
The Mimeoplasm,5.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],['Ooze'],Mythic,OCMD,0,0,None,"As The Mimeoplasm enters the battlefield, you may exile two creature cards from graveyards. If you do, it enters the battlefield as a copy of one of those cards with a number of additional +1/+1 counters on it equal to the power of the other card."
"Numot, the Devastator",6.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,OCMD,6,6,None,"Flying\nWhenever Numot, the Devastator deals combat damage to a player, you may pay {2}{R}. If you do, destroy up to two target lands."
