Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Iridescent Angel,7.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Angel'],Rare,ODY,4,4,None,"Flying, protection from all colors"
Decimate,4.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,ODY,None,None,None,"Destroy target artifact, target creature, target enchantment, and target land. (You can't cast this spell unless you have legal choices for all its targets.)"
Atogatog,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Atog'],Rare,ODY,5,5,None,"Sacrifice an Atog creature: Atogatog gets +X/+X until end of turn, where X is the sacrificed creature's power."
Zoologist,4.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Rare,ODY,1,2,None,"{3}{G}, {T}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard."
Shifty Doppelganger,3.0,['U'],['U'],None,['Creature'],['Shapeshifter'],Rare,ODY,1,1,None,"{3}{U}, Exile Shifty Doppelganger: You may put a creature card from your hand onto the battlefield. If you do, that creature gains haste until end of turn. At the beginning of the next end step, sacrifice that creature. If you do, return Shifty Doppelganger to the battlefield."
Woodland Druid,1.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Common,ODY,1,2,None,None
Wild Mongrel,2.0,['G'],['G'],None,['Creature'],['Dog'],Common,ODY,2,2,None,Discard a card: Wild Mongrel gets +1/+1 and becomes the color of your choice until end of turn.
Werebear,2.0,['G'],['G'],None,['Creature'],"['Human', 'Bear', 'Druid']",Common,ODY,1,1,None,{T}: Add {G}.\nThreshold — Werebear gets +3/+3 as long as seven or more cards are in your graveyard.
Vivify,3.0,['G'],['G'],None,['Instant'],None,Uncommon,ODY,None,None,None,Target land becomes a 3/3 creature until end of turn. It's still a land.\nDraw a card.
Verdant Succession,5.0,['G'],['G'],None,['Enchantment'],None,Rare,ODY,None,None,None,"Whenever a green nontoken creature dies, that creature's controller may search their library for a card with the same name as that creature, put it onto the battlefield, then shuffle."
Twigwalker,3.0,['G'],['G'],None,['Creature'],['Insect'],Uncommon,ODY,2,2,None,"{1}{G}, Sacrifice Twigwalker: Two target creatures each get +2/+2 until end of turn."
Terravore,3.0,['G'],['G'],None,['Creature'],['Lhurgoyf'],Rare,ODY,*,*,None,Trample\nTerravore's power and toughness are each equal to the number of land cards in all graveyards.
Sylvan Might,2.0,['G'],['G'],None,['Instant'],None,Uncommon,ODY,None,None,None,Target creature gets +2/+2 and gains trample until end of turn.\nFlashback {2}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Stone-Tongue Basilisk,7.0,['G'],['G'],None,['Creature'],['Basilisk'],Rare,ODY,4,5,None,"Whenever Stone-Tongue Basilisk deals combat damage to a creature, destroy that creature at end of combat.\nThreshold — As long as seven or more cards are in your graveyard, all creatures able to block Stone-Tongue Basilisk do so."
Still Life,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,ODY,None,None,None,{G}{G}: Still Life becomes a 4/3 Centaur creature in addition to its other types until end of turn.
Squirrel Nest,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,ODY,None,None,None,"Enchant land\nEnchanted land has ""{T}: Create a 1/1 green Squirrel creature token."""
Thought Devourer,4.0,['U'],['U'],None,['Creature'],['Beast'],Rare,ODY,4,4,None,Flying\nYour maximum hand size is reduced by four.
Squirrel Mob,3.0,['G'],['G'],None,['Creature'],['Squirrel'],Rare,ODY,2,2,None,Squirrel Mob gets +1/+1 for each other Squirrel on the battlefield.
Rites of Refusal,2.0,['U'],['U'],None,['Instant'],None,Common,ODY,None,None,None,Discard any number of cards. Counter target spell unless its controller pays {3} for each card discarded this way.
Springing Tiger,4.0,['G'],['G'],None,['Creature'],['Cat'],Common,ODY,3,3,None,Threshold — Springing Tiger gets +2/+2 as long as seven or more cards are in your graveyard.
Spellbane Centaur,3.0,['G'],['G'],None,['Creature'],['Centaur'],Rare,ODY,3,2,None,Creatures you control can't be the targets of blue spells or abilities from blue sources.
Skyshooter,2.0,['G'],['G'],None,['Creature'],"['Centaur', 'Archer']",Uncommon,ODY,1,2,None,"Reach (This creature can block creatures with flying.)\n{T}, Sacrifice Skyshooter: Destroy target attacking or blocking creature with flying."
Simplify,1.0,['G'],['G'],None,['Sorcery'],None,Common,ODY,None,None,None,Each player sacrifices an enchantment.
Seton's Desire,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,ODY,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2.\nThreshold — As long as seven or more cards are in your graveyard, all creatures able to block enchanted creature do so."
"Seton, Krosan Protector",3.0,['G'],['G'],['Legendary'],['Creature'],"['Centaur', 'Druid']",Rare,ODY,2,2,None,Tap an untapped Druid you control: Add {G}.
Roar of the Wurm,7.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ODY,None,None,None,Create a 6/6 green Wurm creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Rites of Spring,2.0,['G'],['G'],None,['Sorcery'],None,Common,ODY,None,None,None,"Discard any number of cards. Search your library for up to that many basic land cards, reveal them, put them into your hand, then shuffle."
Refresh,3.0,['G'],['G'],None,['Instant'],None,Common,ODY,None,None,None,Regenerate target creature.\nDraw a card.
Rabid Elephant,5.0,['G'],['G'],None,['Creature'],['Elephant'],Common,ODY,3,4,None,"Whenever Rabid Elephant becomes blocked, it gets +2/+2 until end of turn for each creature blocking it."
Primal Frenzy,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,ODY,None,None,None,Enchant creature\nEnchanted creature has trample.
Piper's Melody,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ODY,None,None,None,Shuffle any number of target creature cards from your graveyard into your library.
Overrun,5.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ODY,None,None,None,Creatures you control get +3/+3 and gain trample until end of turn.
Nut Collector,6.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Rare,ODY,1,1,None,"At the beginning of your upkeep, you may create a 1/1 green Squirrel creature token.\nThreshold — Squirrel creatures get +2/+2 as long as seven or more cards are in your graveyard."
Nimble Mongoose,1.0,['G'],['G'],None,['Creature'],['Mongoose'],Uncommon,ODY,1,1,None,Shroud (This creature can't be the target of spells or abilities.)\nThreshold — Nimble Mongoose gets +2/+2 as long as seven or more cards are in your graveyard.
