Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Pay Tribute to Me,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, each opponent sacrifices a creature. If you control six or more lands, each opponent sacrifices another creature."
No One Will Hear Your Cries,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, each opponent chooses a creature they control, then sacrifices the rest."
Every Dream a Nightmare,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, each opponent discards a card. You draw a card for each land card discarded this way."
A Reckoning Approaches,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, look at the top six cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order."
Power Without Equal,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, draw three cards. You have no maximum hand size until your next turn. If you control six or more lands, you may cast up to three spells from your hand without paying their mana costs."
This World Belongs to Me,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, draw two cards. You may play an additional land this turn."
My Forces Are Innumerable,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OE01,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nAt the beginning of your end step, create a 3/3 black Horror creature token.\nAt the beginning of your opponents' end step, they may sacrifice two creatures. If they do, abandon this scheme."
The Mighty Will Fall,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, choose an opponent with the highest life total among your opponents. That player loses 7 life."
Make Yourself Useful,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, destroy target creature an opponent controls. If a creature is destroyed this way, you gain life equal to its toughness."
Know Evil,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, until your next turn, up to one target opponent can't attack with creatures, up to one target opponent can't cast creature spells, and up to one target opponent can't cast noncreature spells. You can't choose any player as a target more than once."
"For Each of You, a Gift",0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, for each opponent, create a 3/3 black Horror creature token that attacks that player each combat if able."
Choose Your Demise,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, look at the top four cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put the cards in that pile into your hand and the rest on the bottom of your library in any order."
There Is No Refuge,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, it deals 3 damage to up to one target creature. Create a 3/3 black Horror creature token."
My Laughter Echoes,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OE01,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nWhenever you set a non-ongoing scheme in motion, you may abandon this scheme. If you do, set that scheme in motion again."
When Will You Learn?,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, each opponent exiles the top card of their library. You may cast any number of spells from among cards exiled this way without paying their mana costs."
Bow to My Command,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OE01,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nAs you set this scheme in motion, choose an opponent.\nCreatures the chosen player controls can't attack you or planeswalkers you control.\nAt the beginning of your opponents' end step, they may tap any number of untapped creatures they control with total power 8 or greater. If they do, abandon this scheme."
What's Yours Is Now Mine,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, gain control of target creature an opponent controls and untap it."
Because I Have Willed It,0.0,None,None,['Ongoing'],['Scheme'],None,Common,OE01,None,None,None,"(An ongoing scheme remains face up until it's abandoned.)\nSpells you cast cost {1} less to cast.\nAt the beginning of your opponents' end step, if they cast four or more spells this turn, abandon this scheme."
Delight in the Hunt,0.0,None,None,None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, create a 3/3 black Horror creature token and prevent all damage that would be dealt to creatures you control this turn."
Behold My Grandeur,0.0,None,"['B', 'R', 'U']",None,['Scheme'],None,Common,OE01,None,None,None,"When you set this scheme in motion, add {U}{B}{R}.\nWhen you set this scheme in motion, if you control six or more lands, you may search your library for a card with mana value 6 or greater, reveal it, put it into your hand, then shuffle."
