Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Nissa, Voice of Zendikar",3.0,['G'],['G'],['Legendary'],['Planeswalker'],['Nissa'],Mythic,OGW,None,None,3,"[+1]: Create a 0/1 green Plant creature token.\n[−2]: Put a +1/+1 counter on each creature you control.\n[−7]: You gain X life and draw X cards, where X is the number of lands you control."
Netcaster Spider,3.0,['G'],['G'],None,['Creature'],['Spider'],Common,OGW,2,3,None,"Reach (This creature can block creatures with flying.)\nWhenever Netcaster Spider blocks a creature with flying, Netcaster Spider gets +2/+0 until end of turn."
Natural State,1.0,['G'],['G'],None,['Instant'],None,Common,OGW,None,None,None,Destroy target artifact or enchantment with mana value 3 or less.
Loam Larva,2.0,['G'],['G'],None,['Creature'],['Insect'],Common,OGW,1,3,None,"When Loam Larva enters the battlefield, you may search your library for a basic land card, reveal it, then shuffle and put that card on top."
Lead by Example,2.0,['G'],['G'],None,['Instant'],None,Common,OGW,None,None,None,Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Harvester Troll,4.0,['G'],['G'],None,['Creature'],['Troll'],Uncommon,OGW,2,3,None,"When Harvester Troll enters the battlefield, you may sacrifice a creature or land. If you do, put two +1/+1 counters on Harvester Troll."
Gladehart Cavalry,7.0,['G'],['G'],None,['Creature'],"['Elf', 'Knight']",Rare,OGW,6,6,None,"When Gladehart Cavalry enters the battlefield, support 6. (Put a +1/+1 counter on each of up to six other target creatures.)\nWhenever a creature you control with a +1/+1 counter on it dies, you gain 2 life."
Embodiment of Insight,5.0,['G'],['G'],None,['Creature'],['Elemental'],Uncommon,OGW,4,4,None,"Vigilance\nLand creatures you control have vigilance.\nLandfall — Whenever a land enters the battlefield under your control, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land."
Elemental Uprising,2.0,['G'],['G'],None,['Instant'],None,Common,OGW,None,None,None,Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land. It must be blocked this turn if able.
Canopy Gorger,6.0,['G'],['G'],None,['Creature'],['Wurm'],Common,OGW,6,5,None,None
Bonds of Mortality,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,OGW,None,None,None,"When Bonds of Mortality enters the battlefield, draw a card.\n{G}: Creatures your opponents control lose hexproof and indestructible until end of turn."
Baloth Pup,2.0,['G'],['G'],None,['Creature'],['Beast'],Uncommon,OGW,3,1,None,Baloth Pup has trample as long as it has a +1/+1 counter on it.
World Breaker,7.0,None,['G'],None,['Creature'],['Eldrazi'],Mythic,OGW,5,7,None,"Devoid (This card has no color.)\nWhen you cast this spell, exile target artifact, enchantment, or land.\nReach\n{2}{C}, Sacrifice a land: Return World Breaker from your graveyard to your hand. ({C} represents colorless mana.)"
Vile Redeemer,3.0,None,['G'],None,['Creature'],['Eldrazi'],Rare,OGW,3,3,None,"Devoid (This card has no color.)\nFlash\nWhen you cast this spell, you may pay {C}. If you do, create a 1/1 colorless Eldrazi Scion creature token for each nontoken creature that died under your control this turn. Those tokens have ""Sacrifice this creature: Add {C}."""
Stalking Drone,2.0,None,['G'],None,['Creature'],"['Eldrazi', 'Drone']",Common,OGW,2,2,None,Devoid (This card has no color.)\n{C}: Stalking Drone gets +1/+2 until end of turn. Activate only once each turn. ({C} represents colorless mana.)
Scion Summoner,3.0,None,['G'],None,['Creature'],"['Eldrazi', 'Drone']",Common,OGW,2,2,None,"Devoid (This card has no color.)\nWhen Scion Summoner enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)"
Ruin in Their Wake,2.0,None,['G'],None,['Sorcery'],None,Uncommon,OGW,None,None,None,"Devoid (This card has no color.)\nSearch your library for a basic land card and reveal it. You may put that card onto the battlefield tapped if you control a land named Wastes. Otherwise, put that card into your hand. Then shuffle."
Birthing Hulk,7.0,None,['G'],None,['Creature'],"['Eldrazi', 'Drone']",Uncommon,OGW,5,4,None,"Devoid (This card has no color.)\nWhen Birthing Hulk enters the battlefield, create two 1/1 colorless Eldrazi Scion creature tokens. They have ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)\n{1}{C}: Regenerate Birthing Hulk."
Zada's Commando,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Archer', 'Ally']",Common,OGW,2,1,None,"First strike\nCohort — {T}, Tap an untapped Ally you control: Zada's Commando deals 1 damage to target opponent or planeswalker."
Tyrant of Valakut,7.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,OGW,5,4,None,"Surge {3}{R}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nFlying\nWhen Tyrant of Valakut enters the battlefield, if its surge cost was paid, it deals 3 damage to any target."
Tears of Valakut,2.0,['R'],['R'],None,['Instant'],None,Uncommon,OGW,None,None,None,This spell can't be countered.\nTears of Valakut deals 5 damage to target creature with flying.
Sparkmage's Gambit,2.0,['R'],['R'],None,['Sorcery'],None,Common,OGW,None,None,None,Sparkmage's Gambit deals 1 damage to each of up to two target creatures. Those creatures can't block this turn.
Boulder Salvo,5.0,['R'],['R'],None,['Sorcery'],None,Common,OGW,None,None,None,Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nBoulder Salvo deals 4 damage to target creature.
Oath of Chandra,2.0,['R'],['R'],['Legendary'],['Enchantment'],None,Rare,OGW,None,None,None,"When Oath of Chandra enters the battlefield, it deals 3 damage to target creature an opponent controls.\nAt the beginning of each end step, if a planeswalker entered the battlefield under your control this turn, Oath of Chandra deals 2 damage to each opponent."
Pyromancer's Assault,4.0,['R'],['R'],None,['Enchantment'],None,Uncommon,OGW,None,None,None,"Whenever you cast your second spell each turn, Pyromancer's Assault deals 2 damage to any target."
Reckless Bushwhacker,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior', 'Ally']",Uncommon,OGW,2,1,None,"Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nHaste\nWhen Reckless Bushwhacker enters the battlefield, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn."
Press into Service,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,OGW,None,None,None,Support 2. (Put a +1/+1 counter on each of up to two target creatures.)\nGain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.
Kazuul's Toll Collector,3.0,['R'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Uncommon,OGW,3,2,None,{0}: Attach target Equipment you control to Kazuul's Toll Collector. Activate only as a sorcery.
Goblin Freerunner,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior', 'Ally']",Common,OGW,3,2,None,Surge {1}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nMenace (This creature can't be blocked except by two or more creatures.)
Goblin Dark-Dwellers,5.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,OGW,4,4,None,"Menace\nWhen Goblin Dark-Dwellers enters the battlefield, you may cast target instant or sorcery card with mana value 3 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead."
Fall of the Titans,1.0,['R'],['R'],None,['Instant'],None,Rare,OGW,None,None,None,Surge {X}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)\nFall of the Titans deals X damage to each of up to two targets.
Expedite,1.0,['R'],['R'],None,['Instant'],None,Common,OGW,None,None,None,Target creature gains haste until end of turn.\nDraw a card.
Brute Strength,2.0,['R'],['R'],None,['Instant'],None,Common,OGW,None,None,None,Target creature gets +3/+1 and gains trample until end of turn.
Embodiment of Fury,4.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,OGW,4,3,None,"Trample\nLand creatures you control have trample.\nLandfall — Whenever a land enters the battlefield under your control, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land."
Akoum Flameseeker,3.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman', 'Ally']",Common,OGW,3,2,None,"Cohort — {T}, Tap an untapped Ally you control: Discard a card. If you do, draw a card."
Devour in Flames,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,OGW,None,None,None,"As an additional cost to cast this spell, return a land you control to its owner's hand.\nDevour in Flames deals 5 damage to target creature or planeswalker."
Cinder Hellion,5.0,['R'],['R'],None,['Creature'],['Hellion'],Common,OGW,4,4,None,"Trample\nWhen Cinder Hellion enters the battlefield, it deals 2 damage to target opponent or planeswalker."
"Chandra, Flamecaller",6.0,['R'],['R'],['Legendary'],['Planeswalker'],['Chandra'],Mythic,OGW,None,None,4,"[+1]: Create two 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.\n[0]: Discard all the cards in your hand, then draw that many cards plus one.\n[−X]: Chandra, Flamecaller deals X damage to each creature."
Reality Hemorrhage,2.0,None,['R'],None,['Instant'],None,Common,OGW,None,None,None,Devoid (This card has no color.)\nReality Hemorrhage deals 2 damage to any target.
Maw of Kozilek,4.0,None,['R'],None,['Creature'],"['Eldrazi', 'Drone']",Common,OGW,2,5,None,Devoid (This card has no color.)\n{C}: Maw of Kozilek gets +2/-2 until end of turn. ({C} represents colorless mana.)
Kozilek's Return,3.0,None,['R'],None,['Instant'],None,Mythic,OGW,None,None,None,"Devoid (This card has no color.)\nKozilek's Return deals 2 damage to each creature.\nWhenever you cast an Eldrazi creature spell with mana value 7 or greater, you may exile Kozilek's Return from your graveyard. If you do, Kozilek's Return deals 5 damage to each creature."
Immobilizer Eldrazi,2.0,None,['R'],None,['Creature'],"['Eldrazi', 'Drone']",Uncommon,OGW,2,1,None,Devoid (This card has no color.)\n{2}{C}: Each creature with toughness greater than its power can't block this turn. ({C} represents colorless mana.)
Eldrazi Obligator,3.0,None,['R'],None,['Creature'],['Eldrazi'],Rare,OGW,3,1,None,"Devoid (This card has no color.)\nWhen you cast this spell, you may pay {1}{C}. If you do, gain control of target creature until end of turn, untap that creature, and it gains haste until end of turn. ({C} represents colorless mana.)\nHaste"
Eldrazi Aggressor,3.0,None,['R'],None,['Creature'],"['Eldrazi', 'Drone']",Common,OGW,2,3,None,Devoid (This card has no color.)\nEldrazi Aggressor has haste as long as you control another colorless creature.
Consuming Sinkhole,4.0,None,['R'],None,['Instant'],None,Common,OGW,None,None,None,Devoid (This card has no color.)\nChoose one —\n• Exile target land creature.\n• Consuming Sinkhole deals 4 damage to target player or planeswalker.
Zulaport Chainmage,4.0,['B'],['B'],None,['Creature'],"['Human', 'Shaman', 'Ally']",Common,OGW,4,2,None,"Cohort — {T}, Tap an untapped Ally you control: Target opponent loses 2 life."
Vampire Envoy,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Cleric', 'Ally']",Common,OGW,1,4,None,"Flying\nWhenever Vampire Envoy becomes tapped, you gain 1 life."
Untamed Hunger,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,OGW,None,None,None,Enchant creature\nEnchanted creature gets +2/+1 and has menace. (It can't be blocked except by two or more creatures.)
Tar Snare,3.0,['B'],['B'],None,['Instant'],None,Common,OGW,None,None,None,Target creature gets -3/-2 until end of turn.
Remorseless Punishment,5.0,['B'],['B'],None,['Sorcery'],None,Rare,OGW,None,None,None,Target opponent loses 5 life unless that player discards two cards or sacrifices a creature or planeswalker. Repeat this process once.
Null Caller,4.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Uncommon,OGW,2,4,None,"{3}{B}, Exile a creature card from your graveyard: Create a tapped 2/2 black Zombie creature token."
