Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Squirrel Farm,3.0,['G'],['G'],None,['Enchantment'],None,Rare,OLEP,None,None,None,"{1}{G}: Reveal a card in your hand, covering the artist credit. Target opponent guesses the artist. If they guess wrong, create a 1/1 green Squirrel creature token."
Mirror Mirror,7.0,None,None,None,['Artifact'],None,Rare,OLEP,None,None,None,"Mirror Mirror enters the battlefield tapped.\n{7}, {T}, Sacrifice Mirror Mirror: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyards."
Blacker Lotus,0.0,None,None,None,['Artifact'],None,Rare,OLEP,None,None,None,{T}: Tear Blacker Lotus into pieces. Add four mana of any one color. Remove the pieces from the game.
Disenchant,2.0,['W'],['W'],None,['Instant'],None,Rare,OLEP,None,None,None,Destroy target artifact or enchantment.
Swords to Plowshares,1.0,['W'],['W'],None,['Instant'],None,Rare,OLEP,None,None,None,Exile target creature. Its controller gains life equal to its power.
Incinerate,2.0,['R'],['R'],None,['Instant'],None,Rare,OLEP,None,None,None,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
All Hallow's Eve,4.0,['B'],['B'],None,['Sorcery'],None,Rare,OLEP,None,None,None,"Exile All Hallow's Eve with two scream counters on it.\nAt the beginning of your upkeep, if All Hallow's Eve is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from their graveyard to the battlefield."
Sibilant Spirit,6.0,['U'],['U'],None,['Creature'],['Spirit'],Rare,OLEP,5,6,None,"Flying\nWhenever Sibilant Spirit attacks, defending player may draw a card."
Enduring Renewal,4.0,['W'],['W'],None,['Enchantment'],None,Rare,OLEP,None,None,None,"Play with your hand revealed.\nIf you would draw a card, reveal the top card of your library instead. If it's a creature card, put it into your graveyard. Otherwise, draw a card.\nWhenever a creature is put into your graveyard from the battlefield, return it to your hand."
Greater Realm of Preservation,2.0,['W'],['W'],None,['Enchantment'],None,Rare,OLEP,None,None,None,"{1}{W}: The next time a black or red source of your choice would deal damage to you this turn, prevent that damage."
Baron Sengir,8.0,['B'],['B'],['Legendary'],['Creature'],"['Vampire', 'Noble']",Rare,OLEP,5,5,None,"Flying\nWhenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.\n{T}: Regenerate another target Vampire."
Recall,1.0,['U'],['U'],None,['Sorcery'],None,Rare,OLEP,None,None,None,"Discard X cards, then return a card from your graveyard to your hand for each card discarded this way. Exile Recall."
Nether Shadow,2.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,OLEP,1,1,None,"Haste\nAt the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield."
Personal Incarnation,6.0,['W'],['W'],None,['Creature'],"['Avatar', 'Incarnation']",Rare,OLEP,6,6,None,"{0}: The next 1 damage that would be dealt to Personal Incarnation this turn is dealt to its owner instead. Only Personal Incarnation's owner may activate this ability.\nWhen Personal Incarnation dies, its owner loses half their life, rounded up."
Earthquake,1.0,['R'],['R'],None,['Sorcery'],None,Rare,OLEP,None,None,None,Earthquake deals X damage to each creature without flying and each player.
Black Knight,2.0,['B'],['B'],None,['Creature'],"['Human', 'Knight']",Rare,OLEP,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)"
Deflection,4.0,['U'],['U'],None,['Instant'],None,Rare,OLEP,None,None,None,Change the target of target spell with a single target.
Zuran Orb,0.0,None,None,None,['Artifact'],None,Rare,OLEP,None,None,None,Sacrifice a land: You gain 2 life.
Blinking Spirit,4.0,['W'],['W'],None,['Creature'],['Spirit'],Rare,OLEP,2,2,None,{0}: Return Blinking Spirit to its owner's hand.
Adarkar Wastes,0.0,None,"['U', 'W']",None,['Land'],None,Rare,OLEP,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.
Lhurgoyf,4.0,['G'],['G'],None,['Creature'],['Lhurgoyf'],Rare,OLEP,*,1+*,None,Lhurgoyf's power is equal to the number of creature cards in all graveyards and its toughness is equal to that number plus 1.
Guardian Beast,4.0,['B'],['B'],None,['Creature'],['Beast'],Rare,OLEP,2,4,None,"As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts."
Ivory Tower,1.0,None,None,None,['Artifact'],None,Rare,OLEP,None,None,None,"At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4."
Shatterstorm,4.0,['R'],['R'],None,['Sorcery'],None,Rare,OLEP,None,None,None,Destroy all artifacts. They can't be regenerated.
Necropotence,3.0,['B'],['B'],None,['Enchantment'],None,Rare,OLEP,None,None,None,"Skip your draw step.\nWhenever you discard a card, exile that card from your graveyard.\nPay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step."
Autumn Willow,6.0,['G'],['G'],['Legendary'],['Creature'],['Avatar'],Rare,OLEP,4,4,None,"Shroud (This creature can't be the target of spells or abilities.)\n{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud."
City of Brass,0.0,None,None,None,['Land'],None,Rare,OLEP,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Rare,OLEP,None,None,None,({T}: Add {U}.)
Mirror Universe,6.0,None,None,None,['Artifact'],None,Rare,OLEP,None,None,None,"{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate only during your upkeep."
Balance,2.0,['W'],['W'],None,['Sorcery'],None,Rare,OLEP,None,None,None,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way."
Sol'kanar the Swamp King,5.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],['Demon'],Rare,OLEP,5,5,None,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\nWhenever a player casts a black spell, you gain 1 life."
Fallen Angel,5.0,['B'],['B'],None,['Creature'],['Angel'],Rare,OLEP,3,3,None,Flying\nSacrifice a creature: Fallen Angel gets +2/+1 until end of turn.
Vesuvan Doppelganger,5.0,['U'],['U'],None,['Creature'],['Shapeshifter'],Rare,OLEP,0,0,None,"You may have Vesuvan Doppelganger enter the battlefield as a copy of any creature on the battlefield, except it doesn't copy that creature's color and it has ""At the beginning of your upkeep, you may have this creature become a copy of target creature, except it doesn't copy that creature's color and it has this ability."""
