Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Tabernacle at Pendrell Vale,0.0,None,None,['Legendary'],['Land'],None,Special,OLGC,None,None,None,"All creatures have ""At the beginning of your upkeep, destroy this creature unless you pay {1}."""
Sylvan Library,2.0,['G'],['G'],None,['Enchantment'],None,Mythic,OLGC,None,None,None,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library."
Maze of Ith,0.0,None,None,None,['Land'],None,Mythic,OLGC,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Brainstorm,1.0,['U'],['U'],None,['Instant'],None,Rare,OLGC,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Bayou,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Special,OLGC,None,None,None,({T}: Add {B} or {G}.)
Karakas,0.0,None,['W'],['Legendary'],['Land'],None,Mythic,OLGC,None,None,None,{T}: Add {W}.\n{T}: Return target legendary creature to its owner's hand.
Tropical Island,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Mythic,OLGC,None,None,None,({T}: Add {G} or {U}.)
City of Traitors,0.0,None,None,None,['Land'],None,Special,OLGC,None,None,None,"When you play another land, sacrifice City of Traitors.\n{T}: Add {C}{C}."
Rishadan Port,0.0,None,None,None,['Land'],None,Mythic,OLGC,None,None,None,"{T}: Add {C}.\n{1}, {T}: Tap target land."
Volcanic Island,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Special,OLGC,None,None,None,({T}: Add {U} or {R}.)
Plateau,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Special,OLGC,None,None,None,({T}: Add {R} or {W}.)
Scrubland,0.0,None,"['B', 'W']",None,['Land'],"['Plains', 'Swamp']",Special,OLGC,None,None,None,({T}: Add {W} or {B}.)
Savannah,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Special,OLGC,None,None,None,({T}: Add {G} or {W}.)
Taiga,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Special,OLGC,None,None,None,({T}: Add {R} or {G}.)
Wasteland,0.0,None,None,None,['Land'],None,Uncommon,OLGC,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Wasteland: Destroy target nonbasic land."
Badlands,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Special,OLGC,None,None,None,({T}: Add {B} or {R}.)
Force of Will,5.0,['U'],['U'],None,['Instant'],None,Rare,OLGC,None,None,None,You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.\nCounter target spell.
Underground Sea,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Special,OLGC,None,None,None,({T}: Add {U} or {B}.)
Tundra,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Special,OLGC,None,None,None,({T}: Add {W} or {U}.)
Gaea's Cradle,0.0,None,['G'],['Legendary'],['Land'],None,Special,OLGC,None,None,None,{T}: Add {G} for each creature you control.
