Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Windbrisk Heights,0.0,None,['W'],None,['Land'],None,Rare,ONC,None,None,None,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\nWindbrisk Heights enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn."
Temple of Triumph,0.0,None,"['R', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"Temple of Triumph enters the battlefield tapped.\nWhen Temple of Triumph enters the battlefield, scry 1.\n{T}: Add {R} or {W}."
Temple of the False God,0.0,None,None,None,['Land'],None,Uncommon,ONC,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Temple of Silence,0.0,None,"['B', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"Temple of Silence enters the battlefield tapped.\nWhen Temple of Silence enters the battlefield, scry 1.\n{T}: Add {W} or {B}."
Temple of Plenty,0.0,None,"['G', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"Temple of Plenty enters the battlefield tapped.\nWhen Temple of Plenty enters the battlefield, scry 1.\n{T}: Add {G} or {W}."
Temple of Malady,0.0,None,"['B', 'G']",None,['Land'],None,Rare,ONC,None,None,None,"Temple of Malady enters the battlefield tapped.\nWhen Temple of Malady enters the battlefield, scry 1.\n{T}: Add {B} or {G}."
Tainted Wood,0.0,None,"['B', 'G']",None,['Land'],None,Uncommon,ONC,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Activate only if you control a Swamp.
Tainted Field,0.0,None,"['B', 'W']",None,['Land'],None,Uncommon,ONC,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Activate only if you control a Swamp.
Sungrass Prairie,0.0,None,"['G', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"{1}, {T}: Add {G}{W}."
Slayers' Stronghold,0.0,None,"['R', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"{T}: Add {C}.\n{R}{W}, {T}: Target creature gets +2/+0 and gains vigilance and haste until end of turn."
Shineshadow Snarl,0.0,None,"['B', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"As Shineshadow Snarl enters the battlefield, you may reveal a Plains or Swamp card from your hand. If you don't, Shineshadow Snarl enters the battlefield tapped.\n{T}: Add {W} or {B}."
Secluded Steppe,0.0,None,['W'],None,['Land'],None,Uncommon,ONC,None,None,None,"Secluded Steppe enters the battlefield tapped.\n{T}: Add {W}.\nCycling {W} ({W}, Discard this card: Draw a card.)"
Sandsteppe Citadel,0.0,None,"['B', 'G', 'W']",None,['Land'],None,Uncommon,ONC,None,None,None,"Sandsteppe Citadel enters the battlefield tapped.\n{T}: Add {W}, {B}, or {G}."
Path of Ancestry,0.0,None,None,None,['Land'],None,Common,ONC,None,None,None,"Path of Ancestry enters the battlefield tapped.\n{T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)"
Necroblossom Snarl,0.0,None,"['B', 'G']",None,['Land'],None,Rare,ONC,None,None,None,"As Necroblossom Snarl enters the battlefield, you may reveal a Swamp or Forest card from your hand. If you don't, Necroblossom Snarl enters the battlefield tapped.\n{T}: Add {B} or {G}."
Myriad Landscape,0.0,None,None,None,['Land'],None,Uncommon,ONC,None,None,None,"Myriad Landscape enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle."
Phyresis Outbreak,3.0,['B'],['B'],None,['Sorcery'],None,Rare,ONC,None,None,None,Each opponent gets a poison counter. Then each creature your opponents control gets -1/-1 until end of turn for each poison counter its controller has.
Krosan Verge,0.0,None,None,None,['Land'],None,Uncommon,ONC,None,None,None,"Krosan Verge enters the battlefield tapped.\n{T}: Add {C}.\n{2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle."
Kher Keep,0.0,None,['R'],['Legendary'],['Land'],None,Rare,ONC,None,None,None,"{T}: Add {C}.\n{1}{R}, {T}: Create a 0/1 red Kobold creature token named Kobolds of Kher Keep."
Karn's Bastion,0.0,None,None,None,['Land'],None,Rare,ONC,None,None,None,"{T}: Add {C}.\n{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Furycalm Snarl,0.0,None,"['R', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"As Furycalm Snarl enters the battlefield, you may reveal a Mountain or Plains card from your hand. If you don't, Furycalm Snarl enters the battlefield tapped.\n{T}: Add {R} or {W}."
Fortified Village,0.0,None,"['G', 'W']",None,['Land'],None,Rare,ONC,None,None,None,"As Fortified Village enters the battlefield, you may reveal a Forest or Plains card from your hand. If you don't, Fortified Village enters the battlefield tapped.\n{T}: Add {G} or {W}."
Forgotten Cave,0.0,None,['R'],None,['Land'],None,Uncommon,ONC,None,None,None,"Forgotten Cave enters the battlefield tapped.\n{T}: Add {R}.\nCycling {R} ({R}, Discard this card: Draw a card.)"
Exotic Orchard,0.0,None,None,None,['Land'],None,Rare,ONC,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
Command Tower,0.0,None,None,None,['Land'],None,Common,ONC,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Castle Embereth,0.0,None,['R'],None,['Land'],None,Rare,ONC,None,None,None,"Castle Embereth enters the battlefield tapped unless you control a Mountain.\n{T}: Add {R}.\n{1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn."
Castle Ardenvale,0.0,None,['W'],None,['Land'],None,Rare,ONC,None,None,None,"Castle Ardenvale enters the battlefield tapped unless you control a Plains.\n{T}: Add {W}.\n{2}{W}{W}, {T}: Create a 1/1 white Human creature token."
Canopy Vista,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,ONC,None,None,None,({T}: Add {G} or {W}.)\nCanopy Vista enters the battlefield tapped unless you control two or more basic lands.
Buried Ruin,0.0,None,None,None,['Land'],None,Uncommon,ONC,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice Buried Ruin: Return target artifact card from your graveyard to your hand."
Boros Garrison,0.0,None,"['R', 'W']",None,['Land'],None,Uncommon,ONC,None,None,None,"Boros Garrison enters the battlefield tapped.\nWhen Boros Garrison enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {R}{W}."
Bojuka Bog,0.0,None,['B'],None,['Land'],None,Common,ONC,None,None,None,"Bojuka Bog enters the battlefield tapped.\nWhen Bojuka Bog enters the battlefield, exile target player's graveyard.\n{T}: Add {B}."
Trailblazer's Boots,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,ONC,None,None,None,Equipped creature has nonbasic landwalk. (It can't be blocked as long as defending player controls a nonbasic land.)\nEquip {2}
Talisman of Conviction,2.0,None,"['R', 'W']",None,['Artifact'],None,Uncommon,ONC,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {W}. Talisman of Conviction deals 1 damage to you.
Soul-Guide Lantern,1.0,None,None,None,['Artifact'],None,Uncommon,ONC,None,None,None,"When Soul-Guide Lantern enters the battlefield, exile target card from a graveyard.\n{T}, Sacrifice Soul-Guide Lantern: Exile each opponent's graveyard.\n{1}, {T}, Sacrifice Soul-Guide Lantern: Draw a card."
