Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Annihilating Glare,1.0,['B'],['B'],None,['Sorcery'],None,Common,ONE,None,None,None,"As an additional cost to cast this spell, pay {4} or sacrifice an artifact or creature.\nDestroy target creature or planeswalker."
Ambulatory Edifice,3.0,['B'],['B'],None,"['Artifact', 'Creature']","['Phyrexian', 'Construct']",Uncommon,ONE,3,2,None,"When Ambulatory Edifice enters the battlefield, you may pay 2 life. When you do, target creature gets -1/-1 until end of turn."
Watchful Blisterzoa,6.0,['U'],['U'],None,['Creature'],"['Phyrexian', 'Jellyfish']",Uncommon,ONE,4,4,None,"Flying\nWatchful Blisterzoa enters the battlefield with an oil counter on it.\nWhen Watchful Blisterzoa dies, draw cards equal to the number of oil counters on it."
Vivisurgeon's Insight,5.0,['U'],['U'],None,['Sorcery'],None,Common,ONE,None,None,None,"Draw three cards. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Unctus's Retrofitter,3.0,['U'],['U'],None,['Creature'],"['Phyrexian', 'Artificer']",Uncommon,ONE,2,3,None,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\nWhen Unctus's Retrofitter enters the battlefield, up to one target artifact you control becomes an artifact creature with base power and toughness 4/4 for as long as Unctus's Retrofitter remains on the battlefield."
"Unctus, Grand Metatect",3.0,['U'],['U'],['Legendary'],"['Artifact', 'Creature']","['Phyrexian', 'Vedalken']",Rare,ONE,2,4,None,"Other blue creatures you control have ""Whenever this creature becomes tapped, draw a card, then discard a card.""\nOther artifact creatures you control get +1/+1.\n{U/P}: Until end of turn, target creature you control becomes a blue artifact in addition to its other colors and types. Activate only as a sorcery. ({U/P} can be paid with either {U} or 2 life.)"
Trawler Drake,3.0,['U'],['U'],None,['Creature'],"['Phyrexian', 'Drake']",Uncommon,ONE,0,0,None,"Flying\nTrawler Drake enters the battlefield with an oil counter on it.\nTrawler Drake gets +1/+1 for each oil counter on it.\nWhenever you cast a noncreature spell, put an oil counter on Trawler Drake."
Voidwing Hybrid,2.0,"['B', 'U']","['B', 'U']",None,['Creature'],"['Phyrexian', 'Bat']",Uncommon,ONE,2,1,None,"Flying\nToxic 1 (Players dealt combat damage by this creature also get a poison counter.)\nWhen you proliferate, return Voidwing Hybrid from your graveyard to your hand."
Transplant Theorist,4.0,['U'],['U'],None,"['Artifact', 'Creature']","['Phyrexian', 'Artificer']",Uncommon,ONE,2,4,None,"Whenever Transplant Theorist or another artifact enters the battlefield under your control, you may draw a card. If you do, discard a card.\n{2}: Put target card from your graveyard on the bottom of your library."
Branchblight Stalker,2.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Elf', 'Scout']",Common,ONE,3,1,None,Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)
Thrummingbird,2.0,['U'],['U'],None,['Creature'],"['Phyrexian', 'Bird', 'Horror']",Uncommon,ONE,1,1,None,"Flying\nWhenever Thrummingbird deals combat damage to a player, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Bloated Contaminator,3.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Beast']",Rare,ONE,4,4,None,"Trample\nToxic 1 (Players dealt combat damage by this creature also get a poison counter.)\nWhenever Bloated Contaminator deals combat damage to a player, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
"Tekuthal, Inquiry Dominus",4.0,['U'],['U'],['Legendary'],['Creature'],"['Phyrexian', 'Horror']",Mythic,ONE,3,5,None,"Flying\nIf you would proliferate, proliferate twice instead.\n{1}{U/P}{U/P}, Remove three counters from among other artifacts, creatures, and planeswalkers you control: Put an indestructible counter on Tekuthal, Inquiry Dominus. ({U/P} can be paid with either {U} or 2 life.)"
Armored Scrapgorger,2.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Beast']",Uncommon,ONE,0,3,None,"Armored Scrapgorger gets +3/+0 as long as it has three or more oil counters on it.\n{T}: Add one mana of any color.\nWhenever Armored Scrapgorger becomes tapped, exile target card from a graveyard and put an oil counter on Armored Scrapgorger."
Tamiyo's Logbook,3.0,['U'],['U'],None,['Artifact'],None,Uncommon,ONE,None,None,None,"{5}{U}, {T}: Draw a card. This ability costs {1} less to activate for each other artifact you control."
Adaptive Sporesinger,3.0,['G'],['G'],None,['Creature'],"['Phyrexian', 'Druid']",Common,ONE,2,2,None,"Vigilance\nWhen Adaptive Sporesinger enters the battlefield, choose one —\n• Target creature gets +2/+2 and gains vigilance until end of turn.\n• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Tamiyo's Immobilizer,4.0,['U'],['U'],None,['Artifact'],None,Uncommon,ONE,None,None,None,"Tamiyo's Immobilizer enters the battlefield with four oil counters on it.\n{T}, Remove an oil counter from Tamiyo's Immobilizer: Tap target artifact or creature."
Vulshok Splitter,4.0,['R'],['R'],None,['Artifact'],['Equipment'],Common,ONE,None,None,None,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)\nEquipped creature gets +2/+0.\nEquip {2}{R} ({2}{R}: Attach to target creature you control. Equip only as a sorcery.)"
