Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Riptide Chronologist,5.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,ONS,1,3,None,"{U}, Sacrifice Riptide Chronologist: Untap all creatures of the creature type of your choice."
Riptide Biologist,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,ONS,1,2,None,Protection from Beasts\nMorph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Read the Runes,1.0,['U'],['U'],None,['Instant'],None,Rare,ONS,None,None,None,"Draw X cards. For each card drawn this way, discard a card unless you sacrifice a permanent."
Mistform Wall,3.0,['U'],['U'],None,['Creature'],"['Illusion', 'Wall']",Common,ONS,1,4,None,Mistform Wall has defender as long as it's a Wall.\n{1}: Mistform Wall becomes the creature type of your choice until end of turn.
Mistform Skyreaver,7.0,['U'],['U'],None,['Creature'],['Illusion'],Rare,ONS,6,6,None,Flying\n{1}: Mistform Skyreaver becomes the creature type of your choice until end of turn.
Mistform Mutant,6.0,['U'],['U'],None,['Creature'],"['Illusion', 'Mutant']",Uncommon,ONS,3,4,None,{1}{U}: Choose a creature type other than Wall. Target creature becomes that type until end of turn.
Mistform Mask,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,ONS,None,None,None,Enchant creature\n{1}: Enchanted creature becomes the creature type of your choice until end of turn.
Mistform Dreamer,3.0,['U'],['U'],None,['Creature'],['Illusion'],Common,ONS,2,1,None,Flying\n{1}: Mistform Dreamer becomes the creature type of your choice until end of turn.
Mage's Guile,2.0,['U'],['U'],None,['Instant'],None,Common,ONS,None,None,None,"Target creature gains shroud until end of turn. (It can't be the target of spells or abilities.)\nCycling {U} ({U}, Discard this card: Draw a card.)"
"Ixidor, Reality Sculptor",5.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,ONS,3,4,None,Face-down creatures get +1/+1.\n{2}{U}: Turn target face-down creature face up.
Imagecrafter,1.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,ONS,1,1,None,{T}: Choose a creature type other than Wall. Target creature becomes that type until end of turn.
Graxiplon,6.0,['U'],['U'],None,['Creature'],['Beast'],Uncommon,ONS,3,4,None,Graxiplon can't be blocked unless defending player controls three or more creatures that share a creature type.
Future Sight,5.0,['U'],['U'],None,['Enchantment'],None,Rare,ONS,None,None,None,Play with the top card of your library revealed.\nYou may play lands and cast spells from the top of your library.
Fleeting Aven,3.0,['U'],['U'],None,['Creature'],"['Bird', 'Wizard']",Uncommon,ONS,2,2,None,"Flying\nWhenever a player cycles a card, return Fleeting Aven to its owner's hand."
Essence Fracture,5.0,['U'],['U'],None,['Sorcery'],None,Uncommon,ONS,None,None,None,"Return two target creatures to their owners' hands.\nCycling {2}{U} ({2}{U}, Discard this card: Draw a card.)"
Disruptive Pitmage,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,ONS,1,1,None,{T}: Counter target spell unless its controller pays {1}.\nMorph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Discombobulate,4.0,['U'],['U'],None,['Instant'],None,Uncommon,ONS,None,None,None,"Counter target spell. Look at the top four cards of your library, then put them back in any order."
Crafty Pathmage,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,ONS,1,1,None,{T}: Target creature with power 2 or less can't be blocked this turn.
Clone,4.0,['U'],['U'],None,['Creature'],['Shapeshifter'],Rare,ONS,0,0,None,You may have Clone enter the battlefield as a copy of any creature on the battlefield.
Chain of Vapor,1.0,['U'],['U'],None,['Instant'],None,Uncommon,ONS,None,None,None,"Return target nonland permanent to its owner's hand. Then that permanent's controller may sacrifice a land. If the player does, they may copy this spell and may choose a new target for that copy."
Blatant Thievery,7.0,['U'],['U'],None,['Sorcery'],None,Rare,ONS,None,None,None,"For each opponent, gain control of target permanent that player controls."
Aven Fateshaper,7.0,['U'],['U'],None,['Creature'],"['Bird', 'Wizard']",Uncommon,ONS,4,5,None,"Flying\nWhen Aven Fateshaper enters the battlefield, look at the top four cards of your library, then put them back in any order.\n{4}{U}: Look at the top four cards of your library, then put them back in any order."
Artificial Evolution,1.0,['U'],['U'],None,['Instant'],None,Rare,ONS,None,None,None,Change the text of target spell or permanent by replacing all instances of one creature type with another. The new creature type can't be Wall. (This effect lasts indefinitely.)
Annex,4.0,['U'],['U'],None,['Enchantment'],['Aura'],Uncommon,ONS,None,None,None,Enchant land (Target a land as you cast this. This card enters the battlefield attached to that land.)\nYou control enchanted land.
Words of Worship,3.0,['W'],['W'],None,['Enchantment'],None,Rare,ONS,None,None,None,"{1}: The next time you would draw a card this turn, you gain 5 life instead."
Weathered Wayfarer,1.0,['W'],['W'],None,['Creature'],"['Human', 'Nomad', 'Cleric']",Rare,ONS,1,1,None,"{W}, {T}: Search your library for a land card, reveal it, put it into your hand, then shuffle. Activate only if an opponent controls more lands than you."
True Believer,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,ONS,2,2,None,You have shroud. (You can't be the target of spells or abilities.)
Sigil of the New Dawn,4.0,['W'],['W'],None,['Enchantment'],None,Rare,ONS,None,None,None,"Whenever a creature is put into your graveyard from the battlefield, you may pay {1}{W}. If you do, return that card to your hand."
Shared Triumph,2.0,['W'],['W'],None,['Enchantment'],None,Rare,ONS,None,None,None,"As Shared Triumph enters the battlefield, choose a creature type.\nCreatures of the chosen type get +1/+1."
Righteous Cause,5.0,['W'],['W'],None,['Enchantment'],None,Uncommon,ONS,None,None,None,"Whenever a creature attacks, you gain 1 life."
Renewed Faith,3.0,['W'],['W'],None,['Instant'],None,Common,ONS,None,None,None,"You gain 6 life.\nCycling {1}{W} ({1}{W}, Discard this card: Draw a card.)\nWhen you cycle Renewed Faith, you may gain 2 life."
Piety Charm,1.0,['W'],['W'],None,['Instant'],None,Common,ONS,None,None,None,Choose one —\n• Destroy target Aura attached to a creature.\n• Target Soldier creature gets +2/+2 until end of turn.\n• Creatures you control gain vigilance until end of turn.
Pacifism,2.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,ONS,None,None,None,Enchant creature\nEnchanted creature can't attack or block.
Nova Cleric,1.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,ONS,1,2,None,"{2}{W}, {T}, Sacrifice Nova Cleric: Destroy all enchantments."
"Jareth, Leonine Titan",6.0,['W'],['W'],['Legendary'],['Creature'],"['Cat', 'Giant']",Rare,ONS,4,7,None,"Whenever Jareth, Leonine Titan blocks, it gets +7/+7 until end of turn.\n{W}: Jareth gains protection from the color of your choice until end of turn."
Inspirit,3.0,['W'],['W'],None,['Instant'],None,Uncommon,ONS,None,None,None,Untap target creature. It gets +2/+4 until end of turn.
Harsh Mercy,3.0,['W'],['W'],None,['Sorcery'],None,Rare,ONS,None,None,None,Each player chooses a creature type. Destroy all creatures that aren't of a type chosen this way. They can't be regenerated.
Gustcloak Savior,5.0,['W'],['W'],None,['Creature'],"['Bird', 'Soldier']",Rare,ONS,3,4,None,"Flying\nWhenever a creature you control becomes blocked, you may untap that creature and remove it from combat."
Gustcloak Harrier,3.0,['W'],['W'],None,['Creature'],"['Bird', 'Soldier']",Common,ONS,2,2,None,"Flying\nWhenever Gustcloak Harrier becomes blocked, you may untap it and remove it from combat."
Grassland Crusader,6.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric', 'Soldier']",Common,ONS,2,4,None,{T}: Target Elf or Soldier creature gets +2/+2 until end of turn.
Glarecaster,6.0,['W'],['W'],None,['Creature'],"['Bird', 'Cleric']",Rare,ONS,3,3,None,"Flying\n{5}{W}: The next time damage would be dealt to Glarecaster and/or you this turn, that damage is dealt to any target instead."
Exalted Angel,6.0,['W'],['W'],None,['Creature'],['Angel'],Rare,ONS,4,5,None,"Flying\nWhenever Exalted Angel deals damage, you gain that much life.\nMorph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Doubtless One,4.0,['W'],['W'],None,['Creature'],"['Cleric', 'Avatar']",Uncommon,ONS,*,*,None,"Doubtless One's power and toughness are each equal to the number of Clerics on the battlefield.\nWhenever Doubtless One deals damage, you gain that much life."
Disciple of Grace,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,ONS,1,2,None,"Protection from black\nCycling {2} ({2}, Discard this card: Draw a card.)"
Defensive Maneuvers,4.0,['W'],['W'],None,['Instant'],None,Common,ONS,None,None,None,Creatures of the creature type of your choice get +0/+4 until end of turn.
Daru Lancer,6.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,ONS,3,4,None,First strike\nMorph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Daru Cavalier,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,ONS,2,2,None,"First strike\nWhen Daru Cavalier enters the battlefield, you may search your library for a card named Daru Cavalier, reveal it, put it into your hand, then shuffle."
Akroma's Vengeance,6.0,['W'],['W'],None,['Sorcery'],None,Rare,ONS,None,None,None,"Destroy all artifacts, creatures, and enchantments.\nCycling {3} ({3}, Discard this card: Draw a card.)"
Crowd Favorites,7.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,ONS,4,4,None,{3}{W}: Tap target creature.\n{3}{W}: Crowd Favorites gets +0/+5 until end of turn.
Crown of Awe,2.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,ONS,None,None,None,Enchant creature\nEnchanted creature has protection from black and from red.\nSacrifice Crown of Awe: Enchanted creature and other creatures that share a creature type with it gain protection from black and from red until end of turn.
Chain of Silence,2.0,['W'],['W'],None,['Instant'],None,Uncommon,ONS,None,None,None,"Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, they may copy this spell and may choose a new target for that copy."
Catapult Master,5.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,ONS,3,3,None,Tap five untapped Soldiers you control: Exile target creature.
Aven Soulgazer,5.0,['W'],['W'],None,['Creature'],"['Bird', 'Cleric']",Uncommon,ONS,3,3,None,Flying\n{2}{W}: Look at target face-down creature.
Astral Slide,3.0,['W'],['W'],None,['Enchantment'],None,Uncommon,ONS,None,None,None,"Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step."
Aura Extraction,2.0,['W'],['W'],None,['Instant'],None,Uncommon,ONS,None,None,None,"Put target enchantment on top of its owner's library.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Fade from Memory,1.0,['B'],['B'],None,['Instant'],None,Uncommon,ONS,None,None,None,"Exile target card from a graveyard.\nCycling {B} ({B}, Discard this card: Draw a card.)"
Entrails Feaster,1.0,['B'],['B'],None,['Creature'],"['Zombie', 'Cat']",Rare,ONS,1,1,None,"At the beginning of your upkeep, you may exile a creature card from a graveyard. If you do, put a +1/+1 counter on Entrails Feaster. If you don't, tap Entrails Feaster."
Endemic Plague,4.0,['B'],['B'],None,['Sorcery'],None,Rare,ONS,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nDestroy all creatures that share a creature type with the sacrificed creature. They can't be regenerated."
Ebonblade Reaper,3.0,['B'],['B'],None,['Creature'],"['Human', 'Cleric']",Rare,ONS,1,1,None,"Whenever Ebonblade Reaper attacks, you lose half your life, rounded up.\nWhenever Ebonblade Reaper deals combat damage to a player, that player loses half their life, rounded up.\nMorph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
