Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Takenuma,0.0,None,None,None,['Plane'],['Kamigawa'],Common,OPC2,None,None,None,"Whenever a creature leaves the battlefield, its controller draws a card.\nWhenever chaos ensues, return target creature you control to its owner's hand."
Glen Elendra,0.0,None,None,None,['Plane'],['Lorwyn'],Common,OPC2,None,None,None,"At end of combat, you may exchange control of target creature you control that dealt combat damage to a player this combat and target creature that player controls.\nWhenever chaos ensues, gain control of target creature you own."
Grand Ossuary,0.0,None,None,None,['Plane'],['Ravnica'],Common,OPC2,None,None,None,"Whenever a creature dies, its controller distributes a number of +1/+1 counters equal to its power among any number of target creatures they control.\nWhenever chaos ensues, each player exiles all creatures they control and creates X 1/1 green Saproling creature tokens, where X is the total power of the creatures they exiled this way. Then planeswalk."
Mutual Epiphany,0.0,None,None,None,['Phenomenon'],None,Common,OPC2,None,None,None,"When you encounter Mutual Epiphany, each player draws four cards. (Then planeswalk away from this phenomenon.)"
Gavony,0.0,None,None,None,['Plane'],['Innistrad'],Common,OPC2,None,None,None,"All creatures have vigilance.\nWhenever chaos ensues, creatures you control gain indestructible until end of turn."
Edge of Malacol,0.0,None,None,None,['Plane'],['Belenon'],Common,OPC2,None,None,None,"If a creature you control would untap during your untap step, put two +1/+1 counters on it instead.\nWhenever chaos ensues, untap each creature you control."
Bloodhill Bastion,0.0,None,None,None,['Plane'],['Equilor'],Common,OPC2,None,None,None,"Whenever a creature enters the battlefield, it gains double strike and haste until end of turn.\nWhenever chaos ensues, exile target nontoken creature you control, then return it to the battlefield under your control."
Astral Arena,0.0,None,None,None,['Plane'],['Kolbahan'],Common,OPC2,None,None,None,"No more than one creature can attack each combat.\nNo more than one creature can block each combat.\nWhenever chaos ensues, Astral Arena deals 2 damage to each creature."
Aretopolis,0.0,None,None,None,['Plane'],['Kephalai'],Common,OPC2,None,None,None,"When you planeswalk to Aretopolis or at the beginning of your upkeep, put a scroll counter on Aretopolis, then you gain life equal to the number of scroll counters on it.\nWhen Aretopolis has ten or more scroll counters on it, planeswalk.\nWhenever chaos ensues, put a scroll counter on Aretopolis, then draw cards equal to the number of scroll counters on it."
Akoum,0.0,None,None,None,['Plane'],['Zendikar'],Common,OPC2,None,None,None,"Players may cast enchantment spells as though they had flash.\nWhenever chaos ensues, destroy target creature that isn't enchanted."
Stensia,0.0,None,None,None,['Plane'],['Innistrad'],Common,OPC2,None,None,None,"Whenever a creature deals damage to one or more players for the first time each turn, put a +1/+1 counter on it.\nWhenever chaos ensues, each creature you control gains ""{T}: This creature deals 1 damage to target player or planeswalker"" until end of turn."
Time Distortion,0.0,None,None,None,['Phenomenon'],None,Common,OPC2,None,None,None,"When you encounter Time Distortion, reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise. Then planeswalk away from this phenomenon.)"
