Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Zephyr Maze,0.0,None,None,None,['Plane'],['Kyneth'],Common,OPCA,None,None,None,"Creatures with flying get +2/+0.\nCreatures without flying get -2/-0.\nWhenever chaos ensues, target creature gains flying until end of turn."
Windriddle Palaces,0.0,None,None,None,['Plane'],['Belenon'],Common,OPCA,None,None,None,"Players play with the top card of their libraries revealed.\nYou may play lands and cast spells from the top of any player's library.\nWhenever chaos ensues, each player mills a card."
Velis Vel,0.0,None,None,None,['Plane'],['Lorwyn'],Common,OPCA,None,None,None,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Elemental Shamans and an Elemental Spirit are on the battlefield, each gets +2/+2.)\nWhenever chaos ensues, target creature gains all creature types until end of turn."
Undercity Reaches,0.0,None,None,None,['Plane'],['Ravnica'],Common,OPCA,None,None,None,"Whenever a creature deals combat damage to a player, its controller may draw a card.\nWhenever chaos ensues, you have no maximum hand size for the rest of the game."
Turri Island,0.0,None,None,None,['Plane'],['Ir'],Common,OPCA,None,None,None,"Creature spells cost {2} less to cast.\nWhenever chaos ensues, reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard."
Truga Jungle,0.0,None,None,None,['Plane'],['Ergamon'],Common,OPCA,None,None,None,"All lands have ""{T}: Add one mana of any color.""\nWhenever chaos ensues, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest on the bottom of your library in any order."
Trail of the Mage-Rings,0.0,None,None,None,['Plane'],['Vryn'],Common,OPCA,None,None,None,"Instant and sorcery spells have rebound. (The spell's controller exiles the spell as it resolves if they cast it from their hand. At the beginning of that player's next upkeep, they may cast that card from exile without paying its mana cost.)\nWhenever chaos ensues, you may search your library for an instant or sorcery card, reveal it, put it into your hand, then shuffle."
Tember City,0.0,None,None,None,['Plane'],['Kinshala'],Common,OPCA,None,None,None,"Whenever a player taps a land for mana, Tember City deals 1 damage to that player.\nWhenever chaos ensues, each other player sacrifices a nonland permanent."
Tazeem,0.0,None,None,None,['Plane'],['Zendikar'],Common,OPCA,None,None,None,"Creatures can't block.\nWhenever chaos ensues, draw a card for each land you control."
Talon Gates,0.0,None,None,None,['Plane'],['Dominaria'],Common,OPCA,None,None,None,"Any time you could cast a sorcery, you may exile a nonland card from your hand with X time counters on it, where X is its mana value. If the exiled card doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, the player may cast it without paying its mana cost. If it's a creature, it has haste.)\nWhenever chaos ensues, remove two time counters from each suspended card you own."
Takenuma,0.0,None,None,None,['Plane'],['Kamigawa'],Common,OPCA,None,None,None,"Whenever a creature leaves the battlefield, its controller draws a card.\nWhenever chaos ensues, return target creature you control to its owner's hand."
Stronghold Furnace,0.0,None,None,None,['Plane'],['Rath'],Common,OPCA,None,None,None,"If a source would deal damage to a permanent or player, it deals double that damage instead.\nWhenever chaos ensues, Stronghold Furnace deals 1 damage to any target."
