Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Expressive Iteration,2.0,"['R', 'U']","['R', 'U']",None,['Sorcery'],None,Uncommon,OTC,None,None,None,"Look at the top three cards of your library. Put one of them into your hand, put one of them on the bottom of your library, and exile one of them. You may play the exiled card this turn."
Escape to the Wilds,5.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,OTC,None,None,None,Exile the top five cards of your library. You may play cards exiled this way until the end of your next turn.\nYou may play an additional land this turn.
Epic Experiment,2.0,"['R', 'U']","['R', 'U']",None,['Sorcery'],None,Mythic,OTC,None,None,None,Exile the top X cards of your library. You may cast instant and sorcery spells with mana value X or less from among them without paying their mana costs. Then put all cards exiled this way that weren't cast into your graveyard.
"Edric, Spymaster of Trest",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Rogue']",Rare,OTC,2,2,None,"Whenever a creature deals combat damage to one of your opponents, its controller may draw a card."
Decimate,4.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Rare,OTC,None,None,None,"Destroy target artifact, target creature, target enchantment, and target land. (You can't cast this spell unless you have legal choices for all its targets.)"
Culling Ritual,4.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Rare,OTC,None,None,None,Destroy each nonland permanent with mana value 2 or less. Add {B} or {G} for each permanent destroyed this way.
Cold-Eyed Selkie,3.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Merfolk', 'Rogue']",Rare,OTC,1,1,None,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nWhenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards."
"Breena, the Demagogue",3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Bird', 'Warlock']",Mythic,OTC,1,3,None,"Flying\nWhenever a player attacks one of your opponents, if that opponent has more life than another of your opponents, that attacking player draws a card and you put two +1/+1 counters on a creature you control."
Ramunap Excavator,3.0,['G'],['G'],None,['Creature'],"['Naga', 'Cleric']",Rare,OTC,2,3,None,You may play lands from your graveyard.
Winding Way,2.0,['G'],['G'],None,['Sorcery'],None,Common,OTC,None,None,None,Choose creature or land. Reveal the top four cards of your library. Put all cards of the chosen type revealed this way into your hand and the rest into your graveyard.
Baleful Strix,2.0,"['B', 'U']","['B', 'U']",None,"['Artifact', 'Creature']",['Bird'],Rare,OTC,1,1,None,"Flying, deathtouch\nWhen Baleful Strix enters the battlefield, draw a card."
Boros Charm,2.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Uncommon,OTC,None,None,None,Choose one —\n• Boros Charm deals 4 damage to target player or planeswalker.\n• Permanents you control gain indestructible until end of turn.\n• Target creature gains double strike until end of turn.
World Shaper,4.0,['G'],['G'],None,['Creature'],"['Merfolk', 'Shaman']",Rare,OTC,3,3,None,"Whenever World Shaper attacks, you may mill three cards.\nWhen World Shaper dies, return all land cards from your graveyard to the battlefield tapped."
Void Attendant,3.0,None,['G'],None,['Creature'],"['Eldrazi', 'Processor']",Uncommon,OTC,2,3,None,"Devoid (This card has no color.)\n{1}{G}, Put a card an opponent owns from exile into that player's graveyard: Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."""
Turntimber Sower,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,OTC,3,3,None,"Whenever one or more land cards are put into your graveyard from anywhere, create a 0/1 green Plant creature token.\n{G}, Sacrifice three creatures: Return target land card from your graveyard to your hand."
Archmage Emeritus,4.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Rare,OTC,2,2,None,"Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card."
"Titania, Protector of Argoth",5.0,['G'],['G'],['Legendary'],['Creature'],['Elemental'],Mythic,OTC,5,3,None,"When Titania, Protector of Argoth enters the battlefield, return target land card from your graveyard to the battlefield.\nWhenever a land you control is put into a graveyard from the battlefield, create a 5/3 green Elemental creature token."
Three Visits,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,OTC,None,None,None,"Search your library for a Forest card, put it onto the battlefield, then shuffle."
Springbloom Druid,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,OTC,1,1,None,"When Springbloom Druid enters the battlefield, you may sacrifice a land. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
Return of the Wildspeaker,5.0,['G'],['G'],None,['Instant'],None,Rare,OTC,None,None,None,Choose one —\n• Draw cards equal to the greatest power among non-Human creatures you control.\n• Non-Human creatures you control get +3/+3 until end of turn.
Skullwinder,3.0,['G'],['G'],None,['Creature'],['Snake'],Uncommon,OTC,1,3,None,"Deathtouch\nWhen Skullwinder enters the battlefield, return target card from your graveyard to your hand, then choose an opponent. That player returns a card from their graveyard to their hand."
Rampant Growth,2.0,['G'],['G'],None,['Sorcery'],None,Common,OTC,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Silhana Ledgewalker,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Rogue']",Common,OTC,1,1,None,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nSilhana Ledgewalker can't be blocked except by creatures with flying.
Yavimaya Coast,0.0,None,"['G', 'U']",None,['Land'],None,Rare,OTC,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.
Scute Swarm,3.0,['G'],['G'],None,['Creature'],['Insect'],Rare,OTC,1,1,None,"Landfall — Whenever a land enters the battlefield under your control, create a 1/1 green Insect creature token. If you control six or more lands, create a token that's a copy of Scute Swarm instead."
Satyr Wayfinder,2.0,['G'],['G'],None,['Creature'],['Satyr'],Common,OTC,1,1,None,"When Satyr Wayfinder enters the battlefield, reveal the top four cards of your library. You may put a land card from among them into your hand. Put the rest into your graveyard."
Oracle of Mul Daya,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman']",Rare,OTC,2,2,None,You may play an additional land on each of your turns.\nPlay with the top card of your library revealed.\nYou may play lands from the top of your library.
Ohran Frostfang,5.0,['G'],['G'],['Snow'],['Creature'],['Snake'],Rare,OTC,2,6,None,"Attacking creatures you control have deathtouch.\nWhenever a creature you control deals combat damage to a player, draw a card."
Nantuko Cultivator,4.0,['G'],['G'],None,['Creature'],"['Insect', 'Druid']",Uncommon,OTC,2,2,None,"When Nantuko Cultivator enters the battlefield, you may discard any number of land cards. Put that many +1/+1 counters on Nantuko Cultivator and draw that many cards."
The Mending of Dominaria,5.0,['G'],['G'],None,['Enchantment'],['Saga'],Rare,OTC,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI, II — Mill two cards, then you may return a creature card from your graveyard to your hand.\nIII — Return all land cards from your graveyard to the battlefield, then shuffle your graveyard into your library."
Kodama's Reach,3.0,['G'],['G'],None,['Sorcery'],['Arcane'],Common,OTC,None,None,None,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
Hour of Promise,5.0,['G'],['G'],None,['Sorcery'],None,Rare,OTC,None,None,None,"Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle. Then if you control three or more Deserts, create two 2/2 black Zombie creature tokens."
Harrow,3.0,['G'],['G'],None,['Instant'],None,Common,OTC,None,None,None,"As an additional cost to cast this spell, sacrifice a land.\nSearch your library for up to two basic land cards, put them onto the battlefield, then shuffle."
Genesis Hydra,2.0,['G'],['G'],None,['Creature'],"['Plant', 'Hydra']",Rare,OTC,0,0,None,"When you cast this spell, reveal the top X cards of your library. You may put a nonland permanent card with mana value X or less from among them onto the battlefield. Then shuffle the rest into your library.\nGenesis Hydra enters the battlefield with X +1/+1 counters on it."
Explore,2.0,['G'],['G'],None,['Sorcery'],None,Common,OTC,None,None,None,You may play an additional land this turn.\nDraw a card.
Elvish Rejuvenator,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,OTC,1,1,None,"When Elvish Rejuvenator enters the battlefield, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order."
Eccentric Farmer,3.0,['G'],['G'],None,['Creature'],"['Human', 'Peasant']",Common,OTC,2,3,None,"When Eccentric Farmer enters the battlefield, mill three cards, then you may return a land card from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)"
Crawling Sensation,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,OTC,None,None,None,"At the beginning of your upkeep, you may mill two cards.\nWhenever one or more land cards are put into your graveyard from anywhere for the first time each turn, create a 1/1 green Insect creature token."
"Cazur, Ruthless Stalker",4.0,['G'],['G'],['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,OTC,3,3,None,"Partner with Ukkima, Stalking Shadow (When this creature enters the battlefield, target player may put Ukkima into their hand from their library, then shuffle.)\nWhenever a creature you control deals combat damage to a player, put a +1/+1 counter on that creature."
Avenger of Zendikar,7.0,['G'],['G'],None,['Creature'],['Elemental'],Mythic,OTC,5,5,None,"When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.\nLandfall — Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control."
Ancient Greenwarden,6.0,['G'],['G'],None,['Creature'],['Elemental'],Mythic,OTC,5,7,None,"Reach\nYou may play lands from your graveyard.\nIf a land entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
Young Pyromancer,2.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Uncommon,OTC,2,1,None,"Whenever you cast an instant or sorcery spell, create a 1/1 red Elemental creature token."
Volcanic Torrent,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,OTC,None,None,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)\nVolcanic Torrent deals X damage to each creature and planeswalker your opponents control, where X is the number of spells you've cast this turn."
Vandalblast,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,OTC,None,None,None,"Destroy target artifact you don't control.\nOverload {4}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Unholy Heat,1.0,['R'],['R'],None,['Instant'],None,Common,OTC,None,None,None,Unholy Heat deals 2 damage to target creature or planeswalker.\nDelirium — Unholy Heat deals 6 damage instead if there are four or more card types among cards in your graveyard.
Arcane Denial,2.0,['U'],['U'],None,['Instant'],None,Common,OTC,None,None,None,Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.\nYou draw a card at the beginning of the next turn's upkeep.
Storm-Kiln Artist,4.0,['R'],['R'],None,['Creature'],"['Dwarf', 'Shaman']",Uncommon,OTC,2,2,None,"Storm-Kiln Artist gets +1/+0 for each artifact you control.\nMagecraft — Whenever you cast or copy an instant or sorcery spell, create a Treasure token."
Shiny Impetus,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,OTC,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.)\nWhenever enchanted creature attacks, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Seize the Spotlight,3.0,['R'],['R'],None,['Sorcery'],None,Rare,OTC,None,None,None,"Each opponent chooses fame or fortune. For each player who chose fame, gain control of a creature that player controls until end of turn. Untap those creatures and they gain haste until end of turn. For each player who chose fortune, you draw a card and create a Treasure token."
Rousing Refrain,5.0,['R'],['R'],None,['Sorcery'],None,Rare,OTC,None,None,None,"Add {R} for each card in target opponent's hand. Until end of turn, you don't lose this mana as steps and phases end. Exile Rousing Refrain with three time counters on it.\nSuspend 3—{1}{R} (Rather than cast this card from your hand, you may pay {1}{R} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)"
Rain of Riches,5.0,['R'],['R'],None,['Enchantment'],None,Rare,OTC,None,None,None,"When Rain of Riches enters the battlefield, create two Treasure tokens.\nThe first spell you cast each turn that mana from a Treasure was spent to cast has cascade. (When you cast the spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)"
Nesting Dragon,5.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,OTC,5,4,None,"Flying\nLandfall — Whenever a land enters the battlefield under your control, create a 0/2 red Dragon Egg creature token with defender and ""When this creature dies, create a 2/2 red Dragon creature token with flying and '{R}: This creature gets +1/+0 until end of turn.'"""
Path to Exile,1.0,['W'],['W'],None,['Instant'],None,Uncommon,OTC,None,None,None,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Mizzix's Mastery,4.0,['R'],['R'],None,['Sorcery'],None,Rare,OTC,None,None,None,"Exile target card that's an instant or sorcery from your graveyard. For each card exiled this way, copy it, and you may cast the copy without paying its mana cost. Exile Mizzix's Mastery.\nOverload {5}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Mistmeadow Skulk,2.0,['W'],['W'],None,['Creature'],"['Kithkin', 'Rogue']",Uncommon,OTC,1,1,None,"Lifelink, protection from mana value 3 or greater"
