Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Kambal, Profiteering Mayor",3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,OTJ,2,4,None,"Whenever one or more tokens enter the battlefield under your opponents' control, for each of them, create a tapped token that's a copy of it. This ability triggers only once each turn.\nWhenever one or more tokens enter the battlefield under your control, each opponent loses 1 life and you gain 1 life."
"Jolene, Plundering Pugilist",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Mercenary']",Uncommon,OTJ,4,2,None,"Whenever you attack with one or more creatures with power 4 or greater, create a Treasure token.\n{1}{R}, Sacrifice a Treasure: Jolene, Plundering Pugilist deals 1 damage to any target."
"Jem Lightfoote, Sky Explorer",4.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Scout']",Uncommon,OTJ,3,3,None,"Flying, vigilance\nAt the beginning of your end step, if you haven't cast a spell from your hand this turn, draw a card."
Intimidation Campaign,3.0,"['B', 'U']","['B', 'U']",None,['Enchantment'],None,Uncommon,OTJ,None,None,None,"When Intimidation Campaign enters the battlefield, each opponent loses 1 life, you gain 1 life, and you draw a card.\nWhenever you commit a crime, you may return Intimidation Campaign to its owner's hand. (It returns only from the battlefield. Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)"
"Ertha Jo, Frontier Mentor",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Kor', 'Advisor']",Uncommon,OTJ,2,4,None,"When Ertha Jo, Frontier Mentor enters the battlefield, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""\nWhenever you activate an ability that targets a creature or player, copy that ability. You may choose new targets for the copy."
Honest Rutstein,3.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Warlock']",Uncommon,OTJ,3,2,None,"When Honest Rutstein enters the battlefield, return target creature card from your graveyard to your hand.\nCreature spells you cast cost {1} less to cast."
"Doc Aurlock, Grizzled Genius",2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Bear', 'Druid']",Uncommon,OTJ,2,3,None,Spells you cast from your graveyard or from exile cost {2} less to cast.\nPlotting cards from your hand costs {2} less.
"The Gitrog, Ravenous Ride",5.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Frog', 'Horror', 'Mount']",Mythic,OTJ,6,5,None,"Trample, haste\nWhenever The Gitrog, Ravenous Ride deals combat damage to a player, you may sacrifice a creature that saddled it this turn. If you do, draw X cards, then put up to X land cards from your hand onto the battlefield tapped, where X is the sacrificed creature's power.\nSaddle 1"
"Ghired, Mirror of the Wilds",3.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Shaman']",Mythic,OTJ,3,3,None,"Haste\nNontoken creatures you control have ""{T}: Create a token that's a copy of target token you control that entered the battlefield this turn."""
Form a Posse,2.0,"['R', 'W']","['R', 'W']",None,['Sorcery'],None,Uncommon,OTJ,None,None,None,"Create X 1/1 red Mercenary creature tokens with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery."""
